ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Spanish for the Professions,MS,Spanish for the Professions - MS,201114444,34,,Graduate,2024-2025,Capstone Course,,,,,SPAN,690,SPAN 690,Spanish for the Professions Portfolio,1,,,
Spanish for the Professions,MS,Spanish for the Professions - MS,201114444,34,,Graduate,2024-2025,Research/Methods Course(s),,,,,SPAN,600,SPAN 600,"Research, Resources and Writing",3,,,
Spanish for the Professions,MS,Spanish for the Professions - MS,201114444,34,,Graduate,2024-2025,Restricted Electives,,,Multicultural Literacy Topics courses may be selected when offered online,Choose9 - 12 Credit(s).,SPAN,602,SPAN 602,Topic Peninsular Culture,1-4,,,
Spanish for the Professions,MS,Spanish for the Professions - MS,201114444,34,,Graduate,2024-2025,Restricted Electives,,,Multicultural Literacy Topics courses may be selected when offered online,Choose9 - 12 Credit(s).,SPAN,603,SPAN 603,Topics in Spanish American Culture,1-4,,,
Spanish for the Professions,MS,Spanish for the Professions - MS,201114444,34,,Graduate,2024-2025,Restricted Electives,,,Multicultural Literacy Topics courses may be selected when offered online,Choose9 - 12 Credit(s).,SPAN,604,SPAN 604,Topic: Peninsular Spanish Literature,1-4,,,
Spanish for the Professions,MS,Spanish for the Professions - MS,201114444,34,,Graduate,2024-2025,Restricted Electives,,,Multicultural Literacy Topics courses may be selected when offered online,Choose9 - 12 Credit(s).,SPAN,605,SPAN 605,Topics in Spanish American Literature,1-4,,,
Spanish for the Professions,MS,Spanish for the Professions - MS,201114444,34,,Graduate,2024-2025,Restricted Electives,,,Multicultural Literacy Topics courses may be selected when offered online,Choose9 - 12 Credit(s).,SPAN,641,SPAN 641,Topics in Cultural Readings and Analysis,3,,,
Spanish for the Professions,MS,Spanish for the Professions - MS,201114444,34,,Graduate,2024-2025,Restricted Electives,,,Multicultural Literacy Topics courses may be selected when offered online,Choose9 - 12 Credit(s).,SPAN,642,SPAN 642,Pragmatics,3,,,
Spanish for the Professions,MS,Spanish for the Professions - MS,201114444,34,,Graduate,2024-2025,Restricted Electives,,,Multicultural Literacy Topics courses may be selected when offered online,Choose9 - 12 Credit(s).,SPAN,643,SPAN 643,Cultural Practices of Spain and the Americas,3,,,
Spanish for the Professions,MS,Spanish for the Professions - MS,201114444,34,,Graduate,2024-2025,Restricted Electives,,,Oral Proficiency Topics courses may be selected when offered online.,Choose9 - 12 Credit(s).,SPAN,601,SPAN 601,Topic Spanish Language/Linguistics,1-4,,,
Spanish for the Professions,MS,Spanish for the Professions - MS,201114444,34,,Graduate,2024-2025,Restricted Electives,,,Oral Proficiency Topics courses may be selected when offered online.,Choose9 - 12 Credit(s).,SPAN,652,SPAN 652,Oral Reasoning Workshop,3,,,
Spanish for the Professions,MS,Spanish for the Professions - MS,201114444,34,,Graduate,2024-2025,Restricted Electives,,,Oral Proficiency Topics courses may be selected when offered online.,Choose9 - 12 Credit(s).,SPAN,653,SPAN 653,Interpretation Workshop,3,,,
Spanish for the Professions,MS,Spanish for the Professions - MS,201114444,34,,Graduate,2024-2025,Restricted Electives,,,Oral Proficiency Topics courses may be selected when offered online.,Choose9 - 12 Credit(s).,SPAN,654,SPAN 654,Digital Communications Workshop for the Professions,3,,,
Spanish for the Professions,MS,Spanish for the Professions - MS,201114444,34,,Graduate,2024-2025,Restricted Electives,,,Writing Proficiency ,Choose9 - 12 Credit(s).,SPAN,631,SPAN 631,Writing Workshop for the Professions,3,,,
Spanish for the Professions,MS,Spanish for the Professions - MS,201114444,34,,Graduate,2024-2025,Restricted Electives,,,Writing Proficiency ,Choose9 - 12 Credit(s).,SPAN,632,SPAN 632,Translation Workshop I,3,,,
Spanish for the Professions,MS,Spanish for the Professions - MS,201114444,34,,Graduate,2024-2025,Restricted Electives,,,Writing Proficiency ,Choose9 - 12 Credit(s).,SPAN,634,SPAN 634,Editing and Document Preparation,3,,,
Spanish for the Professions,MS,Spanish for the Professions - MS,201114444,34,,Graduate,2024-2025,Unrestricted Electives,,, ,,SPAN,698,SPAN 698,Spanish for the Professions Internship,1-3,,,
Spanish for the Professions,MS,Spanish for the Professions - MS,201114444,34,,Graduate,2024-2025,Unrestricted Electives,,, ,,WLC,610,WLC 610,Comparative Language Studies: Spanish and Portuguese,2-4,,,
