ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
"Sport, Exercise, and Performance Psychology",MS,"Sport, Exercise, and Performance Psychology - MS",202219072,36,Graduate,2024-2025,Common Core,,,,,CSP,571,Interpersonal Helping Skills,3,,,,
"Sport, Exercise, and Performance Psychology",MS,"Sport, Exercise, and Performance Psychology - MS",202219072,36,Graduate,2024-2025,Common Core,,,,,HP,640,Seminar in Sport Psychology,1,,,,
"Sport, Exercise, and Performance Psychology",MS,"Sport, Exercise, and Performance Psychology - MS",202219072,36,Graduate,2024-2025,Common Core,,,,,HP,641,Psychology of Sport and Exercise,3,,,,
"Sport, Exercise, and Performance Psychology",MS,"Sport, Exercise, and Performance Psychology - MS",202219072,36,Graduate,2024-2025,Common Core,,,,,HP,644,Applied Sport and Exercise Psychology,3,,,,
"Sport, Exercise, and Performance Psychology",MS,"Sport, Exercise, and Performance Psychology - MS",202219072,36,Graduate,2024-2025,Common Core,,,,,HP,646,Exercise Psychology and Behavior Change,3,,,,
"Sport, Exercise, and Performance Psychology",MS,"Sport, Exercise, and Performance Psychology - MS",202219072,36,Graduate,2024-2025,Common Core,,,,,HP,648,Professional Ethics in Sport and Exercise Psychology,3,,,,
"Sport, Exercise, and Performance Psychology",MS,"Sport, Exercise, and Performance Psychology - MS",202219072,36,Graduate,2024-2025,Common Core,,,,,HP,649,Sport in American Culture,3,,,,
"Sport, Exercise, and Performance Psychology",MS,"Sport, Exercise, and Performance Psychology - MS",202219072,36,Graduate,2024-2025,Common Core,,,,,HP,652,Performance Psychology Seminar,1,,,,
"Sport, Exercise, and Performance Psychology",MS,"Sport, Exercise, and Performance Psychology - MS",202219072,36,Graduate,2024-2025,Common Core,,,,,HP,672,Psychology of Sport and Athletic Injury,3,,,,
"Sport, Exercise, and Performance Psychology",MS,"Sport, Exercise, and Performance Psychology - MS",202219072,36,Graduate,2024-2025,Common Core,,,,,HP,682,Practicum in Sport and Exercise Psychology,1,,,,
"Sport, Exercise, and Performance Psychology",MS,"Sport, Exercise, and Performance Psychology - MS",202219072,36,Graduate,2024-2025,Restricted Electives,,,Certification Option HP 682 will be repeated in two semesters to earn the 5 credits for the option.,Choose  5 Credit(s).,HP,682,Practicum in Sport and Exercise Psychology,1,,,,
"Sport, Exercise, and Performance Psychology",MS,"Sport, Exercise, and Performance Psychology - MS",202219072,36,Graduate,2024-2025,Restricted Electives,,,Certification Option HP 682 will be repeated in two semesters to earn the 5 credits for the option.,Choose  5 Credit(s).,HP,683,Working with Diverse Populations in Sport Psychology,3,,,,
"Sport, Exercise, and Performance Psychology",MS,"Sport, Exercise, and Performance Psychology - MS",202219072,36,Graduate,2024-2025,Restricted Electives,Core Course ,Core Course ,,,HP,570,Psychology of Coaching,3,,,,
"Sport, Exercise, and Performance Psychology",MS,"Sport, Exercise, and Performance Psychology - MS",202219072,36,Graduate,2024-2025,Restricted Electives,Non-Certification Option A total of 5-7 credits is required for the option. ,,,Choose3 - 4 Credit(s).,HP,620,Typical and Atypical Motor Development Across the Lifespan,3,,,,
"Sport, Exercise, and Performance Psychology",MS,"Sport, Exercise, and Performance Psychology - MS",202219072,36,Graduate,2024-2025,Restricted Electives,Non-Certification Option A total of 5-7 credits is required for the option. ,,,Choose3 - 4 Credit(s).,PSYC,555,Abnormal Psychology,4,,,,
"Sport, Exercise, and Performance Psychology",MS,"Sport, Exercise, and Performance Psychology - MS",202219072,36,Graduate,2024-2025,Restricted Electives,Non-Certification Option A total of 5-7 credits is required for the option. ,,,Choose3 - 4 Credit(s).,PSYC,618,Multivariate Analysis,4,,,,
"Sport, Exercise, and Performance Psychology",MS,"Sport, Exercise, and Performance Psychology - MS",202219072,36,Graduate,2024-2025,Restricted Electives,Non-Certification Option A total of 5-7 credits is required for the option. ,,,Choose3 - 4 Credit(s).,SOC,580,Qualitative Methods,3,,,,
"Sport, Exercise, and Performance Psychology",MS,"Sport, Exercise, and Performance Psychology - MS",202219072,36,Graduate,2024-2025,Research/Methods Course(s),,,,,HP,615,Research Methodology and Statistical Concepts,4,,,,
"Sport, Exercise, and Performance Psychology",MS,"Sport, Exercise, and Performance Psychology - MS",202219072,36,Graduate,2024-2025,Capstone Course,,, Students should choose a capstone project option in consultation with their advisor.,Choose2 - 3 Credit(s).,HP,694,Alternate Plan Paper,1-2,,,,
"Sport, Exercise, and Performance Psychology",MS,"Sport, Exercise, and Performance Psychology - MS",202219072,36,Graduate,2024-2025,Capstone Course,,, Students should choose a capstone project option in consultation with their advisor.,Choose2 - 3 Credit(s).,HP,696,Manuscript,1-4,,,,
"Sport, Exercise, and Performance Psychology",MS,"Sport, Exercise, and Performance Psychology - MS",202219072,36,Graduate,2024-2025,Capstone Course,,, Students should choose a capstone project option in consultation with their advisor.,Choose2 - 3 Credit(s).,HP,698,Internship,1-10,,,,
"Sport, Exercise, and Performance Psychology",MS,"Sport, Exercise, and Performance Psychology - MS",202219072,36,Graduate,2024-2025,Capstone Course,,, Students should choose a capstone project option in consultation with their advisor.,Choose2 - 3 Credit(s).,HP,699,Thesis,1-4,,,,
