ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Sport Management,BS,Sport Management - BS,7660,120,,Undergraduate,2024-2025,Major Common Core,,,,,ACCT,200,ACCT 200,Financial Accounting,3,MATH 112 or MATH 115	or MATH 121 or MATH 130 or MATH 181,,
Sport Management,BS,Sport Management - BS,7660,120,,Undergraduate,2024-2025,Major Common Core,,,,,HP,290,HP 290,Psycho-Social Aspects of Sport,3, SOC 101 ,,
Sport Management,BS,Sport Management - BS,7660,120,,Undergraduate,2024-2025,Major Common Core,,,,,HP,325,HP 325,Ethics and Morality in Sport Management,3,,,
Sport Management,BS,Sport Management - BS,7660,120,,Undergraduate,2024-2025,Major Common Core,,,,,HP,350,HP 350,Sport Business and Professional Development,3,,,
Sport Management,BS,Sport Management - BS,7660,120,,Undergraduate,2024-2025,Major Common Core,,,,,HP,435,HP 435,Planning Sport Facilities,3,,,
Sport Management,BS,Sport Management - BS,7660,120,,Undergraduate,2024-2025,Major Common Core,,,,,HP,459,HP 459,Financial Aspects of Sport,3, ACCT 200 or consent of instructor,,
Sport Management,BS,Sport Management - BS,7660,120,,Undergraduate,2024-2025,Major Common Core,,,,,HP,462,HP 462,Sports Administration,3,,,
Sport Management,BS,Sport Management - BS,7660,120,,Undergraduate,2024-2025,Major Common Core,,,,,HP,465,HP 465,Legal Aspects of Physical Education and Sport,3,,,
Sport Management,BS,Sport Management - BS,7660,120,,Undergraduate,2024-2025,Major Common Core,,,,,HP,468,HP 468,Sport Marketing,3,,,
Sport Management,BS,Sport Management - BS,7660,120,,Undergraduate,2024-2025,Major Common Core,,,,,HP,469,HP 469,Sport and Esport Event Management,3,,,
Sport Management,BS,Sport Management - BS,7660,120,,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  6 Credit(s).,HP,437,HP 437,"Sport Media, Sponsorship and Sales",3,,,
Sport Management,BS,Sport Management - BS,7660,120,,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  6 Credit(s).,HP,463,HP 463,Seminar in Sport Management,3,,,
Sport Management,BS,Sport Management - BS,7660,120,,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  6 Credit(s).,HP,464,HP 464,Analysis of Sport Data,3,,,
Sport Management,BS,Sport Management - BS,7660,120,,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  6 Credit(s).,HP,475,HP 475,International Sport Management,3,,,
Sport Management,BS,Sport Management - BS,7660,120,,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  6 Credit(s).,HP,497,HP 497,Sport Tourism,3,,,
Sport Management,BS,Sport Management - BS,7660,120,,Undergraduate,2024-2025,Major Restricted Electives,,, A minimum of 3 credits of HP 488 is required. Consult with your advisor. ,Choose  9 Credit(s).,HP,488,HP 488,Applied Sport Business,3,,,
Sport Management,BS,Sport Management - BS,7660,120,,Undergraduate,2024-2025,Major Restricted Electives,,, A minimum of 3 credits of HP 488 is required. Consult with your advisor. ,Choose  9 Credit(s).,HP,496,HP 496,Internship,1-10," HP 414, HP 466",,
Sport Management,BS,Sport Management - BS,7660,120,,Undergraduate,2024-2025,Prerequisites to the Major,,,,,HP,141,HP 141,Introduction to Sport Management,3,,,
Sport Management,BS,Sport Management - BS,7660,120,,Undergraduate,2024-2025,Required General Education,,,,,ENG,101,ENG 101,Foundations of Writing & Rhetoric,4,,,
Sport Management,BS,Sport Management - BS,7660,120,,Undergraduate,2024-2025,Required General Education,,,,,MATH,112,MATH 112,College Algebra,4," Satisfy Placement Table in this section, or MATH 098 with grade of P. ",,
Sport Management,BS,Sport Management - BS,7660,120,,Undergraduate,2024-2025,Required General Education,,,,,PSYC,101,PSYC 101,Introduction to Psychological Science,4,,,
Sport Management,BS,Sport Management - BS,7660,120,,Undergraduate,2024-2025,Required General Education,,,,,SOC,101,SOC 101,Introduction to Sociology,4,,,Purple
Sport Management,BS,Sport Management - BS,7660,120,,Undergraduate,2024-2025,Required General Education,,, ,Choose  3 Credit(s).,COMM,100,COMM 100,Fundamentals of Communication,3,,,
Sport Management,BS,Sport Management - BS,7660,120,,Undergraduate,2024-2025,Required General Education,,, ,Choose  3 Credit(s).,COMM,102,COMM 102,Public Speaking,3,,,
Sport Management,BS,Sport Management - BS,7660,120,,Undergraduate,2024-2025,Required General Education,,, ,Choose  3 Credit(s).,ECON,201,ECON 201,Principles of Macroeconomics,3,,,
Sport Management,BS,Sport Management - BS,7660,120,,Undergraduate,2024-2025,Required General Education,,, ,Choose  3 Credit(s).,ECON,202,ECON 202,Principles of Microeconomics,3,,,
