ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Sport Management,MS,Sport Management - MS,202018629,30,,Graduate,2024-2025,Capstone Course,,,,,HP,688,HP 688,Applied Sport Business,3,,,
Sport Management,MS,Sport Management - MS,202018629,30,,Graduate,2024-2025,Capstone Course,,,,,HP,696,HP 696,Manuscript,1-4,,,
Sport Management,MS,Sport Management - MS,202018629,30,,Graduate,2024-2025,Capstone Course,,,,,HP,698,HP 698,Internship,1-10,,,
Sport Management,MS,Sport Management - MS,202018629,30,,Graduate,2024-2025,Common Core,,,,,HP,625,HP 625,Sport Ethics and Professional Development,3,,,
Sport Management,MS,Sport Management - MS,202018629,30,,Graduate,2024-2025,Common Core,,,,,HP,638,HP 638,Managing Sporting Events,3,,,
Sport Management,MS,Sport Management - MS,202018629,30,,Graduate,2024-2025,Common Core,,,,,HP,650,HP 650,Principles of Sport Management,3,,,
Sport Management,MS,Sport Management - MS,202018629,30,,Graduate,2024-2025,Common Core,,,,,HP,660,HP 660,Financial Aspects of Sport,3,,,
Sport Management,MS,Sport Management - MS,202018629,30,,Graduate,2024-2025,Common Core,,,,,HP,665,HP 665,Sport Law,3,,,
Sport Management,MS,Sport Management - MS,202018629,30,,Graduate,2024-2025,Common Core,,,,,HP,667,HP 667,Advanced Sport Marketing,3,,,
Sport Management,MS,Sport Management - MS,202018629,30,,Graduate,2024-2025,Research/Methods Course(s),,,,,HP,610,HP 610,Statistical Methods,3,,,
Sport Management,MS,Sport Management - MS,202018629,30,,Graduate,2024-2025,Research/Methods Course(s),,,,,HP,630,HP 630,Techniques of Research,3,,,
Sport Management,MS,Sport Management - MS,202018629,30,,Graduate,2024-2025,Restricted Electives,,,,,HP,535,HP 535,Planning Sport Facilities,3,,,
Sport Management,MS,Sport Management - MS,202018629,30,,Graduate,2024-2025,Restricted Electives,,,,,HP,575,HP 575,International Sport Management,3,,,
Sport Management,MS,Sport Management - MS,202018629,30,,Graduate,2024-2025,Restricted Electives,,,,,HP,597,HP 597,Sport Tourism,3,,,
Sport Management,MS,Sport Management - MS,202018629,30,,Graduate,2024-2025,Restricted Electives,,,,,HP,641,HP 641,Psychology of Sport and Exercise,3,,,
Sport Management,MS,Sport Management - MS,202018629,30,,Graduate,2024-2025,Restricted Electives,,,,,HP,649,HP 649,Sport in American Culture,3,,,
Sport Management,MS,Sport Management - MS,202018629,30,,Graduate,2024-2025,Restricted Electives,,,,,HP,651,HP 651,Sport Management Seminar,3,,,
