ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Technical Communication,CERT,Technical Communication - CERT,7253,24,Undergraduate,2024-2025,Major Common Core,,,,,ENG,471,Visual Technical Communication,4,,,,
Technical Communication,CERT,Technical Communication - CERT,7253,24,Undergraduate,2024-2025,Major Common Core,,,,,ENG,475,Editing Technical Publications,4,,,,
Technical Communication,CERT,Technical Communication - CERT,7253,24,Undergraduate,2024-2025,Major Common Core,,,,,ENG,477W,"Technical Documentation,Policies, and Procedures",4,,,,
Technical Communication,CERT,Technical Communication - CERT,7253,24,Undergraduate,2024-2025,Major Restricted Electives,,,Restricted Electives ,Choose  12 Credit(s).,ENG,466,Usability,4,ENG 271W or ENG 272W,,,
Technical Communication,CERT,Technical Communication - CERT,7253,24,Undergraduate,2024-2025,Major Restricted Electives,,,Restricted Electives ,Choose  12 Credit(s).,ENG,469,Project Management in Technical Communication,4,ENG 271W,,,
Technical Communication,CERT,Technical Communication - CERT,7253,24,Undergraduate,2024-2025,Major Restricted Electives,,,Restricted Electives ,Choose  12 Credit(s).,ENG,472,Topics in Technical Communication,1-4,,,,
Technical Communication,CERT,Technical Communication - CERT,7253,24,Undergraduate,2024-2025,Major Restricted Electives,,,Restricted Electives ,Choose  12 Credit(s).,ENG,473,Desktop Publishing,4,,,,
Technical Communication,CERT,Technical Communication - CERT,7253,24,Undergraduate,2024-2025,Major Restricted Electives,,,Restricted Electives ,Choose  12 Credit(s).,ENG,474W,Research and Writing Technical Reports,4,ENG 271W or ENG 272W ,,,
Technical Communication,CERT,Technical Communication - CERT,7253,24,Undergraduate,2024-2025,Major Restricted Electives,,,Restricted Electives ,Choose  12 Credit(s).,ENG,477W,"Technical Documentation,Policies, and Procedures",4,,,,
Technical Communication,CERT,Technical Communication - CERT,7253,24,Undergraduate,2024-2025,Major Restricted Electives,,,Restricted Electives ,Choose  12 Credit(s).,ENG,480,Proposals,4,,,,
