ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Technical Communication,GC,Technical Communication - GC,6306,20,,Graduate,2024-2025,Common Core,,,,,ENG,571,ENG 571,Visual Technical Communication,3,,,
Technical Communication,GC,Technical Communication - GC,6306,20,,Graduate,2024-2025,Common Core,,,,,ENG,575,ENG 575,Editing Technical Publications,3,,,
Technical Communication,GC,Technical Communication - GC,6306,20,,Graduate,2024-2025,Common Core,,,,,ENG,667,ENG 667,Content Strategy,3,,,
Technical Communication,GC,Technical Communication - GC,6306,20,,Graduate,2024-2025,Restricted Electives,,, ,Choose  11 Credit(s).,ENG,566,ENG 566,Usability,3,,,
Technical Communication,GC,Technical Communication - GC,6306,20,,Graduate,2024-2025,Restricted Electives,,, ,Choose  11 Credit(s).,ENG,567,ENG 567,International Technical Communication,1-4,,,
Technical Communication,GC,Technical Communication - GC,6306,20,,Graduate,2024-2025,Restricted Electives,,, ,Choose  11 Credit(s).,ENG,569,ENG 569,Project Management in Technical Communication,3,,,
Technical Communication,GC,Technical Communication - GC,6306,20,,Graduate,2024-2025,Restricted Electives,,, ,Choose  11 Credit(s).,ENG,572,ENG 572,Topics in Technical Communication,1-4,,,
Technical Communication,GC,Technical Communication - GC,6306,20,,Graduate,2024-2025,Restricted Electives,,, ,Choose  11 Credit(s).,ENG,577,ENG 577,"Technical Documentation, Policies, & Procedures",3,,,
Technical Communication,GC,Technical Communication - GC,6306,20,,Graduate,2024-2025,Restricted Electives,,, ,Choose  11 Credit(s).,ENG,583,ENG 583,Writing About Health and Medicine,3,,,
Technical Communication,GC,Technical Communication - GC,6306,20,,Graduate,2024-2025,Restricted Electives,,, ,Choose  11 Credit(s).,ENG,673,ENG 673,Research Methods for the Technical Communicator,3,,,
Technical Communication,GC,Technical Communication - GC,6306,20,,Graduate,2024-2025,Restricted Electives,,, ,Choose  11 Credit(s).,ENG,674,ENG 674,Topics in Technical Communication,1-3,,,
Technical Communication,GC,Technical Communication - GC,6306,20,,Graduate,2024-2025,Restricted Electives,,, ,Choose  11 Credit(s).,ENG,676,ENG 676,Instructional Design for Technical Communicators,3,,,
Technical Communication,GC,Technical Communication - GC,6306,20,,Graduate,2024-2025,Restricted Electives,,, ,Choose  11 Credit(s).,ENG,680,ENG 680,Proposals,1-3,,,
Technical Communication,GC,Technical Communication - GC,6306,20,,Graduate,2024-2025,Restricted Electives,,, ,Choose  11 Credit(s).,ENG,681,ENG 681,User Experience,3,,,
