ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Technical Integration & Design,CERT,Technical Integration & Design - CERT,200429016,16,,Undergraduate,2024-2025,Major Common Core,,,,,ENGR,300,ENGR 300,Introduction to Engineering Design for Non-Majors,4,Students must be admitted to the Department of Integrated Engineering minor or certificate programs.,ENGR 311W,
Technical Integration & Design,CERT,Technical Integration & Design - CERT,200429016,16,,Undergraduate,2024-2025,Major Common Core,,,,,ENGR,311W,ENGR 311W,Professionalism I,3,,,
Technical Integration & Design,CERT,Technical Integration & Design - CERT,200429016,16,,Undergraduate,2024-2025,Major Common Core,,,,,ENGR,321,ENGR 321,Engineering Core: Statistics,1,"Admission to major, minor or certificate programs.",,
Technical Integration & Design,CERT,Technical Integration & Design - CERT,200429016,16,,Undergraduate,2024-2025,Major Common Core,,,,,ENGR,322,ENGR 322,Engineering Core: Programming/Modeling,1,"Admission to major, minor or certificate programs.",,
Technical Integration & Design,CERT,Technical Integration & Design - CERT,200429016,16,,Undergraduate,2024-2025,Major Common Core,,,,,ENGR,421,ENGR 421,Advanced Engineering Core: Engineering Economics,1,"Admission to major, minor or certificate programs.",,
Technical Integration & Design,CERT,Technical Integration & Design - CERT,200429016,16,,Undergraduate,2024-2025,Major Common Core,,,,,ENGR,422,ENGR 422,Advanced Engineering Core: Entrepreneurship,1,"Admission to major, minor or certificate programs.",,
Technical Integration & Design,CERT,Technical Integration & Design - CERT,200429016,16,,Undergraduate,2024-2025,Major Common Core,,,,,ENGR,492,ENGR 492,Seminar,1,,,
Technical Integration & Design,CERT,Technical Integration & Design - CERT,200429016,16,,Undergraduate,2024-2025,Major Unrestricted Electives,,,Choose 4 credits from ENGR 350-355. Courses are repeatable. TID Certificate students can take 4 credits of 300-level electives. ,Choose  4 Credit(s).,ENGR,350,ENGR 350,Elective Technical Competency,,"Admission to major, minor or certificate programs.",,
Technical Integration & Design,CERT,Technical Integration & Design - CERT,200429016,16,,Undergraduate,2024-2025,Major Unrestricted Electives,,,Choose 4 credits from ENGR 350-355. Courses are repeatable. TID Certificate students can take 4 credits of 300-level electives. ,Choose  4 Credit(s).,ENGR,351,ENGR 351,Elective Technical Competency in Electrical Engineering,,"Admission to major, minor or certificate programs.",,
Technical Integration & Design,CERT,Technical Integration & Design - CERT,200429016,16,,Undergraduate,2024-2025,Major Unrestricted Electives,,,Choose 4 credits from ENGR 350-355. Courses are repeatable. TID Certificate students can take 4 credits of 300-level electives. ,Choose  4 Credit(s).,ENGR,352,ENGR 352,Elective Technical Competency in Mechanical Engineering,,"Admission to major, minor or certificate programs.",,
Technical Integration & Design,CERT,Technical Integration & Design - CERT,200429016,16,,Undergraduate,2024-2025,Major Unrestricted Electives,,,Choose 4 credits from ENGR 350-355. Courses are repeatable. TID Certificate students can take 4 credits of 300-level electives. ,Choose  4 Credit(s).,ENGR,353,ENGR 353,Elective Technical Competency in Systems Engineering,,"Admission to major, minor or certificate programs.",,
Technical Integration & Design,CERT,Technical Integration & Design - CERT,200429016,16,,Undergraduate,2024-2025,Major Unrestricted Electives,,,Choose 4 credits from ENGR 350-355. Courses are repeatable. TID Certificate students can take 4 credits of 300-level electives. ,Choose  4 Credit(s).,ENGR,354,ENGR 354,Elective Technical Competency in Programming,,"Admission to major, minor or certificate programs.",,
Technical Integration & Design,CERT,Technical Integration & Design - CERT,200429016,16,,Undergraduate,2024-2025,Major Unrestricted Electives,,,Choose 4 credits from ENGR 350-355. Courses are repeatable. TID Certificate students can take 4 credits of 300-level electives. ,Choose  4 Credit(s).,ENGR,355,ENGR 355,Elective Technical Competency in Modern Engineering Tools,,"Prerequisites: Admission to major, minor or certificate programs.",,
