ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Undergraduate,2024-2025,Required General Education,,,,,THEA,100,Introduction to Theatre,3,,,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Undergraduate,2024-2025,Major Common Core,,,,,THEA,235,Fundamentals of Directing,3,THEA 100 and THEA 101 or THEA 110 ,,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Undergraduate,2024-2025,Major Common Core,,,,,THEA,285W,Theatre of Diversity,3,,,Purple,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Undergraduate,2024-2025,Major Common Core,,,,,THEA,381W,Play Analysis,3,THEA 100 ,,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Undergraduate,2024-2025,Major Common Core,,,,,THEA,481,History of Western Theatre,3,THEA 100 ,,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Undergraduate,2024-2025,Major Common Core,,,,,THEA,482,Perspectives in World Performance,3,THEA 100 ,,Purple,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Undergraduate,2024-2025,Major Restricted Electives,,,Theatre Activity From at least 3 different areas,Choose  5 Credit(s).,THEA,102,Theatre Activity: Acting,1-2,Consent ,,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Undergraduate,2024-2025,Major Restricted Electives,,,Theatre Activity From at least 3 different areas,Choose  5 Credit(s).,THEA,103,Theatre Activity: Management,1-2,Consent ,,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Undergraduate,2024-2025,Major Restricted Electives,,,Theatre Activity From at least 3 different areas,Choose  5 Credit(s).,THEA,104,Theatre Activity: Dance Captain,1-2,Consent,,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Undergraduate,2024-2025,Major Restricted Electives,,,Theatre Activity From at least 3 different areas,Choose  5 Credit(s).,THEA,105,Theatre Activity: Stagecraft,1-2,Consent ,,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Undergraduate,2024-2025,Major Restricted Electives,,,Theatre Activity From at least 3 different areas,Choose  5 Credit(s).,THEA,107,Theatre Activity: Costume,1-2,Consent ,,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Undergraduate,2024-2025,Major Restricted Electives,,,Theatre Activity From at least 3 different areas,Choose  5 Credit(s).,THEA,108,Theatre Activity: Lighting,1-2,Consent ,,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Undergraduate,2024-2025,Major Restricted Electives,,,Theatre Activity From at least 3 different areas,Choose  5 Credit(s).,THEA,109,Theatre Activity: Sound,1-2,Consent ,,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,THEA,240,Basic Design,3,THEA 100 ,,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,THEA,255,Stagecraft,3,THEA 100 ,,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,THEA,260,Costume Construction,3,THEA 100 ,,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,THEA,270,Lighting Technology,3,THEA 100 ,,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,THEA,275,Sound Technology,3,THEA 100 ,,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,THEA,300,Summer Stock,1-4,Consent ,,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,THEA,400,Portfolio Seminar,1,Consent ,,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,THEA,451,Drafting for the Theatre,3,Consent ,,,
