ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Acting,Undergraduate,2024-2025,Emphasis Common Core,,,,,THEA,110,THEA 110,Fundamentals of Acting,3, Consent ,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Acting,Undergraduate,2024-2025,Emphasis Common Core,,,,,THEA,121,THEA 121,Movement for Theatre,3, Consent ,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Acting,Undergraduate,2024-2025,Emphasis Common Core,,,,,THEA,210,THEA 210,Intermediate Acting,3, THEA 110 or consent ,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Acting,Undergraduate,2024-2025,Emphasis Common Core,,,,,THEA,215,THEA 215,Audition Methods,3, THEA 110 or consent ,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Acting,Undergraduate,2024-2025,Emphasis Common Core,,,,,THEA,252,THEA 252,Theatre Technology,3, THEA 100 ,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Acting,Undergraduate,2024-2025,Emphasis Common Core,,,,,THEA,265,THEA 265,Stage Makeup,2, Consent ,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Acting,Undergraduate,2024-2025,Emphasis Common Core,,,,,THEA,300,THEA 300,Summer Stock,1-4, Consent ,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Acting,Undergraduate,2024-2025,Emphasis Common Core,,,,,THEA,302,THEA 302,Practicum: Acting,1-2, Consent ,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Acting,Undergraduate,2024-2025,Emphasis Common Core,,,,,THEA,315,THEA 315,Careers in Theatre,1, THEA 100 ,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Acting,Undergraduate,2024-2025,Emphasis Common Core,,,,,THEA,410,THEA 410,Musical Theatre Acting I,3, THEA 210 or consent ,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Acting,Undergraduate,2024-2025,Emphasis Common Core,,,,,THEA,412,THEA 412,Theatre Speech,3, THEA 210 or consent ,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Acting,Undergraduate,2024-2025,Emphasis Common Core,,,,,THEA,414,THEA 414,Stage Dialects,3, THEA 413 ,,
