ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Design/Technology,Undergraduate,2024-2025,Emphasis Common Core,,,,,THEA,240,THEA 240,Basic Design,3, THEA 100 ,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Design/Technology,Undergraduate,2024-2025,Emphasis Common Core,,,,,THEA,255,THEA 255,Stagecraft,3, THEA 100 ,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Design/Technology,Undergraduate,2024-2025,Emphasis Common Core,,,,,THEA,260,THEA 260,Costume Construction,3, THEA 100 ,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Design/Technology,Undergraduate,2024-2025,Emphasis Common Core,,,,,THEA,270,THEA 270,Lighting Technology,3, THEA 100 ,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Design/Technology,Undergraduate,2024-2025,Emphasis Common Core,,,,,THEA,275,THEA 275,Sound Technology,3, THEA 100 ,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Design/Technology,Undergraduate,2024-2025,Emphasis Common Core,,,,,THEA,300,THEA 300,Summer Stock,1-4, Consent ,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Design/Technology,Undergraduate,2024-2025,Emphasis Common Core,,,,,THEA,400,THEA 400,Portfolio Seminar,1, Consent ,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Design/Technology,Undergraduate,2024-2025,Emphasis Common Core,,,,,THEA,451,THEA 451,Drafting for the Theatre,3, Consent ,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Design/Technology,Undergraduate,2024-2025,Emphasis Common Core,,,,,THEA,485W,THEA 485W,Theatre Dramaturgy,3, THEA 100 and consent,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Design/Technology,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Acting Foundations ,Choose  3 Credit(s).,THEA,101,THEA 101,Acting for Everyone,3,,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Design/Technology,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Acting Foundations ,Choose  3 Credit(s).,THEA,110,THEA 110,Fundamentals of Acting,3, Consent ,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Design/Technology,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Design I ,Choose  9 Credit(s).,THEA,440,THEA 440,Scene Design I,3, THEA 240 or consent ,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Design/Technology,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Design I ,Choose  9 Credit(s).,THEA,460,THEA 460,Costume Design I,3, THEA 240 or consent ,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Design/Technology,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Design I ,Choose  9 Credit(s).,THEA,470,THEA 470,Lighting Design I,3, THEA 270 ,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Design/Technology,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Design I ,Choose  9 Credit(s).,THEA,475,THEA 475,Sound Design I,3, consent ,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Design/Technology,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Design II ,Choose  6 Credit(s).,THEA,441,THEA 441,Scene Design II,3, THEA 440 ,,
