ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Musical Theatre,Undergraduate,2024-2025,Emphasis Common Core,,,,,DANC,223,DANC 223,Jazz Dance II,2,Consent,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Musical Theatre,Undergraduate,2024-2025,Emphasis Common Core,,,,,DANC,226,DANC 226,Ballet II,2,,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Musical Theatre,Undergraduate,2024-2025,Emphasis Common Core,,,,,DANC,227,DANC 227,Tap Dance II,2,Consent,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Musical Theatre,Undergraduate,2024-2025,Emphasis Common Core,,,,,THEA,110,THEA 110,Fundamentals of Acting,3, Consent ,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Musical Theatre,Undergraduate,2024-2025,Emphasis Common Core,,,,,THEA,210,THEA 210,Intermediate Acting,3, THEA 110 or consent ,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Musical Theatre,Undergraduate,2024-2025,Emphasis Common Core,,,,,THEA,212,THEA 212,Music Skills for Theatre I,2,,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Musical Theatre,Undergraduate,2024-2025,Emphasis Common Core,,,,,THEA,213,THEA 213,Music Skills for Theatre II,2, THEA 212,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Musical Theatre,Undergraduate,2024-2025,Emphasis Common Core,,,,,THEA,215,THEA 215,Audition Methods,3, THEA 110 or consent ,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Musical Theatre,Undergraduate,2024-2025,Emphasis Common Core,,,,,THEA,252,THEA 252,Theatre Technology,3, THEA 100 ,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Musical Theatre,Undergraduate,2024-2025,Emphasis Common Core,,,,,THEA,265,THEA 265,Stage Makeup,2, Consent ,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Musical Theatre,Undergraduate,2024-2025,Emphasis Common Core,,,,,THEA,300,THEA 300,Summer Stock,1-4, Consent ,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Musical Theatre,Undergraduate,2024-2025,Emphasis Common Core,,,,,THEA,302,THEA 302,Practicum: Acting,1-2, Consent ,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Musical Theatre,Undergraduate,2024-2025,Emphasis Common Core,,,,,THEA,311,THEA 311,Private Voice for the Actor,0, THEA 111 ,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Musical Theatre,Undergraduate,2024-2025,Emphasis Common Core,,,,,THEA,410,THEA 410,Musical Theatre Acting I,3, THEA 210 or consent ,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Musical Theatre,Undergraduate,2024-2025,Emphasis Common Core,,,,,THEA,411,THEA 411,Music Theatre Acting II,3, THEA 210 and consent ,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Musical Theatre,Undergraduate,2024-2025,Emphasis Common Core,,,,,THEA,412,THEA 412,Theatre Speech,3, THEA 210 or consent ,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Musical Theatre,Undergraduate,2024-2025,Emphasis Common Core,,,,,THEA,414,THEA 414,Stage Dialects,3, THEA 413 ,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Musical Theatre,Undergraduate,2024-2025,Emphasis Common Core,,,,,THEA,416,THEA 416,Acting Scene Studies,3, THEA 210 or consent ,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Musical Theatre,Undergraduate,2024-2025,Emphasis Common Core,,,,,THEA,417,THEA 417,Acting Techniques,3, THEA 210 or consent ,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Musical Theatre,Undergraduate,2024-2025,Emphasis Common Core,,,,,THEA,418,THEA 418,Acting Styles,3, THEA 210 or consent ,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Musical Theatre,Undergraduate,2024-2025,Emphasis Common Core,,,,,THEA,426,THEA 426,Stage Combat,2, Consent ,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Musical Theatre,Undergraduate,2024-2025,Emphasis Common Core,,,,,THEA,483,THEA 483,Musical Theatre History,3, THEA 100 and consent ,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Musical Theatre,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Movement/Careers ,Choose  1 Credit(s).,THEA,121,THEA 121,Movement for Theatre,3, Consent ,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Musical Theatre,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Movement/Careers ,Choose  1 Credit(s).,THEA,315,THEA 315,Careers in Theatre,1, THEA 100 ,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Musical Theatre,Undergraduate,2024-2025,Major Common Core,,,,,THEA,235,THEA 235,Fundamentals of Directing,3, THEA 100 and THEA 101 or THEA 110 ,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Musical Theatre,Undergraduate,2024-2025,Major Common Core,,,,,THEA,285W,THEA 285W,Theatre of Diversity,3,,,Purple
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Musical Theatre,Undergraduate,2024-2025,Major Common Core,,,,,THEA,381W,THEA 381W,Play Analysis,3, THEA 100 ,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Musical Theatre,Undergraduate,2024-2025,Major Common Core,,,,,THEA,481,THEA 481,History of Western Theatre,3, THEA 100 ,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Musical Theatre,Undergraduate,2024-2025,Major Common Core,,,,,THEA,482,THEA 482,Perspectives in World Performance,3, THEA 100 ,,Purple
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Musical Theatre,Undergraduate,2024-2025,Major Restricted Electives,,,Theatre Activity From at least 3 different areas,Choose  5 Credit(s).,THEA,102,THEA 102,Theatre Activity: Acting,1-2, Consent ,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Musical Theatre,Undergraduate,2024-2025,Major Restricted Electives,,,Theatre Activity From at least 3 different areas,Choose  5 Credit(s).,THEA,103,THEA 103,Theatre Activity: Management,1-2, Consent ,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Musical Theatre,Undergraduate,2024-2025,Major Restricted Electives,,,Theatre Activity From at least 3 different areas,Choose  5 Credit(s).,THEA,104,THEA 104,Theatre Activity: Dance Captain,1-2, Consent,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Musical Theatre,Undergraduate,2024-2025,Major Restricted Electives,,,Theatre Activity From at least 3 different areas,Choose  5 Credit(s).,THEA,105,THEA 105,Theatre Activity: Stagecraft,1-2, Consent ,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Musical Theatre,Undergraduate,2024-2025,Major Restricted Electives,,,Theatre Activity From at least 3 different areas,Choose  5 Credit(s).,THEA,107,THEA 107,Theatre Activity: Costume,1-2, Consent ,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Musical Theatre,Undergraduate,2024-2025,Major Restricted Electives,,,Theatre Activity From at least 3 different areas,Choose  5 Credit(s).,THEA,108,THEA 108,Theatre Activity: Lighting,1-2, Consent ,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Musical Theatre,Undergraduate,2024-2025,Major Restricted Electives,,,Theatre Activity From at least 3 different areas,Choose  5 Credit(s).,THEA,109,THEA 109,Theatre Activity: Sound,1-2, Consent ,,
Theatre Arts,BFA,Theatre Arts - BFA,6754,120,Musical Theatre,Undergraduate,2024-2025,Required General Education,,,,,THEA,100,THEA 100,Introduction to Theatre,3,,,
