ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Urban and Regional Studies,BS,Urban and Regional Studies - BS,273,120,Undergraduate,2024-2025,Major Common Core,,,,,URBS,100,Introduction to the City,3,,,,
Urban and Regional Studies,BS,Urban and Regional Studies - BS,273,120,Undergraduate,2024-2025,Major Common Core,,,,,URBS,110,The City: Design and Architecture,3,,,,
Urban and Regional Studies,BS,Urban and Regional Studies - BS,273,120,Undergraduate,2024-2025,Major Common Core,,,,,URBS,150,Sustainable Communities,3,,,,
Urban and Regional Studies,BS,Urban and Regional Studies - BS,273,120,Undergraduate,2024-2025,Major Common Core,,,,,URBS,230,Community Leadership,3,,,,
Urban and Regional Studies,BS,Urban and Regional Studies - BS,273,120,Undergraduate,2024-2025,Major Common Core,,,,,URBS,401,Foundations in Urban Management and Planning,3,,,,
Urban and Regional Studies,BS,Urban and Regional Studies - BS,273,120,Undergraduate,2024-2025,Major Common Core,,,,,URBS,402,Urban Analysis,3,,,,
Urban and Regional Studies,BS,Urban and Regional Studies - BS,273,120,Undergraduate,2024-2025,Major Common Core,,,,,URBS,489,Capstone Seminar,3,,,,
Urban and Regional Studies,BS,Urban and Regional Studies - BS,273,120,Undergraduate,2024-2025,Major Unrestricted Electives,,," Select 12 credits from URBS upper division courses, or see advisor for approval.  The department strongly recommends an internship (URBS 497).",Choose  12 Credit(s).,URBS,412,Public Information and Involvement,3,,,,
Urban and Regional Studies,BS,Urban and Regional Studies - BS,273,120,Undergraduate,2024-2025,Major Unrestricted Electives,,," Select 12 credits from URBS upper division courses, or see advisor for approval.  The department strongly recommends an internship (URBS 497).",Choose  12 Credit(s).,URBS,413,Urban Program Evaluation,3,,,,
Urban and Regional Studies,BS,Urban and Regional Studies - BS,273,120,Undergraduate,2024-2025,Major Unrestricted Electives,,," Select 12 credits from URBS upper division courses, or see advisor for approval.  The department strongly recommends an internship (URBS 497).",Choose  12 Credit(s).,URBS,415,Urban Housing Policy,3,,,,
Urban and Regional Studies,BS,Urban and Regional Studies - BS,273,120,Undergraduate,2024-2025,Major Unrestricted Electives,,," Select 12 credits from URBS upper division courses, or see advisor for approval.  The department strongly recommends an internship (URBS 497).",Choose  12 Credit(s).,URBS,417,Urban Administrative Law,3,,,,
Urban and Regional Studies,BS,Urban and Regional Studies - BS,273,120,Undergraduate,2024-2025,Major Unrestricted Electives,,," Select 12 credits from URBS upper division courses, or see advisor for approval.  The department strongly recommends an internship (URBS 497).",Choose  12 Credit(s).,URBS,431,Urban Design Principles,3,,,,
Urban and Regional Studies,BS,Urban and Regional Studies - BS,273,120,Undergraduate,2024-2025,Major Unrestricted Electives,,," Select 12 credits from URBS upper division courses, or see advisor for approval.  The department strongly recommends an internship (URBS 497).",Choose  12 Credit(s).,URBS,435,Downtown Revitalization,3,,,,
Urban and Regional Studies,BS,Urban and Regional Studies - BS,273,120,Undergraduate,2024-2025,Major Unrestricted Electives,,," Select 12 credits from URBS upper division courses, or see advisor for approval.  The department strongly recommends an internship (URBS 497).",Choose  12 Credit(s).,URBS,437,Urban Heritage Preservation,3,,,,
Urban and Regional Studies,BS,Urban and Regional Studies - BS,273,120,Undergraduate,2024-2025,Major Unrestricted Electives,,," Select 12 credits from URBS upper division courses, or see advisor for approval.  The department strongly recommends an internship (URBS 497).",Choose  12 Credit(s).,URBS,438,Historic Preservation: Policy and Field Methods,3,,,,
Urban and Regional Studies,BS,Urban and Regional Studies - BS,273,120,Undergraduate,2024-2025,Major Unrestricted Electives,,," Select 12 credits from URBS upper division courses, or see advisor for approval.  The department strongly recommends an internship (URBS 497).",Choose  12 Credit(s).,URBS,450,The Urban Context,3,,,,
Urban and Regional Studies,BS,Urban and Regional Studies - BS,273,120,Undergraduate,2024-2025,Major Unrestricted Electives,,," Select 12 credits from URBS upper division courses, or see advisor for approval.  The department strongly recommends an internship (URBS 497).",Choose  12 Credit(s).,URBS,451,Nonprofit Sector,3,,,,
Urban and Regional Studies,BS,Urban and Regional Studies - BS,273,120,Undergraduate,2024-2025,Major Unrestricted Electives,,," Select 12 credits from URBS upper division courses, or see advisor for approval.  The department strongly recommends an internship (URBS 497).",Choose  12 Credit(s).,URBS,453,Grants Administration,3,,,,
Urban and Regional Studies,BS,Urban and Regional Studies - BS,273,120,Undergraduate,2024-2025,Major Unrestricted Electives,,," Select 12 credits from URBS upper division courses, or see advisor for approval.  The department strongly recommends an internship (URBS 497).",Choose  12 Credit(s).,URBS,457,Economic Development,3,,,,
Urban and Regional Studies,BS,Urban and Regional Studies - BS,273,120,Undergraduate,2024-2025,Major Unrestricted Electives,,," Select 12 credits from URBS upper division courses, or see advisor for approval.  The department strongly recommends an internship (URBS 497).",Choose  12 Credit(s).,URBS,461,Environmental Planning,3,,,,
Urban and Regional Studies,BS,Urban and Regional Studies - BS,273,120,Undergraduate,2024-2025,Major Unrestricted Electives,,," Select 12 credits from URBS upper division courses, or see advisor for approval.  The department strongly recommends an internship (URBS 497).",Choose  12 Credit(s).,URBS,471,Urban Transportation,3,,,,
