,Course ID,Course Name,Credit Count,Prerequisites,Course Description,General Education Goal
0,ACCT 200,Financial Accounting,3,MATH 112 or MATH 115 or MATH 121 or MATH 130 or MATH 181,"The accounting process, financial statement preparation, and analysis. Includes the accounting cycle, asset, liability, and equity accounting. Emphasis on the use of accounting data.",
1,ACCT 210,Managerial Accounting,3,ACCT 200,Preparation and analysis of cost-based management reports: use of cost information to make short-term operating decisions and long-term capital decisions.,
2,ACCT 220,Accounting Cycle Applications,1,ACCT 200,This course provides extensive hands-on practice applying all steps in the accounting cycle.,
3,ACCT 300,Intermediate Financial Accounting I,3,ACCT 200,"An in-depth analysis of financial accounting concepts and procedures, and includes coverage of the income statement, balance sheet, time value of money, receivables, and inventories.",
4,ACCT 301,Intermediate Financial Accounting II,3,ACCT 300,"A continuation of Accounting 300. An in-depth analysis of long-term liabilities, stockholders’ equity, leases, pensions, deferred taxes, and the statement of cash flows.",
5,ACCT 310,Management Accounting I,3,"ACCT 200, ACCT 210","Emphasizes product and service costing, including job order and process costing systems. Other related topics are budgeting, pricing, costvolume-profit analysis, standards and variance analysis.",
6,ACCT 320,Accounting Analytics and Information Systems,3,,"A discussion of various accounting information systems. Topics include documentation, internal control, system design, knowledge structures, database design, software evaluation, systems applications and current developments.",
7,ACCT 330,(3.00) Individual Income Tax,3,"ACCT 200, ACCT 210","The course examines the principles and procedures relating to the determination and computation of federal income taxes for an individual. Federal estate tax, gift tax, and income taxation of estates and trusts are also examined.",
8,ACCT 330,Individual Income Tax,3,"ACCT 200, ACCT 210",The course examines the principles and procedures relating to the determination and computation of federal income taxes for an individual.,
9,ACCT 398,CPT: Co-Operative Experience,0,Permission of the Chairperson of the department; co-op,Curricular Practical Training: Co-Operative Experience is a zerocredit full-time practical training experience for one summer and an adjacent fall or spring term. Special rules apply to preserve fulltime student status. Please contact an advisor in your program for complete information. contract; other prerequisites may also apply.,
10,ACCT 400,Advanced Financial Accounting,3,ACCT 301,"A study of accounting principles and concepts for mergers, acquisitions, consolidated statements, foreign currency translation, partnerships, and governmental/not for profit.",
11,ACCT 410,Business Income Tax,3,"ACCT 300, ACCT 330","The course examines the principles and procedures relating to the determination and computation of federal income taxes for various business entities including sole proprietorships, corporations, partnerships and tax-exempt entities. The course also covers tax research procedures.",
12,ACCT 421,Assurance Services I,3,ACCT 300,"An overview of the external audit process, the issues facing the auditing profession today, and assurance services. Includes detailed coverage of the AICPA Code of Conduct, audit planning, substantive testing, auditors’ responsibilities for detecting fraud, and audit reports.",
13,ACCT 492,Study Tour,3-Jan,,"Study tours are led by Minnesota State University, Mankato faculty and provide students with opportunities to visit companies and attend lectures by renowned experts from key sectors of economy, government, and business.",
14,ACCT 497,Internship,6-Jan,,"Supervised experience in public, industrial or governmental accounting. Students must meet standards established by the employer and the Department of Accounting.",
15,ACCT 499,Individual Study of Accounting,4-Jan,,Individual Study,
16,AE 102,Introduction to Automotive Engineering,1,,"This course is designed to provide students new to the major an opportunity to explore issues relevant to the university, department, and career field. The goal is to provide an open forum for discussion about transitioning to college life, and to promote greater self-awareness, growth, and understanding as a scholar, individual, and global citizen. Over the course of the semester, the student will investigate college and department experiences holistically, which will allow them the ability to make informed decisions paving the way for a richer, fuller college career.",
17,AE 160,Automotive Systems,4,,"This course is centered on the theory, operation and service of the systems found in modern automobiles. Lectures and demonstrations cover the course topics and open lab sessions allow students to practice procedures on their own vehicles in the completion of course assignments.",
18,AE 261,Automotive Driveability & Diagnosis,4,,"This course focuses on the functionality of an engine’s mechanical, ignition, fuel, and emission systems using a systems approach to diagnose problems. Test equipment used in the course includes: fuel and fuel system; emission system; ignition; and mechanical diagnostic equipment.",
19,AE 262,Automotive Computers and Electronics,4,"EET 113, AE 160, AE 261","This course is centered on the theory, components, and diagnostic procedures related to modern automobile electrical and electronic systems. The major emphasis of the course involves the computer, sensors, and actuators as used in vehicles to control the ignition, fuel, emission, ABS, and chassis systems.",
20,AE 280,Data Acquisition and Analysis,3,"EET 113, MATH 121","This is an introductory course to graphical programming and data acquisition. Fundamental programming concepts are introduced including variables and data types, conditions, loop structures, functions, and data file input/output. Students will learn how to use data acquisition equipment, acquire and analyze signals, and present results.",
21,AE 334,Fluid Power,3,"MATH 121, PHYS 221","This course focuses on fluid (both hydraulic and pneumatic) power systems; including, physical properties of fluid, force, pressure, pressure head, energy, power, efficiency, losses, and applications of the laws of continuity, energy conservation, Pascal and Bernoulli laws in fluid power systems; analysis, usages, troubleshoot, and applications of pumps, cylinders, motors, shock absorbers, valves, fittings, reservoirs, accumulators, pressure gauges, flowmeters, venturi meters, pitot tubes, manometers, pressure intensifiers, application of ideal gas laws, usages and applications of compressors, pneumatic actuators, both pneumatic and hydraulic circuit designs and analyses. It also includes labs on pumps, cylinders, motors, and measuring devices.",
22,AE 364,Chassis Design and Testing,4,"MATH 121, PHYS 221","This course focuses on the theory and design of chassis systems as well as the evaluation and testing of these systems. Fundamentals of tires, suspension, brakes, vehicle dynamics, and other chassis systems are covered. Hardware and software tools are used for the evaluation of physical and simulated systems.",
23,AE 366,Automotive Thermodynamics & Engine Design,3,"MATH 121, PHYS 221. Select One Course: CHEM 191 or","This course focuses on the study of thermodynamics as it relates to internal combustion engines and their design. Static and dynamic engine measurements are thoroughly covered as well as their impact by various engine hardware configurations. Thermochemistry topics are covered including fuel characteristics, mixture ratios, emission characteristics, and combustion fundamentals.",
24,AE 387,Junior Design Project,2,STAT 354,"An examination of the engineering design process and research along with a review of topics such as ethics, professionalism, teamwork, statistics, and career development/placement. This course prepares the student for AE 488, Senior Design Project I, where the design proposal, design project and final report are completed.",
25,AE 436,Hybrid and Electric Vehicles,3,"AE 280, AE 366","This course covers advanced vehicle propulsion systems within the electric and hybrid electric category. Fundamentals of the operation of electric motors, controllers, inverters, and batteries utilized in electric and hybrid platforms will be covered. In addition, a significant focus will be placed on the application, integration, and testing of the systems in electric and hybrid electric vehicles.",
26,AE 465,Automotive Laboratory Experience,2,AE 364,"This course is designed to provide experience in management, organization, supervision, training, and maintenance in a laboratory environment. Small scale continuous improvement projects will be performed along with peer-to-peer training on equipment and safe working practices. Enrollment is limited. Sign up at least two semesters ahead. Permission is required.",
27,AE 468,Automotive Research Methods,4,"STAT 354, AE 366","Automotive research techniques and equipment form the basis of this course. Environmental measurements, airflow testing, dynamometer testing, emissions measurement, and fuel efficiency testing is covered. Emphasis is placed on research procedures, data acquisition, and interpretation. AE 488W The first of a two-course sequence where students carry out their capstone design project. Weekly meetings are scheduled where the design team carries out the tasks required for completion. Formal design presentations and research papers are presented at the end of the course. Corequisites of",
28,AET 160,Automotive Technology & Systems,4,,"This course is centered on the theory, operation and service of the systems found in modern automobiles. Lectures and demonstrations cover the course topics and open lab sessions allow students to practice procedures on their own vehicles in the completion of course assignments.",
29,AET 261,Automotive Driveability and Diagnosis,4,,"This course focuses on the engine’s mechanical, ignition, fuel, and emission system using a systems approach to diagnose problems. Test equipment used in the course includes: fuel and fuel system; emission system; ignition oscilloscopes; valve refurbishing and mechanical diagnostic equipment.",
30,AET 262,Automotive Computers and Electronics,4,"AET 160, AET 261, EET 113","This course is centered on the theory, components, and diagnostic procedures related to modern automobile electrical and electronic systems. The major emphasis of the course involves the computer, sensors, and actuators as used in vehicles to control the ignition, fuel, emission, ABS, and chassis systems.",
31,AET 280,Data Acquisition and Analysis,3,"EET 113, MATH 121","This is an introductory course to graphical programming and data acquisition using LabVIEW®. Fundamental programming concepts are introduced including variables and data types, conditions, loop structures, functions, and data file input/output. Students will learn how to use data acquisition equipment, acquire and analyze signals, and present results.",
32,AET 334,Fluid Power,3,"MATH 121, PHYS 211","Course provides a fundamental understanding of the physical principles of fluid power, along with a practical working knowledge of the components utilized in designing, installing, operating, and maintaining hydraulic and pneumatic power systems.",
33,AET 364,Chassis Design and Performance Testing,4,"MATH 121, PHYS 211","This course is an exploration of the theory and design of chassis systems, in addition to evaluation of these designs. Research tools include software design simulators, chassis geometry gauges, and dynamometers.",
34,AET 366,Automotive Thermodynamics and Engine Design,3,"CHEM 104, MATH 121, PHYS 211","This course focuses on the study of thermodynamics as it relates to internal combustion engines and their design. Static and dynamic engine measurements are thoroughly covered along with an introduction to fuel cell and hybrid application. Thermochemistry topics are covered including fuel characteristics, mixture ratios and emission characteristics.",
35,AET 387,Junior Design Project,3,"ENG 271W, STAT 154","An examination of automotive design and research along with a review of topics such as ethics, professionalism, measurement, statistics, and career development/placement. This course prepares the student for AET 488, Senior Design Project I, where the design proposal, design project and final report are completed.",
36,AET 398,CPT: Co-Operative Experience,0," AET 102. At least 60 credits earned; in, good, instructor permission; co-op contract; other prerequisites may also apply.",Curricular Practical Training: Co-Operative Experience is a zerocredit full-time practical training experience for one summer and an adjacent fall or spring term. Special rules apply to preserve fulltime student status. Please contact an advisor in your program for complete information.,
37,AET 435,Automotive Design and Construction,4-Jan,Permission Required,"Focuses on the design and construction of prototype vehicles. Topics include: vehicle design decisions, rules, budgets, chassis design, body and aerodynamics, drivetrain choices, construction techniques, and test procedures. An experimental vehicle will be built in the course. May be repeated.",
38,AET 436,Hybrid and Electric Vehicles,3,"AET 280, AET 366","This course covers advanced vehicle propulsion systems within the electric and hybrid electric category. Fundamentals of the operation of electric motors, controllers, inverters, and batteries utilized in electric and hybrid platforms will be covered. In addition, a significant focus will be placed on the application, modeling, integration, testing, and optimization of the systems in electric and hybrid electric vehicles.",
39,AET 465,Automotive Laboratory Experience,2,"AET 364, Permission required","This course is designed to provide experience in management, organization, supervision, and maintenance in a laboratory environment. Enrollment is limited. Sign up at least two semesters ahead.",
40,AET 468,Automotive Research Methods,4,"AET 366, PHYS 211, STAT 154","Automotive research techniques and equipment form the basis of this course. Environmental measurement, air flow testing, dynamometer testing, emissions measurement and fuel efficiency testing is covered. Emphasis is placed on research procedures, data acquisition and interpretation. AET 488W The first of a two-course sequence where students carry out their capstone design project. Weekly meetings are scheduled where the design team carries out the tasks required for completion. Formal design presentations and research papers are presented at the end of the course. Corequisites:",
41,AET 492,Automotive Seminar,4-Jan,Permission required,Selected automotive topics.,
42,AET 497,Internship: Automotive,10-Jan," 40 earned credits, in, ,",Automotive work experience in an area pertinent to the student’s career objective. Consent of internship coordinator required prior to the beginning of employment and registration. Typically done between the junior and senior year.,
43,AET 499,Individual Study,4-Jan,Permission required,Individual Study,
44,AGBZ 110,Agronomy Selling Skills,3,,"This course covers the basic and advanced principles and techniques used in selling agricultural merchandise and services. Agricultural Sales has taken on increased importance in recent years. The introduction of new products and services has magnified the need for technically competent knowledgeable sales personnel. Roleplaying and advanced, in-depth sales presentations will be done in class. Students will also be required to make an industry visit and write appropriate letters. THIS COURSE IS FOR BAS AGRONOMY MAJORS ONLY. The course does not apply toward any College of Business majors, certificates, or minors. The course serves as a counterpart to a South Central College course for ease of transfer.",
45,AGBZ 111,Introduction to Agriculture Economics,3,,"This course is an introduction to agricultural economics. Economic concepts of the food, fiber, and fuel industry will be explored though problem solving exercises and graphical analysis. Consumer and business behavior will be analyzed under various market and regulatory conditions, with major focus spent on determining changes to equilibrium of aggregate supply and demand curves. Both microeconomic and macroeconomic factors will be defined and discussed in relation to global and local agribusiness value chains, including many factors affecting farmers in the American Midwest. THIS COURSE IS FOR BAS AGRONOMY MAJORS ONLY. The course does not apply toward any College of Business majors, certificates, or minors. The course serves as a counterpart to a South Central College course for ease of transfer.",
