Course Number,Course Name,Credit Count,Prerequisites,Color Group
200 2024-2025,Undergraduate,Catalog,,
ACCT 200,Financial Accounting,3,,
Prerequisites: MATH,112 or MATH 115 or MATH 121 or MATH,130,,
Prerequisites: MATH,112 or MATH 115 or MATH 121 or MATH,130,,
ACCT 210,Managerial Accounting,3,,
ACCT 210,Managerial Accounting,3,,
ACCT 220,Accounting Cycle Applications,1,,
ACCT 220,Accounting Cycle Applications,1,,
ACCT 300,Intermediate Financial Accounting I,3,,
ACCT 300,Intermediate Financial Accounting I,3,,
ACCT 301,Intermediate Financial Accounting II,3,,
A continuation,of Accounting 300. An in-depth analysis,of,,
A continuation,of Accounting 300. An in-depth analysis,of,,
ACCT 310,Management Accounting I,3,,
Prerequisites: ACCT,"200,",ACCT,,
ACCT 320,Accounting Analytics and Information Systems,3,,
ACCT 330,(3.00) Individual Income Tax,3,,
Prerequisites: ACCT,"200,",ACCT,,
ACCT 398,CPT: Co-Operative Experience,0,Permission of the Chairperson of the department; co-op,
ACCT 400,Advanced Financial Accounting,3,,
ACCT 400,Advanced Financial Accounting,3,,
ACCT 410,Business Income Tax,3,,
Prerequisites: ACCT,"300,",ACCT,,
ACCT 421,Assurance Services I,3,,
ACCT 421,Assurance Services I,3,,
ACCT 492,Study Tour,1-3,,
ACCT 497,Internship,1-6,,
ACCT 499,Individual Study of Accounting,1-4,,
GERO 200,Family Dynamics of Aging,3,,Gold
www.mnsu.edu 2024-2025,Undergraduate,Catalog,,
GERO 200W,(3.00) Family Dynamics of Aging,3,,Gold
GERO 398,CPT: Co-Operative Experience,0,,
Prerequisites: At,least 60 credits earned; in good,standing;,,
GERO 450,Innovations in Aging Policy,3,,
GERO 480,Long-Term Care Administration,3,,
GERO 485,Topics in Gerontology,1-3,,
GERO 487,Long-Term Care Regulatory Management,3,,
GERO 490,Workshop,1-3,,
GERO 491,In-Service,1-6,,
GERO 497,Internship,1-6,Consent,
GERO 498,Practicum: Nursing Home Administration,1-6,by application and consent only,
GERO 499,Individual Study in Gerontology,1-4,,
AGBZ 110,Agronomy Selling Skills,3,,
AGBZ 111,Introduction to Agriculture Economics,3,,
AGBZ 315,Agronomy Finance Management,4,,
AGBZ 330,AgriBusiness & Food Supply Chain,Management3,,
202 2024-2025,Undergraduate,Catalog,,
AGBZ 340,Commodity Marketing Principles,3,,
AGBZ 345,Commodity Marketing Strategies,2,,
AGBZ 350,Agribusiness Transfer & Law,3,,
AGBZ 370,AgriBusiness Finance,3,,
AGBZ 371,Agricultural Technology Seminar,2,,
AGBZ 492,Study Tour,1-3,,
AGBZ 496,Internship,1-4,,
AIS 101,Introduction to American Indigenous Studies,3,,
AIS 112,Elementary Ojibwe I,4,,Purple
AIS 113,Elementary Ojibwe II,4,,Purple
AIS 130,Introduction to Indigenous Education,3,,Purple
AIS 210W,Oral Traditions,3,,Purple
AIS 211,Native America to 1900,3,,
to 1900,in North America. It introduces students to,the,,Purple
AIS 212,Native America 1900 to Present,3,,
This course,is an introduction to Native American history,from,,
www.mnsu.edu 2024-2025,Undergraduate,Catalog,,
AIS 220W,Introduction to Tribal Sovereignty,3,,Purple
AIS 230W,American Indians of Minnesota,3,,
AIS 240W,American Indian Women,3,,
AIS 275,Selected Topics,3,,
AIS 300W,American Indian Leaders,3,,Purple
AIS 330,Indigenous Education,3,,Purple
AIS 340,American Indians in Film,3,,
AIS 360,Indigenous Peoples and Environmental Struggles,3,,Purple
AIS 380,The Sacred Landscape,3,,Purple
AIS 398,CPT: Co-Operative Experience,0,,
Prerequisites: At,least 60 credits earned; in good,standing;,,
AIS 455,Museum Science and Representation,3,,Gold
AIS 460,Behaving Like Relatives,3,,Gold
AIS 475,Selected Topics,3,,
AIS 485,Workshop,1-6,,
AIS 497,Internship,1-12,,Gold
AIS 499,Individual Study,1-6,,
ANTH 101,Introduction to Anthropology,4,,Purple
ANTH 102,Ancient Peoples,4,,
ANTH 120,Forensic Science: An Anthropological,Approach4,,
ANTH 210,Introduction to Archaeology,4,,
204 2024-2025,Undergraduate,Catalog,,
ANTH 220,Human Origins,4,,
ANTH 230,Peoples and Cultures of the World,4,,Purple
ANTH 240,Language and Culture,4,,
ANTH 245,The Social Life of Swearing,4,,Purple
ANTH 250W,Portraits of Culture,4,,Purple
ANTH 260,"Vampires, Werewolves, and",Zombies:,,
ANTH 261,"Taboos, Tattoos, and T-Shirts:",Culture,,
ANTH 269,Anthropology of Sex,4,,Purple
ANTH 280,Engaged Anthropology,3,,Gold
Prerequisites: ANTH,"101, ANTH 230, or",instructor,,
ANTH 285,Special Topics,1-3,,
ANTH 290,Exploratory Studies,1-3,,
ANTH 290,Exploratory Studies,1-3,Consent,
ANTH 300,Introduction to Anthropology Methods,4,,
ANTH 300,Introduction to Anthropology Methods,4,,
ANTH 311,Ancient Egypt,4,,
ANTH 323,Primate Behavior,4,,
Prerequisites: ANTH,101 or ANTH 220,or,,
ANTH 331,Environmental Anthropology,4,,
ANTH 332,Anthropology of Religion,4,,Purple
ANTH 333,Ethnographic Film,3,,
ANTH 335,People and Cultures of Sub-Saharan Africa,4,,
ANTH 340,Language and Power,4,,Purple
ANTH 360,Business Anthropology,4,,
ANTH 361,Foodways,4,,Purple
www.mnsu.edu 2024-2025,Undergraduate,Catalog,,
ANTH 398,CPT: Co-Operative Experience,0,,
Prerequisites: At,least 60 credits earned; in good,standing;,,
ANTH 410,Archaeology of Minnesota,4,,
A detailed,study of Minnesota archaeology from ca.,"12,000",,
