Program,hasPrereqToMajor,prereqToMajorList,hasReqGenEds,reqGenEdsList,hasMajorCommonCore,majorCommonCoreList,hasThesisCapstone,ChooseThesisCapstone,hasMajorRestrictiveElectives,majorRestrictiveElectivesList,hasMajorUnrestrictedElectives,majorUnrestrictedElectivesList,hasOtherGradReq,otherGradReq
Statistics (BS),False,,True,['MATH 121'],True,"['CIS 121', 'CIS 122', 'MATH 122', 'MATH 223', 'MATH 247', 'STAT 154', 'STAT 354', 'STAT 356', 'STAT 450', 'STAT 451', 'STAT 455', 'STAT 456', 'STAT 457', 'STAT 458', 'STAT 459', 'STAT 492']",False,,True,"[['credits_16', 'MATH 290', 'MATH 321', 'MATH 375', 'MATH 422', 'MATH 425', 'MATH 470', 'MATH 471'], ['credits_16', 'BIOL 105', 'BIOL 106', 'BIOL 211', 'BIOL 320', 'BIOL 479'], ['credits_16', 'CIS 223', 'CIS 224', 'CIS 340', 'CIS 350', 'CIS 360', 'CIS 380', 'MATH 470', 'CIS 414', 'CIS 418', 'CIS 440', 'CIS 442', 'CIS 443', 'CIS 444', 'CIS 446', 'CIS 450', 'CIS 460', 'CIS 462', 'CIS 464', 'CIS 465', 'CIS 480', 'CIS 482', 'CIS 483', 'CIS 484', 'CIS 485']]",False,,False,
English Studies (BA),False,,False,,True,['ENG 496'],False,,True,"[['credits_8', 'ENG 271W', 'ENG 275W', 'ENG 385']]",True,"[['credits_16', 'ENG 311W', 'ENG 316', 'ENG 317', 'ENG 318', 'ENG 319', 'ENG 320', 'ENG 321', 'ENG 322', 'ENG 323', 'ENG 325', 'ENG 327', 'ENG 328', 'ENG 361', 'ENG 362', 'ENG 381', 'ENG 401', 'ENG 402W', 'ENG 403W', 'ENG 407', 'ENG 410', 'ENG 412W', 'ENG 425', 'ENG 426', 'ENG 430', 'ENG 433W', 'ENG 435', 'ENG 436W', 'ENG 437W', 'ENG 438W', 'ENG 441', 'ENG 461', 'ENG 463', 'ENG 464', 'ENG 466', 'ENG 467', 'ENG 469', 'ENG 470', 'ENG 471', 'ENG 472', 'ENG 474W', 'ENG 475', 'ENG 477W', 'ENG 478', 'ENG 479', 'ENG 480', 'ENG 481', 'ENG 482', 'ENG 483', 'ENG 484', 'ENG 486', 'ENG 487', 'ENG 489', 'ENG 491', 'ENG 492', 'ENG 494', 'ENG 498', 'ENG 499', 'HUM 350', 'HUM 380', 'HUM 450W', 'HUM 490', 'HUM 498', 'HUM 499']]",False,
Theatre Arts (BS),False,,True,['THEA 100'],True,"['THEA 235', 'THEA 285W', 'THEA 381W', 'THEA 481', 'THEA 482', ['credits_5', 'THEA 102', 'THEA 103', 'THEA 104', 'THEA 105', 'THEA 107', 'THEA 108', 'THEA 109']]",False,,True,"[['credits_3', 'THEA 101', 'THEA 110'], ['credits_15', 'DANC 322', 'DANC 333', 'THEA 410', 'THEA 412', 'THEA 414', 'THEA 416', 'THEA 417', 'THEA 418', 'THEA 419', 'THEA 430', 'THEA 435', 'THEA 440', 'THEA 451', 'THEA 455', 'THEA 460', 'THEA 470', 'THEA 475', 'THEA 483', 'THEA 485W', 'THEA 487W'], ['credits_9', 'THEA 121', 'THEA 210', 'THEA 214', 'THEA 215', 'THEA 231', 'THEA 240', 'THEA 252', 'THEA 255', 'THEA 260', 'THEA 265', 'THEA 270', 'THEA 275'], ['credits_1', 'THEA 315', 'THEA 400'], ['credits_3', 'THEA 252', 'THEA 255', 'THEA 260', 'THEA 270', 'THEA 275']]",False,,False,
Experimental Psychology (CERT),False,,False,,True,"['PSYC 101', 'PSYC 201', 'PSYC 211W', 'PSYC 496']",False,,True,"[['credits_7', 'PSYC 419', 'PSYC 423', 'PSYC 430', 'PSYC 443', 'PSYC 450']]",False,,False,
Spanish for the Professions (MS),False,,False,,False,,True,['SPAN 690'],True,"[['credits_9', 'SPAN 602', 'SPAN 603', 'SPAN 604', 'SPAN 605', 'SPAN 641', 'SPAN 642', 'SPAN 643'], ['credits_9', 'SPAN 601', 'SPAN 652', 'SPAN 653', 'SPAN 654'], ['credits_9', 'SPAN 631', 'SPAN 632', 'SPAN 634']]",False,,True,[]
History (BS),False,,False,,True,['HIST 495W'],False,,True,"[['credits_4', 'HIST 497', 'SOST 450'], ['credits_4', 'HIST 368', 'HIST 430', 'HIST 436', 'HIST 452', 'HIST 454', 'HIST 455', 'HIST 458', 'HIST 459', 'HIST 462', 'HIST 463', 'HIST 466', 'HIST 470', 'HIST 471', 'HIST 476', 'HIST 477', 'HIST 478', 'HIST 481W', 'HIST 483', 'HIST 484', 'HIST 485', 'HIST 486', 'HIST 487', 'HIST 488'], ['credits_4', 'HIST 302', 'HIST 401', 'HIST 402', 'HIST 403', 'HIST 406', 'HIST 407', 'HIST 408', 'HIST 410', 'HIST 414', 'HIST 415', 'HIST 419', 'HIST 424', 'HIST 431', 'HIST 432', 'HIST 434', 'HIST 435', 'HIST 436', 'HIST 437', 'HIST 438', 'HIST 441', 'HIST 442', 'HIST 446', 'HIST 466', 'HIST 476', 'HIST 478'], ['credits_8', 'HIST 155', 'HIST 170', 'HIST 170W', 'HIST 171', 'HIST 171W', 'HIST 180', 'HIST 180W', 'HIST 181', 'HIST 181W', 'HIST 190', 'HIST 190W', 'HIST 191', 'HIST 191W', 'HIST 232', 'HIST 235', 'HIST 244', 'HIST 246W', 'HIST 250', 'HIST 260', 'HIST 260W', 'HIST 268', 'HIST 280']]",True,"[['credits_4', 'HIST 155', 'HIST 170', 'HIST 170W', 'HIST 171', 'HIST 171W', 'HIST 180', 'HIST 180W', 'HIST 181', 'HIST 181W', 'HIST 190', 'HIST 190W', 'HIST 191', 'HIST 191W', 'HIST 232', 'HIST 235', 'HIST 244', 'HIST 246W', 'HIST 250', 'HIST 260', 'HIST 260W', 'HIST 268', 'HIST 280', 'HIST 300', 'HIST 369', 'HIST 390', 'HIST 391', 'HIST 392', 'HIST 443', 'HIST 444', 'HIST 445', 'HIST 467', 'HIST 490', 'HIST 499'], ['credits_8', 'HIST 300', 'HIST 369', 'HIST 390', 'HIST 391', 'HIST 392', 'HIST 443', 'HIST 444', 'HIST 445', 'HIST 467', 'HIST 490', 'HIST 499']]",False,
Applied Statistics (MS),False,,False,,True,"['STAT 550', 'STAT 555', 'STAT 556']",False,,True,"[['credits_15', 'MATH 620', 'MATH 621', 'MATH 628', 'MATH 672', 'MATH 674', 'STAT 644', 'STAT 650', 'STAT 653', 'STAT 654', 'STAT 659', 'STAT 680', 'STAT 696'], ['credits_6', 'MATH 517', 'MATH 525', 'MATH 547', 'MATH 570', 'STAT 551', 'STAT 557', 'STAT 558', 'STAT 559']]",False,,True,"[['credits_1', 'STAT 694', 'STAT 699']]"
Geology (BS),False,,True,"[['credits_3', 'GEOL 100', 'GEOL 107', 'GEOL 121'], ['credits_9', 'CHEM 201', 'PHYS 211'], ['credits_4', 'CIS 121', 'MATH 121', 'STAT 154'], ['credits_4', 'ENG 271W']]",True,"['GEOL 122', 'GEOL 201', 'GEOL 495', ['credits_8', 'GEOL 302', 'GEOL 320W', 'GEOL 330']]",False,,True,"[['credits_12', 'GEOL 302', 'GEOL 320W', 'GEOL 330', 'GEOL 401', 'GEOL 410', 'GEOL 430', 'GEOL 449', 'GEOL 450', 'GEOL 460'], ['credits_3', 'CHEM 305', 'ENVR 440', 'GEOG 315', 'GEOG 373', 'GEOG 411', 'GEOG 415', 'GEOG 416W', 'GEOG 471', 'GEOG 474']]",False,,True,"[['credits_4', 'GEOL 440', 'GEOL 497', 'GEOL 499']]"
Nursing Practice (DNP),False,,False,,True,"['NURS 552', 'NURS 553', 'NURS 554', 'NURS 556', 'NURS 601', 'NURS 602', 'NURS 607', 'NURS 633', 'NURS 635', 'NURS 641', 'NURS 642', 'NURS 643', 'NURS 644', 'NURS 665', 'NURS 668', 'NURS 670', 'NURS 671', 'NURS 675', 'NURS 691', 'NURS 709', 'NURS 711', 'NURS 715', 'NURS 719']",True,"['NURS 741', 'NURS 742', 'NURS 743']",False,,False,,True,"['NURS 604']"
Sociology (MA),False,,False,,True,"['SOC 600', 'SOC 603', 'SOC 604', 'SOC 605', 'SOC 606', 'SOC 608']",True,"[['credits_1', 'SOC 694', 'SOC 699']]",True,"[['credits_9', 'SOC 502', 'SOC 504', 'SOC 505', 'SOC 507', 'SOC 509', 'SOC 517', 'SOC 520', 'SOC 523', 'SOC 525', 'SOC 530', 'SOC 542', 'SOC 546', 'SOC 558', 'SOC 560', 'SOC 561', 'SOC 563', 'SOC 566', 'SOC 569', 'SOC 579', 'SOC 580', 'SOC 582', 'SOC 583', 'SOC 584', 'SOC 585', 'SOC 590', 'SOC 593', 'SOC 601', 'SOC 607', 'SOC 677', 'SOC 695', 'SOC 697']]",False,,False,
