Program,hasPrereqToMajor,prereqToMajorList,hasReqGenEds,reqGenEdsList,hasMajorCommonCore,majorCommonCoreList,hasThesisCapstone,ChooseThesisCapstone,hasMajorRestrictiveElectives,majorRestrictiveElectivesList,hasMajorUnrestrictedElectives,majorUnrestrictedElectivesList,hasOtherGradReq,otherGradReq

Aging Studies (MS),False,,False,,True,"[['credits_unknown', 'GERO 600']]",True,"[['credits_1', 'GERO 694', 'GERO 699']]",True,"[['credits_3', 'ANTH 521', 'BIOL 517', 'HLTH 555'], ['credits_6', 'GERO 697'], ['credits_3', 'GERO 550', 'GERO 585', 'GERO 603', 'SOWK 519'], ['credits_3', 'ANTH 536', 'PSYC 566', 'SOC 504', 'SOC 505']]",False,,False,
Accounting (BS),True,['ACCT 200'],True,['ECON 201'],True,['ACCT 210'],False,,False,,True,['BUS 397'],False,
Aging Studies (MS),False,,False,,True,['GERO 600'],True,"[['credits_1', 'GERO 694', 'GERO 699']]",True,"[['credits_3', 'ANTH 521', 'BIOL 517', 'HLTH 555'], ['credits_6', 'GERO 697'], ['credits_3', 'GERO 550', 'GERO 585', 'GERO 603', 'SOWK 519'], ['credits_3', 'ANTH 536', 'PSYC 566', 'SOC 504', 'SOC 505']]",False,,False,
Accounting (BS),True,['ACCT 200'],True,['ECON 201'],True,['ACCT 210'],False,,False,,True,['BUS 397'],False,
Accounting (BS),True,"[['credits_unknown', 'ACCT 200', 'BUS 295', 'CIS 101']]",True,"[['credits_unknown', 'ECON 201', 'MATH 130'], ['credits_3', 'PHIL 120W', 'PHIL 205W', 'PHIL 222W', 'PHIL 224W', 'PHIL 226W', 'PHIL 240W']]",True,"[['credits_unknown', 'ACCT 210', 'BLAW 200', 'ECON 202', 'ECON 207', 'FINA 362', 'IBUS 380', 'MGMT 230', 'MGMT 300', 'MGMT 346', 'MGMT 481', 'MRKT 210'], ['credits_28', 'ACCT 220', 'ACCT 300', 'ACCT 301', 'ACCT 310', 'ACCT 320', 'ACCT 330', 'ACCT 400', 'ACCT 410', 'ACCT 421', 'BLAW 450']]",False,,False,,True,"[['credits_unknown', 'BUS 397']]",False,
Accounting (BS),True,"['ACCT 200', 'BUS 295', 'CIS 101']",True,"['ECON 201', 'MATH 130']",True,"['ACCT 210', 'BLAW 200', 'ECON 202', 'ECON 207', 'FINA 362', 'IBUS 380', 'MGMT 230', 'MGMT 300', 'MGMT 346', 'MGMT 481', 'MRKT 210']",False,,False,,True,['BUS 397'],False,
Accounting (MACC),False,,False,,True,"['MACC 615', 'MACC 640', 'MACC 655', 'MBA 610']",True,['MACC 680'],True,"[['credits_20', 'MACC 620', 'MACC 625', 'MACC 630', 'MACC 635', 'MACC 642', 'MACC 645', 'MACC 650', 'MACC 651', 'MACC 652', 'MACC 660', 'MACC 661', 'MACC 670', 'MBA 612', 'MBA 614', 'MBA 623', 'MBA 630', 'MBA 634', 'MBA 642', 'MBA 645', 'MBA 651', 'MBA 657', 'MBA 663', 'MBA 665', 'MBA 667', 'MBA 672', 'MBA 676', 'MBA 681', 'MBA 683', 'MBA 690', 'MBA 695', 'MBA 696', 'MBA 697', 'MBA 698']]",False,,False,
Accounting (BS),True,"['ACCT 200', 'BUS 295', 'CIS 101']",True,"['ECON 201', 'MATH 130']",True,"['ACCT 210', 'BLAW 200', 'ECON 202', 'ECON 207', 'FINA 362', 'IBUS 380', 'MGMT 230', 'MGMT 300', 'MGMT 346', 'MGMT 481', 'MRKT 210']",False,,False,,True,['BUS 397'],False,
Accounting (BS),True,"['ACCT 200', 'BUS 295', 'CIS 101']",True,"['ECON 201', 'MATH 130', ['credits_3', 'PHIL 120W', 'PHIL 205W', 'PHIL 222W', 'PHIL 224W', 'PHIL 226W', 'PHIL 240W']]",True,"['ACCT 210', 'BLAW 200', 'ECON 202', 'ECON 207', 'FINA 362', 'IBUS 380', 'MGMT 230', 'MGMT 300', 'MGMT 346', 'MGMT 481', 'MRKT 210', ['credits_28', 'ACCT 220', 'ACCT 300', 'ACCT 301', 'ACCT 310', 'ACCT 320', 'ACCT 330', 'ACCT 400', 'ACCT 410', 'ACCT 421', 'BLAW 450']]",False,,False,,True,['BUS 397'],False,
Aging Studies (MS),False,,False,,True,['GERO 600'],True,"[['credits_1', 'GERO 694', 'GERO 699']]",True,"[['credits_3', 'ANTH 521', 'BIOL 517', 'HLTH 555'], ['credits_6', 'GERO 697'], ['credits_3', 'GERO 550', 'GERO 585', 'GERO 603', 'SOWK 519'], ['credits_3', 'ANTH 536', 'PSYC 566', 'SOC 504', 'SOC 505']]",False,,False,
Aging Studies (GC),False,,False,,True,"['GERO 550', 'GERO 600', 'GERO 603', 'SOC 517', 'SOC 566']",False,,False,,False,,False,
Educational Leadership (SPEC),False,,False,,True,"['EDLD 665', 'EDLD 670', 'EDLD 671', 'EDLD 672', 'EDLD 673', 'EDLD 674', 'EDLD 679', 'EDLD 682', 'EDLD 698']",False,,True,"['EDLD 635', 'EDLD 636', 'EDLD 637', 'EDLD 670']",False,,False,
