ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Accounting,BS,Accounting - BS,140,120,Undergraduate,2024-2025,Required General Education,,,,,ECON,201,Principles of Macroeconomics,3,,,,
Accounting,BS,Accounting - BS,140,120,Undergraduate,2024-2025,Required General Education,,,,,MATH,130,Finite Mathematics and Introductory Calculus,4,"Satisfy Placement Table in this section, or grade of “C” (2.0) or better in either MATH 112 or MATH 115.",,,
Accounting,BS,Accounting - BS,140,120,Undergraduate,2024-2025,Required General Education,,, ,Choose  3 Credit(s).,PHIL,120W,Introduction to Ethics,3,,,,
Accounting,BS,Accounting - BS,140,120,Undergraduate,2024-2025,Required General Education,,, ,Choose  3 Credit(s).,PHIL,205W,"Culture, Identity, and Diversity",3,,,,
Accounting,BS,Accounting - BS,140,120,Undergraduate,2024-2025,Required General Education,,, ,Choose  3 Credit(s).,PHIL,222W,Medical Ethics,3,,,,
Accounting,BS,Accounting - BS,140,120,Undergraduate,2024-2025,Required General Education,,, ,Choose  3 Credit(s).,PHIL,224W,Business Ethics,3,,,,
Accounting,BS,Accounting - BS,140,120,Undergraduate,2024-2025,Required General Education,,, ,Choose  3 Credit(s).,PHIL,226W,Environmental Ethics,3,,,,
Accounting,BS,Accounting - BS,140,120,Undergraduate,2024-2025,Required General Education,,, ,Choose  3 Credit(s).,PHIL,240W,"Law, Justice & Society",3,,,,
Accounting,BS,Accounting - BS,140,120,Undergraduate,2024-2025,Prerequisites to the Major,,,,,ACCT,200,Financial Accounting,3,MATH 112 or MATH 115	or MATH 121 or MATH 130 or MATH 181,,,
Accounting,BS,Accounting - BS,140,120,Undergraduate,2024-2025,Prerequisites to the Major,,,,,BUS,295,Professional Preparation for Business Careers,2,,,,
Accounting,BS,Accounting - BS,140,120,Undergraduate,2024-2025,Prerequisites to the Major,,,,,CIS,101,Introduction to Information Systems,3,,,,
Accounting,BS,Accounting - BS,140,120,Undergraduate,2024-2025,Major Common Core,,,,,ACCT,210,Managerial Accounting,3,ACCT 200,,,
Accounting,BS,Accounting - BS,140,120,Undergraduate,2024-2025,Major Common Core,,,,,BLAW,200,Legal Environment of Business,3,,,,
Accounting,BS,Accounting - BS,140,120,Undergraduate,2024-2025,Major Common Core,,,,,ECON,202,Principles of Microeconomics,3,,,,
Accounting,BS,Accounting - BS,140,120,Undergraduate,2024-2025,Major Common Core,,,,,ECON,207,Business Statistics,4,MATH 112 or equivalent,,,
Accounting,BS,Accounting - BS,140,120,Undergraduate,2024-2025,Major Common Core,,,,,FINA,362,Business Finance,3,ACCT 200,,,
Accounting,BS,Accounting - BS,140,120,Undergraduate,2024-2025,Major Common Core,,,,,IBUS,380,Principles of International Business,3,,,,
Accounting,BS,Accounting - BS,140,120,Undergraduate,2024-2025,Major Common Core,,,,,MGMT,230,Principles of Management,3,,,,
Accounting,BS,Accounting - BS,140,120,Undergraduate,2024-2025,Major Common Core,,,,,MGMT,300,Introduction to MIS,3,ISYS 101 or CIS 101,,,
Accounting,BS,Accounting - BS,140,120,Undergraduate,2024-2025,Major Common Core,,,,,MGMT,346,Operations Management for the Supply Chain,3,ECON 207 ,,,
Accounting,BS,Accounting - BS,140,120,Undergraduate,2024-2025,Major Common Core,,,,,MGMT,481,Business Policy & Strategy,3,"FINA 362, MRKT 210, MGMT 230, MGMT 346",,,
Accounting,BS,Accounting - BS,140,120,Undergraduate,2024-2025,Major Common Core,,,,,MRKT,210,Principles of Marketing,3,,,,
Accounting,BS,Accounting - BS,140,120,Undergraduate,2024-2025,Major Common Core,,,Required for all Accounting Majors (C or better required) ,Choose  28 Credit(s).,ACCT,220,Accounting Cycle Applications,1,ACCT 200,,,
Accounting,BS,Accounting - BS,140,120,Undergraduate,2024-2025,Major Common Core,,,Required for all Accounting Majors (C or better required) ,Choose  28 Credit(s).,ACCT,300,Intermediate Financial Accounting I,3,ACCT 200,,,
Accounting,BS,Accounting - BS,140,120,Undergraduate,2024-2025,Major Common Core,,,Required for all Accounting Majors (C or better required) ,Choose  28 Credit(s).,ACCT,301,Intermediate Financial Accounting II,3,ACCT 300 ,,,
Accounting,BS,Accounting - BS,140,120,Undergraduate,2024-2025,Major Common Core,,,Required for all Accounting Majors (C or better required) ,Choose  28 Credit(s).,ACCT,310,Management Accounting I,3,"ACCT 200, ACCT 210",,,
Accounting,BS,Accounting - BS,140,120,Undergraduate,2024-2025,Major Common Core,,,Required for all Accounting Majors (C or better required) ,Choose  28 Credit(s).,ACCT,320,Accounting Analytics and Information Systems,3,,,,
Accounting,BS,Accounting - BS,140,120,Undergraduate,2024-2025,Major Common Core,,,Required for all Accounting Majors (C or better required) ,Choose  28 Credit(s).,ACCT,330,Individual Income Tax,3,"ACCT 200, ACCT 210",,,
Accounting,BS,Accounting - BS,140,120,Undergraduate,2024-2025,Major Common Core,,,Required for all Accounting Majors (C or better required) ,Choose  28 Credit(s).,ACCT,400,Advanced Financial Accounting,3,ACCT 301 ,,,
Accounting,BS,Accounting - BS,140,120,Undergraduate,2024-2025,Major Common Core,,,Required for all Accounting Majors (C or better required) ,Choose  28 Credit(s).,ACCT,410,Business Income Tax,3,"ACCT 300, ACCT 330 ",,,
Accounting,BS,Accounting - BS,140,120,Undergraduate,2024-2025,Major Common Core,,,Required for all Accounting Majors (C or better required) ,Choose  28 Credit(s).,ACCT,421,Assurance Services I,3,ACCT 300,,,
Accounting,BS,Accounting - BS,140,120,Undergraduate,2024-2025,Major Common Core,,,Required for all Accounting Majors (C or better required) ,Choose  28 Credit(s).,BLAW,450,Contract Law and Professional Responsibility,3,BLAW 200 ,,,
Accounting,BS,Accounting - BS,140,120,Undergraduate,2024-2025,Major Unrestricted Electives,,,Optional Applied Experience ,,BUS,397,IBE Practicum,3,Must be admitted to a major.,"FINA 362, MGMT 230, MRKT 210",,"FINA 362, MGMT 230, MRKT 210"
Accounting,MACC,Accounting - MACC,200212015,30,Graduate,2024-2025,Common Core,,,,,MACC,615,Accounting Theory,2,,,,
Accounting,MACC,Accounting - MACC,200212015,30,Graduate,2024-2025,Common Core,,,,,MACC,640,External Auditing and Other Attest Services,2,,,,
Accounting,MACC,Accounting - MACC,200212015,30,Graduate,2024-2025,Common Core,,,,,MACC,655,Fundamentals of Federal Income Tax,2,,,,
Accounting,MACC,Accounting - MACC,200212015,30,Graduate,2024-2025,Common Core,,,,,MBA,610,Writing in the Workplace,2,,,,
Accounting,MACC,Accounting - MACC,200212015,30,Graduate,2024-2025,Restricted Electives,,, ,Choose  20 Credit(s).,MACC,620,Financial Statement Analysis,2,,,,
Accounting,MACC,Accounting - MACC,200212015,30,Graduate,2024-2025,Restricted Electives,,, ,Choose  20 Credit(s).,MACC,625,Governmental and Nonprofit Accounting,2,,,,
Accounting,MACC,Accounting - MACC,200212015,30,Graduate,2024-2025,Restricted Electives,,, ,Choose  20 Credit(s).,MACC,630,Corporate Governance and Professional Ethics,2,,,,
Accounting,MACC,Accounting - MACC,200212015,30,Graduate,2024-2025,Restricted Electives,,, ,Choose  20 Credit(s).,MACC,635,Special Topics in Accounting,2,,,,
Accounting,MACC,Accounting - MACC,200212015,30,Graduate,2024-2025,Restricted Electives,,, ,Choose  20 Credit(s).,MACC,642,Fraud Examination and Forensic Accounting,2,,,,
Accounting,MACC,Accounting - MACC,200212015,30,Graduate,2024-2025,Restricted Electives,,, ,Choose  20 Credit(s).,MACC,645,IT Auditing,2,,,,
Accounting,MACC,Accounting - MACC,200212015,30,Graduate,2024-2025,Restricted Electives,,, ,Choose  20 Credit(s).,MACC,650,Tax Research and Consultancy,2,,,,
Accounting,MACC,Accounting - MACC,200212015,30,Graduate,2024-2025,Restricted Electives,,, ,Choose  20 Credit(s).,MACC,651,Taxation of Partnerships,2,,,,
Accounting,MACC,Accounting - MACC,200212015,30,Graduate,2024-2025,Restricted Electives,,, ,Choose  20 Credit(s).,MACC,652,Taxation of Corporations,2,,,,
Accounting,MACC,Accounting - MACC,200212015,30,Graduate,2024-2025,Restricted Electives,,, ,Choose  20 Credit(s).,MACC,660,Applied Business Analytics,2,,,,
Accounting,MACC,Accounting - MACC,200212015,30,Graduate,2024-2025,Restricted Electives,,, ,Choose  20 Credit(s).,MACC,661,International Accounting,2,,,,
Accounting,MACC,Accounting - MACC,200212015,30,Graduate,2024-2025,Restricted Electives,,, ,Choose  20 Credit(s).,MACC,670,Internship,1-4,,,,
Accounting,MACC,Accounting - MACC,200212015,30,Graduate,2024-2025,Capstone Course,,,,,MACC,680,Controllership,2,MACC 615,,,
Accounting,MACC,Accounting - MACC,200212015,30,Graduate,2024-2025,Restricted Electives,,, ,Choose  20 Credit(s).,MBA,612,Data Analysis and Statistics for Managers,2,,,,
Accounting,MACC,Accounting - MACC,200212015,30,Graduate,2024-2025,Restricted Electives,,, ,Choose  20 Credit(s).,MBA,614,Economic Analysis for Managers,2,,,,
Accounting,MACC,Accounting - MACC,200212015,30,Graduate,2024-2025,Restricted Electives,,, ,Choose  20 Credit(s).,MBA,623,Legal and Ethical Environment of Business,2,,,,
Accounting,MACC,Accounting - MACC,200212015,30,Graduate,2024-2025,Restricted Electives,,, ,Choose  20 Credit(s).,MBA,630,Accounting for Management,2,,,,
