ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Advanced Dental Therapy,MS,Advanced Dental Therapy - MS,201664611,37,Graduate,2024-2025,Common Core,,,,,ADT,500,Dental Anatomy and Biomaterials in Advanced Dental Therapy,1,,,,
Advanced Dental Therapy,MS,Advanced Dental Therapy - MS,201664611,37,Graduate,2024-2025,Common Core,,,,,ADT,505,Advanced Dental Therapy Preclinical Operative Dentistry,5.00                                    ,,,,
Advanced Dental Therapy,MS,Advanced Dental Therapy - MS,201664611,37,Graduate,2024-2025,Common Core,,,,,ADT,510,Health Assessment and Treatment Planning Seminar,1,,,,
Advanced Dental Therapy,MS,Advanced Dental Therapy - MS,201664611,37,Graduate,2024-2025,Common Core,,,,,ADT,515,Pediatric and Adolescent Oral Healthcare in Advanced Dental Therapy,5.00                                    ,,,,
Advanced Dental Therapy,MS,Advanced Dental Therapy - MS,201664611,37,Graduate,2024-2025,Common Core,,,,,ADT,520,Health Assessment and Treatment Planning Lab and Clinic,2,,,,
Advanced Dental Therapy,MS,Advanced Dental Therapy - MS,201664611,37,Graduate,2024-2025,Common Core,,,,,ADT,525,Advanced Dental Therapy Clinic & Seminar I,4,,,,
Advanced Dental Therapy,MS,Advanced Dental Therapy - MS,201664611,37,Graduate,2024-2025,Common Core,,,,,ADT,615,Pharmacology in Advanced Dental Therapy Practice,2,,,,
Advanced Dental Therapy,MS,Advanced Dental Therapy - MS,201664611,37,Graduate,2024-2025,Common Core,,,,,ADT,620,Management of Medical and Dental Emergencies in Advanced Dental Therapy,1,,,,
Advanced Dental Therapy,MS,Advanced Dental Therapy - MS,201664611,37,Graduate,2024-2025,Common Core,,,,,ADT,640,Advanced Dental Therapy Clinic II,3,,,,
Advanced Dental Therapy,MS,Advanced Dental Therapy - MS,201664611,37,Graduate,2024-2025,Common Core,,,,,ADT,645,Advanced Dental Therapy Clinic & Seminar III,3,,,,
Advanced Dental Therapy,MS,Advanced Dental Therapy - MS,201664611,37,Graduate,2024-2025,Common Core,,,,,ADT,650,Advanced Dental Therapy Clinic & Seminar IV,3,,,,
Advanced Dental Therapy,MS,Advanced Dental Therapy - MS,201664611,37,Graduate,2024-2025,Common Core,,,,,ADT,655,Advanced Dental Therapy Clinic and Seminar V,3,,,,
Advanced Dental Therapy,MS,Advanced Dental Therapy - MS,201664611,37,Graduate,2024-2025,Common Core,,,,,ADT,660,Integrated Dental Therapy Practice,2,,,,
Advanced Dental Therapy,MS,Advanced Dental Therapy - MS,201664611,37,Graduate,2024-2025,Research/Methods Course(s),,,,,ADT,656,Research skills for the Advanced Dental Therapist,1,,,,
Advanced Dental Therapy,MS,Advanced Dental Therapy - MS,201664611,37,Graduate,2024-2025,Capstone Course,,,,,ADT,661,Capstone Project for Advanced Dental Therapist,1,,,,
