ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Agricultural Sciences,BS,Agricultural Sciences - BS,201726620,120,Undergraduate,2024-2025,Required General Education,,,,,BIOL,105,General Biology I,4,,,,
Agricultural Sciences,BS,Agricultural Sciences - BS,201726620,120,Undergraduate,2024-2025,Required General Education,,,,,CHEM,201,General Chemistry I,5,“C” (2.0) or higher in MATH 112 or the equivalent; high school chemistry or “C” (2.0) or higher in CHEM 104.,,,
Agricultural Sciences,BS,Agricultural Sciences - BS,201726620,120,Undergraduate,2024-2025,Required General Education,,,,,ENG,271W,Technical Communication,4,ENG 101 ,,,
Agricultural Sciences,BS,Agricultural Sciences - BS,201726620,120,Undergraduate,2024-2025,Required General Education,,,Math Requirement ,Choose3 - 4 Credit(s).,MATH,113,Trigonometry,3,"Satisfy Placement Table in this section, or MATH 112 with “C” (2.0) or better. ",,,
Agricultural Sciences,BS,Agricultural Sciences - BS,201726620,120,Undergraduate,2024-2025,Required General Education,,,Math Requirement ,Choose3 - 4 Credit(s).,MATH,115,Precalculus Mathematics,4,"Satisfy Math Placement Table in this section, or grade of P in MATH 098.",,,
Agricultural Sciences,BS,Agricultural Sciences - BS,201726620,120,Undergraduate,2024-2025,Required General Education,,,Math Requirement ,Choose3 - 4 Credit(s).,MATH,121,Calculus I,4,"Satisfy Placement Table in this section, MATH 115 or both MATH 112 and MATH 113 with “C” (2.0) or better.",,,
Agricultural Sciences,BS,Agricultural Sciences - BS,201726620,120,Undergraduate,2024-2025,Major Common Core,,,,,BIOL,106,General Biology II,4,,,,
Agricultural Sciences,BS,Agricultural Sciences - BS,201726620,120,Undergraduate,2024-2025,Major Common Core,,,,,BIOL,211,Genetics,4,"BIOL 105, BIOL 106, and MATH 112 ",,,
Agricultural Sciences,BS,Agricultural Sciences - BS,201726620,120,Undergraduate,2024-2025,Major Common Core,,,,,BIOL,215,General Ecology,4,BIOL 105 and BIOL 106 or consent ,,,
Agricultural Sciences,BS,Agricultural Sciences - BS,201726620,120,Undergraduate,2024-2025,Major Common Core,,,,,BIOL,270,Microbiology,4,"One BIOL course and one semester of chemistry from among CHEM 104, CHEM 106, CHEM 111, or CHEM 201 ",,,
Agricultural Sciences,BS,Agricultural Sciences - BS,201726620,120,Undergraduate,2024-2025,Major Common Core,,,,,BIOL,410,Global Change Biology,3,"BIOL 105, BIOL 106, BIOL 215 or consent ",,,
Agricultural Sciences,BS,Agricultural Sciences - BS,201726620,120,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,202,General Chemistry II,5,“C” (2.0) or higher in CHEM 201 ,,,
Agricultural Sciences,BS,Agricultural Sciences - BS,201726620,120,Undergraduate,2024-2025,Major Common Core,,,,,ENVR,440,Environmental Regulations,3,,,,
Agricultural Sciences,BS,Agricultural Sciences - BS,201726620,120,Undergraduate,2024-2025,Major Common Core,,,,,HLTH,475,Biostatistics,3,"MATH 110, STAT 154, Or any other mathematics course higher than MATH 110.",,,
Agricultural Sciences,BS,Agricultural Sciences - BS,201726620,120,Undergraduate,2024-2025,Major Common Core,,,,,MGMT,360,AgriBusiness in the Modern Economy,3,,,,
Agricultural Sciences,BS,Agricultural Sciences - BS,201726620,120,Undergraduate,2024-2025,Major Restricted Electives,,,Recommended ,,CHEM,322,Organic Chemistry I,4,"CHEM 202, “C” (2.0) or higher in CHEM 202.",,,
Agricultural Sciences,BS,Agricultural Sciences - BS,201726620,120,Undergraduate,2024-2025,Major Restricted Electives,,,Required ,Choose  1 Credit(s).,BIOL,497,Internship I,1-12,Consent ,,,
Agricultural Sciences,BS,Agricultural Sciences - BS,201726620,120,Undergraduate,2024-2025,Major Restricted Electives,,,Required ,Choose  1 Credit(s).,BIOL,499,Individual Study,1-4,,,,
Agricultural Sciences,BS,Agricultural Sciences - BS,201726620,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose15 - 16 Credit(s).,BIOL,420,Diagnostic Parasitology,4,"BIOL 100 or BIOL 105, BIOL 106 recommended ",,,
Agricultural Sciences,BS,Agricultural Sciences - BS,201726620,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose15 - 16 Credit(s).,BIOL,421,Entomology,3,BIOL 105 and BIOL 106 or consent ,,,
Agricultural Sciences,BS,Agricultural Sciences - BS,201726620,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose15 - 16 Credit(s).,BIOL,436,Animal Behavior,4,"BIOL 105, BIOL 106",,,
Agricultural Sciences,BS,Agricultural Sciences - BS,201726620,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose15 - 16 Credit(s).,BIOL,443W,Plant Ecology,4,,,,
Agricultural Sciences,BS,Agricultural Sciences - BS,201726620,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose15 - 16 Credit(s).,BIOL,446,Principles of Weed Science,4,"BIOL 215, BIOL 217",,,
Agricultural Sciences,BS,Agricultural Sciences - BS,201726620,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose15 - 16 Credit(s).,BIOL,451,Agroecology,4,"BIOL 105, BIOL 106",,,
Agricultural Sciences,BS,Agricultural Sciences - BS,201726620,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose15 - 16 Credit(s).,GEOG,373,Introduction to Geography Information Systems,4,,,,
Agricultural Sciences,BS,Agricultural Sciences - BS,201726620,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose15 - 16 Credit(s).,GEOG,411,Soils Geomorphology,4,,,,
Agricultural Sciences,BS,Agricultural Sciences - BS,201726620,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose15 - 16 Credit(s).,GEOG,413,Soil Conservation,4,,,,
Agricultural Sciences,BS,Agricultural Sciences - BS,201726620,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose15 - 16 Credit(s).,GEOG,471,Digital Field Mapping with GPS,4,GEOG 373 or equivalent ,,,
Agricultural Sciences,BS,Agricultural Sciences - BS,201726620,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose15 - 16 Credit(s).,GEOL,449,Applied Soil Science and Surface Hydrology,4,GEOL 100 GEOL 104 or GEOL 107 or GEOL 121,,,
Agricultural Sciences,BS,Agricultural Sciences - BS,201726620,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose18 - 20 Credit(s).,BIOL,217,Plant Science,4,BIOL 105 and BIOL 106 or consent ,,,
Agricultural Sciences,BS,Agricultural Sciences - BS,201726620,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose18 - 20 Credit(s).,BIOL,412,Soil Ecology,4,"BIOL 105, BIOL 106, BIOL 215, or consent ",,,
Agricultural Sciences,BS,Agricultural Sciences - BS,201726620,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose18 - 20 Credit(s).,BIOL,423,Comparative Vertebrate Anatomy,4,"BIOL 105, BIOL 106, BIOL 306",,,
Agricultural Sciences,BS,Agricultural Sciences - BS,201726620,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose18 - 20 Credit(s).,BIOL,431,Comparative Animal Physiology,3,"BIOL 105, BIOL 106 or consent ",,,
Agricultural Sciences,BS,Agricultural Sciences - BS,201726620,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose18 - 20 Credit(s).,BIOL,441,Plant Physiology,4,"BIOL 105, BIOL 106, BIOL 217, one semester organic chemistry recommended. ",,,
Agricultural Sciences,BS,Agricultural Sciences - BS,201726620,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose18 - 20 Credit(s).,BIOL,472,Microbial Ecology and Bioremediation,4,"BIOL 105, BIOL 106, and BIOL 270 ",,,
Agricultural Sciences,BS,Agricultural Sciences - BS,201726620,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose18 - 20 Credit(s).,GEOG,413,Soil Conservation,4,,,,
Agricultural Sciences,BS,Agricultural Sciences - BS,201726620,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose18 - 20 Credit(s).,GEOL,104,Introduction to Soil Science,4,,,,
