ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Anthropology,BA,Anthropology - BA,41,120,Undergraduate,2024-2025,Prerequisites to the Major,,,,,ANTH,101,Introduction to Anthropology,4,,,Purple,
Anthropology,BA,Anthropology - BA,41,120,Undergraduate,2024-2025,Major Common Core,,,,,ANTH,210,Introduction to Archaeology,4,,,,
Anthropology,BA,Anthropology - BA,41,120,Undergraduate,2024-2025,Major Common Core,,,,,ANTH,220,Human Origins,4,,,,
Anthropology,BA,Anthropology - BA,41,120,Undergraduate,2024-2025,Major Common Core,,,,,ANTH,230,Peoples and Cultures of the World,4,,,Purple,
Anthropology,BA,Anthropology - BA,41,120,Undergraduate,2024-2025,Major Common Core,,,,,ANTH,240,Language and Culture,4,,,Purple,
Anthropology,BA,Anthropology - BA,41,120,Undergraduate,2024-2025,Major Common Core,,,,,ANTH,300,Introduction to Anthropology Methods,4,ANTH 101,,,
Anthropology,BA,Anthropology - BA,41,120,Undergraduate,2024-2025,Major Common Core,,,,,ANTH,438W,Anthropological Theory,4,,,,
Anthropology,BA,Anthropology - BA,41,120,Undergraduate,2024-2025,Major Common Core,,,,,ANTH,475,Senior Thesis,3,ANTH 300,,,
Anthropology,BA,Anthropology - BA,41,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  9 Credit(s).,AIS,101,Introduction to American Indigenous Studies,3,,,,
Anthropology,BA,Anthropology - BA,41,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  9 Credit(s).,AIS,112,Elementary Ojibwe I,4,,,Purple,
Anthropology,BA,Anthropology - BA,41,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  9 Credit(s).,AIS,113,Elementary Ojibwe II,4,,,Purple,
Anthropology,BA,Anthropology - BA,41,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  9 Credit(s).,AIS,130,Introduction to Indigenous Education,3,,,Purple,
Anthropology,BA,Anthropology - BA,41,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  9 Credit(s).,AIS,210W,Oral Traditions,3,,,Purple,
Anthropology,BA,Anthropology - BA,41,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  9 Credit(s).,AIS,211,Native America to 1900,3,,,Purple,
Anthropology,BA,Anthropology - BA,41,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  9 Credit(s).,AIS,212,Native America 1900 to Present,3,,,Purple,
Anthropology,BA,Anthropology - BA,41,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  9 Credit(s).,AIS,220W,Introduction to Tribal Sovereignty,3,,,Purple,
Anthropology,BA,Anthropology - BA,41,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  9 Credit(s).,AIS,230W,American Indians of Minnesota,3,,,Purple,
Anthropology,BA,Anthropology - BA,41,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  9 Credit(s).,AIS,240W,American Indian Women,3,,,Purple,
