ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Applied Health Science,BS,Applied Health Science - BS,36,120,Undergraduate,2024-2025,Required General Education,,,,,HLTH,101,Health and the Environment,3,,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Undergraduate,2024-2025,Required General Education,,,,,HLTH,212,Consumer Health,3,,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Undergraduate,2024-2025,Required General Education,,,Chemistry ,Choose3 - 5 Credit(s).,CHEM,100,Chemistry in Society,4,,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Undergraduate,2024-2025,Required General Education,,,Chemistry ,Choose3 - 5 Credit(s).,CHEM,104,Introduction to Chemistry,3,,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Undergraduate,2024-2025,Required General Education,,,Chemistry ,Choose3 - 5 Credit(s).,CHEM,106,Chemistry of Life Process Part I (General),3,High school algebra recommended,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Undergraduate,2024-2025,Required General Education,,,Chemistry ,Choose3 - 5 Credit(s).,CHEM,111,Chemistry of Life Process Part II (Organic & Biochemistry),5,CHEM 106 or high school chemistry ,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Undergraduate,2024-2025,Required General Education,,,Chemistry ,Choose3 - 5 Credit(s).,CHEM,201,General Chemistry I,5,“C” (2.0) or higher in MATH 112 or the equivalent; high school chemistry or “C” (2.0) or higher in CHEM 104.,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Undergraduate,2024-2025,Required General Education,,,Communication ,Choose  3 Credit(s).,COMM,100,Fundamentals of Communication,3,,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Undergraduate,2024-2025,Required General Education,,,Communication ,Choose  3 Credit(s).,COMM,102,Public Speaking,3,,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Undergraduate,2024-2025,Required General Education,,,,,BIOL,105,General Biology I,4,,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Undergraduate,2024-2025,Required General Education,,,,,HLTH,210,Emergency Medical Responder First Aid & CPR,3,,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Undergraduate,2024-2025,Required General Education,,,,,PSYC,101,Introduction to Psychological Science,4,,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Undergraduate,2024-2025,Required General Education,,,,,STAT,154,Elementary Statistics,4,"Satisfy Placement Table in this section, or MATH 098 with grade of P. ",,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Undergraduate,2024-2025,Required General Education,,,Communication  ,Choose  3 Credit(s).,COMM,100,Fundamentals of Communication,3,,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Undergraduate,2024-2025,Required General Education,,,Communication  ,Choose  3 Credit(s).,COMM,102,Public Speaking,3,,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Undergraduate,2024-2025,Required General Education,,,,,BIOL,100,Our Natural World,4,,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Undergraduate,2024-2025,Major Common Core,,,,,HLTH,260,Introduction to Applied Health Science,3,,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Undergraduate,2024-2025,Major Common Core,,,,,HLTH,295,Professional Preparation in Health Careers,1,,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Undergraduate,2024-2025,Major Common Core,,,,,HLTH,360,Theories and Models of Health Education,3,HLTH 260,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Undergraduate,2024-2025,Major Common Core,,,,,HLTH,361W,Health Communication and Advocacy,4,"HLTH 101, HLTH 360",,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Undergraduate,2024-2025,Major Common Core,,,,,HLTH,380W,"Health Education Planning, Implementing, and Evaluating 1",3,"HLTH 360, HLTH 361W",,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Undergraduate,2024-2025,Major Common Core,,,,,HLTH,454,Chronic and Infectious Diseases,3,,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Undergraduate,2024-2025,Major Common Core,,,,,HLTH,460,Introduction to Epidemiology,3,,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Undergraduate,2024-2025,Major Common Core,,,,,HLTH,480,"Health Education Planning, Implementing and Evaluating 2",3,HLTH 380W,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Undergraduate,2024-2025,Major Common Core,,,,,HLTH,482W,Administration and Grant Writing in Health Education,4,HLTH 380W,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,BIOL,201,Anatomy & Physiology I,4,,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,BIOL,202,Anatomy & Physiology II,4,,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,FCS,242,Nutrition for Healthcare Professionals,3,Select One Course: CHEM 106 or CHEM 111,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,HLTH,321,Medical Terminology,3,,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,HP,314,Physiology of Exercise,3,BIOL 330,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,PHYS,211,Principles of Physics I,4,"Either MATH 112 and MATH 113, or MATH 115",,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,ACCT,200,Financial Accounting,3,MATH 112 or MATH 115	or MATH 121 or MATH 130 or MATH 181,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,ACCT,210,Managerial Accounting,3,ACCT 200,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,ECON,201,Principles of Macroeconomics,3,,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,ECON,202,Principles of Microeconomics,3,,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,ECON,207,Business Statistics,4,MATH 112 or equivalent,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,HLTH,465,Public Health and Healthcare Systems,3,,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,HLTH,475,Biostatistics,3,"MATH 110, STAT 154, Or any other mathematics course higher than MATH 110.",,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,MATH,112,College Algebra,4,"Satisfy Placement Table in this section, or MATH 098 with grade of P. ",,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,PSYC,101,Introduction to Psychological Science,4,,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,PSYC,455,Abnormal Psychology,4,PSYC 101,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,SOC,101,Introduction to Sociology,4,,,Purple,
Applied Health Science,BS,Applied Health Science - BS,36,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,HLTH,450,Environmental Health,3,,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,HLTH,466,Global Health,3,,,Purple,
Applied Health Science,BS,Applied Health Science - BS,36,120,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Health ,Choose  6 Credit(s).,FCS,242,Nutrition for Healthcare Professionals,3,Select One Course: CHEM 106 or CHEM 111,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Health ,Choose  6 Credit(s).,HLTH,209,Basic First Aid & CPR,1,,,,
Applied Health Science,BS,Applied Health Science - BS,36,120,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Health ,Choose  6 Credit(s).,HLTH,210,Emergency Medical Responder First Aid & CPR,3,,,,
