ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Applied Health Science,MS,Applied Health Science - MS,28,30,Graduate,2024-2025,Common Core,,,,,HLTH,606,Epidemiology,3,,,,
Applied Health Science,MS,Applied Health Science - MS,28,30,Graduate,2024-2025,Common Core,,,,,HLTH,659,Health Administration,3,,,,
Applied Health Science,MS,Applied Health Science - MS,28,30,Graduate,2024-2025,Common Core,,,,,HLTH,664,Health Program Planning & Evaluation,3,,,,
Applied Health Science,MS,Applied Health Science - MS,28,30,Graduate,2024-2025,Common Core,,,,,HLTH,665,Models and Theories of Health Behavior and Health Promotion,3,,,,
Applied Health Science,MS,Applied Health Science - MS,28,30,Graduate,2024-2025,Common Core,,,,,HLTH,667,Advanced Health Communications and Advocacy,3,,,,
Applied Health Science,MS,Applied Health Science - MS,28,30,Graduate,2024-2025,Common Core,,,,,HLTH,675,Applied Biostatistics,3,,,,
Applied Health Science,MS,Applied Health Science - MS,28,30,Graduate,2024-2025,Restricted Electives,,, ,Choose  6 Credit(s).,HLTH,510,Current Health Issues,3,,,,
Applied Health Science,MS,Applied Health Science - MS,28,30,Graduate,2024-2025,Restricted Electives,,, ,Choose  6 Credit(s).,HLTH,550,Environmental Health,3,,,,
Applied Health Science,MS,Applied Health Science - MS,28,30,Graduate,2024-2025,Restricted Electives,,, ,Choose  6 Credit(s).,HLTH,551,Emotional Health and Stress,3,,,,
Applied Health Science,MS,Applied Health Science - MS,28,30,Graduate,2024-2025,Restricted Electives,,, ,Choose  6 Credit(s).,HLTH,555,Health and Aging,3,,,,
Applied Health Science,MS,Applied Health Science - MS,28,30,Graduate,2024-2025,Restricted Electives,,, ,Choose  6 Credit(s).,HLTH,556,Assessment and Diagnosis of Substance Use Disorders,3,,,,
Applied Health Science,MS,Applied Health Science - MS,28,30,Graduate,2024-2025,Restricted Electives,,, ,Choose  6 Credit(s).,HLTH,559,Critical Topics in Health,1-3,,,,
Applied Health Science,MS,Applied Health Science - MS,28,30,Graduate,2024-2025,Restricted Electives,,, ,Choose  6 Credit(s).,HLTH,565,Public Health and Healthcare Systems,3,,,,
Applied Health Science,MS,Applied Health Science - MS,28,30,Graduate,2024-2025,Restricted Electives,,, ,Choose  6 Credit(s).,HLTH,566,Global Health,3,,,,
Applied Health Science,MS,Applied Health Science - MS,28,30,Graduate,2024-2025,Restricted Electives,,, ,Choose  6 Credit(s).,HLTH,567,Public Health Law,3,,,,
Applied Health Science,MS,Applied Health Science - MS,28,30,Graduate,2024-2025,Restricted Electives,,, ,Choose  6 Credit(s).,HLTH,569,Co-Occurring Disorders,3,,,,
Applied Health Science,MS,Applied Health Science - MS,28,30,Graduate,2024-2025,Restricted Electives,,, ,Choose  6 Credit(s).,HLTH,588,Worksite Health Promotion,3,,,,
Applied Health Science,MS,Applied Health Science - MS,28,30,Graduate,2024-2025,Restricted Electives,,, ,Choose  6 Credit(s).,HLTH,632,Alcohol and Drug Education,3,,,,
Applied Health Science,MS,Applied Health Science - MS,28,30,Graduate,2024-2025,Restricted Electives,,, ,Choose  6 Credit(s).,HLTH,654,Disease and Prevention in Public Health,3,,,,
Applied Health Science,MS,Applied Health Science - MS,28,30,Graduate,2024-2025,Restricted Electives,,, ,Choose  6 Credit(s).,HLTH,658,Grant Writing for Health Professions,3,,,,
Applied Health Science,MS,Applied Health Science - MS,28,30,Graduate,2024-2025,Restricted Electives,,, ,Choose  6 Credit(s).,HLTH,662,Human Sexuality,3,,,,
Applied Health Science,MS,Applied Health Science - MS,28,30,Graduate,2024-2025,Restricted Electives,,, ,Choose  6 Credit(s).,HLTH,676,Behavior Change Foundations and Strategies,3,,,,
Applied Health Science,MS,Applied Health Science - MS,28,30,Graduate,2024-2025,Research/Methods Course(s),,,,,HLTH,630,Health Research Methods,3,,,,
Applied Health Science,MS,Applied Health Science - MS,28,30,Graduate,2024-2025,Capstone Course,,,,,HLTH,694,Alternate Plan Paper,1-3,,,,
Applied Health Science,MS,Applied Health Science - MS,28,30,Graduate,2024-2025,Capstone Course,,,,,HLTH,699,Thesis,1-4,,,,
