ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Art,BFA,Art - BFA,2515,120,Undergraduate,2024-2025,Required General Education,,,,,ART,260,Art History Survey I,3,ART 350 ,,,
Art,BFA,Art - BFA,2515,120,Undergraduate,2024-2025,Required General Education,,,,,ART,261,Art History Survey II,3,ART 370 ,,,
Art,BFA,Art - BFA,2515,120,Undergraduate,2024-2025,Major Common Core,,,,,ART,101,Design Foundations,3,,Two 300-level photography courses are required.,,Two 300-level photography courses are required.
Art,BFA,Art - BFA,2515,120,Undergraduate,2024-2025,Major Common Core,,,,,ART,103,Three-Dimensional Design,3,ART 380 ,,,
Art,BFA,Art - BFA,2515,120,Undergraduate,2024-2025,Major Common Core,,,,,ART,110,Drawing Foundations,3,,,,
Art,BFA,Art - BFA,2515,120,Undergraduate,2024-2025,Major Common Core,,,,,ART,391,Portfolio Review,0,ART 110 ,,,
Art,BFA,Art - BFA,2515,120,Undergraduate,2024-2025,Major Common Core,,,,,ART,466,Realism to Postmodernism,3,ART 110 ,,,
Art,BFA,Art - BFA,2515,120,Undergraduate,2024-2025,Major Common Core,,,,,ART,392,Portfolio Review: Graphic Design,0,,,,
Art,BFA,Art - BFA,2515,120,Undergraduate,2024-2025,Major Restricted Electives,Advanced Drawing and Art/Design History Choose 12 Credit(s).,,,Choose3 - 6 Credit(s).,ART,210,Drawing,3,ART 202,,,
Art,BFA,Art - BFA,2515,120,Undergraduate,2024-2025,Major Restricted Electives,Advanced Drawing and Art/Design History Choose 12 Credit(s).,,,Choose3 - 6 Credit(s).,ART,212,Life Drawing,3,ART 103 or consent,,,
Art,BFA,Art - BFA,2515,120,Undergraduate,2024-2025,Major Restricted Electives,Advanced Drawing and Art/Design History Choose 12 Credit(s).,,,Choose3 - 6 Credit(s).,ART,310,Drawing,3,,,,
Art,BFA,Art - BFA,2515,120,Undergraduate,2024-2025,Major Restricted Electives,Advanced Drawing and Art/Design History Choose 12 Credit(s).,,,Choose3 - 6 Credit(s).,ART,410,Drawing Workshop,3-6,"ART 100 or ART 101, ART 110 or consent",,,
Art,BFA,Art - BFA,2515,120,Undergraduate,2024-2025,Major Restricted Electives,Advanced Drawing and Art/Design History Choose 12 Credit(s).,,,Choose6 - 9 Credit(s).,ART,417,Medieval Art and Architecture,3,"ART 100 or ART 101, ART 110 or consent",,,
Art,BFA,Art - BFA,2515,120,Undergraduate,2024-2025,Major Restricted Electives,Advanced Drawing and Art/Design History Choose 12 Credit(s).,,,Choose6 - 9 Credit(s).,ART,419,Gender in Art,3,,,,
Art,BFA,Art - BFA,2515,120,Undergraduate,2024-2025,Major Restricted Electives,Advanced Drawing and Art/Design History Choose 12 Credit(s).,,,Choose6 - 9 Credit(s).,ART,460,Ancient Art,3,,,,
Art,BFA,Art - BFA,2515,120,Undergraduate,2024-2025,Major Restricted Electives,Advanced Drawing and Art/Design History Choose 12 Credit(s).,,,Choose6 - 9 Credit(s).,ART,462,Renaissance Art,3,ART 103 or consent ,,,
Art,BFA,Art - BFA,2515,120,Undergraduate,2024-2025,Major Restricted Electives,Advanced Drawing and Art/Design History Choose 12 Credit(s).,,,Choose6 - 9 Credit(s).,ART,463,Mannerism to Romanticism,3,,,,
Art,BFA,Art - BFA,2515,120,Undergraduate,2024-2025,Major Restricted Electives,Advanced Drawing and Art/Design History Choose 12 Credit(s).,,,Choose6 - 9 Credit(s).,ART,464,Art Museum and Exhibition Studies,3,,,,
Art,BFA,Art - BFA,2515,120,Undergraduate,2024-2025,Major Restricted Electives,Advanced Drawing and Art/Design History Choose 12 Credit(s).,,,Choose6 - 9 Credit(s).,ART,467,Art of the Islamic World,3,,,,
Art,BFA,Art - BFA,2515,120,Undergraduate,2024-2025,Major Restricted Electives,Advanced Drawing and Art/Design History Choose 12 Credit(s).,,,Choose6 - 9 Credit(s).,ART,468,Design: History and Theory,3,,,,
Art,BFA,Art - BFA,2515,120,Undergraduate,2024-2025,Major Restricted Electives,Advanced Drawing and Art/Design History Choose 12 Credit(s).,,,Choose6 - 9 Credit(s).,ART,469,Asian Art,3,,,,
Art,BFA,Art - BFA,2515,120,Undergraduate,2024-2025,Major Restricted Electives,Advanced Drawing and Art/Design History Choose 12 Credit(s).,,,Choose6 - 9 Credit(s).,ART,477W,Roots of Modern Islamic Art,3,,,,
Art,BFA,Art - BFA,2515,120,Undergraduate,2024-2025,Major Restricted Electives,"Capstone Students are required to participate in an exhibit the semester they intend to graduate. The course includes the planning, installation, and de-installation of a group exhibition.",,,Choose  1 Credit(s).,ART,495,Senior Exhibit,0-1,,,,
Art,BFA,Art - BFA,2515,120,Undergraduate,2024-2025,Major Restricted Electives,Foundation Courses Select six (6) courses from at least five (5) areas for a total of 18 credits.,,,,ART,202,Introduction to Digital Media,3,,,,
Art,BFA,Art - BFA,2515,120,Undergraduate,2024-2025,Major Restricted Electives,Foundation Courses Select six (6) courses from at least five (5) areas for a total of 18 credits.,,,,ART,210,Drawing,3,Acceptance into the M.S. in Athletic Training degree program,,,
Art,BFA,Art - BFA,2515,120,Undergraduate,2024-2025,Major Restricted Electives,Foundation Courses Select six (6) courses from at least five (5) areas for a total of 18 credits.,,,,ART,212,Life Drawing,3,Acceptance into the M.S. in Athletic Training degree program.,,,
Art,BFA,Art - BFA,2515,120,Undergraduate,2024-2025,Major Restricted Electives,Foundation Courses Select six (6) courses from at least five (5) areas for a total of 18 credits.,,,,ART,220,Graphic Design I,3,,,,
Art,BFA,Art - BFA,2515,120,Undergraduate,2024-2025,Major Restricted Electives,Foundation Courses Select six (6) courses from at least five (5) areas for a total of 18 credits.,,,,ART,231,Mixed Media,3,,,,
Art,BFA,Art - BFA,2515,120,Undergraduate,2024-2025,Major Restricted Electives,Foundation Courses Select six (6) courses from at least five (5) areas for a total of 18 credits.,,,,ART,240,Painting,3,,,,
Art,BFA,Art - BFA,2515,120,Undergraduate,2024-2025,Major Restricted Electives,Foundation Courses Select six (6) courses from at least five (5) areas for a total of 18 credits.,,,,ART,245,Watercolor,3,,,,
Art,BFA,Art - BFA,2515,120,Undergraduate,2024-2025,Major Restricted Electives,Foundation Courses Select six (6) courses from at least five (5) areas for a total of 18 credits.,,,,ART,250,Ceramics: Beginning Wheel,3,,,,
Art,BFA,Art - BFA,2515,120,Undergraduate,2024-2025,Major Restricted Electives,Foundation Courses Select six (6) courses from at least five (5) areas for a total of 18 credits.,,,,ART,251,Ceramics: Beginning Handbuilding,3,,,,
Art,BFA,Art - BFA,2515,120,Undergraduate,2024-2025,Major Restricted Electives,Foundation Courses Select six (6) courses from at least five (5) areas for a total of 18 credits.,,,,ART,270,Printmaking: Beginning Silkscreen and Lithography,3,,,,
Art,BFA,Art - BFA,2515,120,Undergraduate,2024-2025,Major Restricted Electives,Foundation Courses Select six (6) courses from at least five (5) areas for a total of 18 credits.,,,,ART,271,Printmaking: Beginning Intaglio/Relief,3,,,,
Art,BFA,Art - BFA,2515,120,Undergraduate,2024-2025,Major Restricted Electives,Foundation Courses Select six (6) courses from at least five (5) areas for a total of 18 credits.,,,,ART,275,Introduction to Photography,3,,,,
Art,BFA,Art - BFA,2515,120,Undergraduate,2024-2025,Major Restricted Electives,Foundation Courses Select six (6) courses from at least five (5) areas for a total of 18 credits.,,,,ART,280,Sculpture,3,,,,
Art,BFA,Art - BFA,2515,120,Undergraduate,2024-2025,Major Restricted Electives,Foundation Courses Select six (6) courses from at least five (5) areas for a total of 18 credits.,,,,ART,285,Introduction to Installation,3,,,,
Art,BFA,Art - BFA,2515,120,Undergraduate,2024-2025,Major Restricted Electives,Advanced Drawing and Art/Design History Choose 12 Credit(s),,,Choose3 - 6 Credit(s).,ART,210,Drawing,3,,,,
