ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,Undergraduate,2024-2025,Required General Education,,,,,CHEM,104,Introduction to Chemistry,3,“C” (2.0) or higher in CHEM 202 ,,,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,Undergraduate,2024-2025,Required General Education,,,,,ECON,202,Principles of Microeconomics,3,"CHEM 202, “C” (2.0) or higher in CHEM 202.",,,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,Undergraduate,2024-2025,Required General Education,,,,,ENG,271W,Technical Communication,4,"CHEM 322 with a ""C"" (2.0) or higher.",,,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,Undergraduate,2024-2025,Required General Education,,,,,STAT,154,Elementary Statistics,4,CHEM 324, CHEM 324 ,,CHEM 324 
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,Undergraduate,2024-2025,Prerequisites to the Major,,,,,AET,102,Introduction to Automotive Engineering Technology,1,"MATH 121, PHYS 211, CHEM 305",,,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,Undergraduate,2024-2025,Prerequisites to the Major,,,,,AET,160,Automotive Technology & Systems,4,CHEM 445,,,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,Undergraduate,2024-2025,Prerequisites to the Major,,,,,AET,261,Automotive Driveability and Diagnosis,4,"BIOL 106, CHEM 324. BIOL 106 or permission “C” (2.0) or higher in all prerequisites.",,,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,Undergraduate,2024-2025,Prerequisites to the Major,,,,,AET,262,Automotive Computers and Electronics,4,CHEM 460 ,,,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,Undergraduate,2024-2025,Prerequisites to the Major,,,,,EET,113,DC Circuits,3,Concurrent registration in CHEM 460 or completion of CHEM 460 with “C” or higher. CHEM 305 is highly recommended. ,,,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,Undergraduate,2024-2025,Prerequisites to the Major,,,,,ENG,101,Foundations of Writing & Rhetoric,4,,,,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,Undergraduate,2024-2025,Prerequisites to the Major,,,,,MATH,121,Calculus I,4,"ENG 101, CHEM 324",,,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,Undergraduate,2024-2025,Prerequisites to the Major,,,,,MET,142,Introduction to Parametric Modeling,3,CHEM 445 or CHEM 465,,,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,Undergraduate,2024-2025,Prerequisites to the Major,,,,,MET,275,Manufacturing Processes I,4,"Either MATH 112 and MATH 113, or MATH 115",,,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,Undergraduate,2024-2025,Prerequisites to the Major,,,,,PHYS,211,Principles of Physics I,4,PHYS 211 ,,,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,Undergraduate,2024-2025,Prerequisites to the Major,,,Communication ,Choose  3 Credit(s).,COMM,100,Fundamentals of Communication,3,"BIOL 105 and BIOL 106, BIOL 211 ",,,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,Undergraduate,2024-2025,Prerequisites to the Major,,,Communication ,Choose  3 Credit(s).,COMM,102,Public Speaking,3,"BIOL 105, BIOL 106, BIOL 211",,,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,Undergraduate,2024-2025,Major Common Core,,,,,AET,280,Data Acquisition and Analysis,3,,,,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,Undergraduate,2024-2025,Major Common Core,,,,,AET,334,Fluid Power,3,“C” (2.0) or higher in MATH 112 or the equivalent; high school chemistry or “C” (2.0) or higher in CHEM 104.,,,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,Undergraduate,2024-2025,Major Common Core,,,,,AET,364,Chassis Design and Performance Testing,4,"Satisfy Placement Table in this section, or MATH 112 with “C” (2.0) or better. ",,,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,Undergraduate,2024-2025,Major Common Core,,,,,AET,366,Automotive Thermodynamics and Engine Design,3,"Satisfy Math Placement Table in this section, or grade of P in MATH 098.",,,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,Undergraduate,2024-2025,Major Common Core,,,,,AET,387,Junior Design Project,3,"Satisfy Placement Table in this section, MATH 115 or both MATH 112 and MATH 113 with “C” (2.0) or better.",,,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,Undergraduate,2024-2025,Major Common Core,,,,,AET,436,Hybrid and Electric Vehicles,3,,,,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,Undergraduate,2024-2025,Major Common Core,,,,,AET,465,Automotive Laboratory Experience,2,"BIOL 105, BIOL 106, and MATH 112 ",,,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,Undergraduate,2024-2025,Major Common Core,,,,,AET,468,Automotive Research Methods,4,"BIOL 105, BIOL 106, BIOL 211",,,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,Undergraduate,2024-2025,Major Common Core,,,,,AET,488W,Senior Design Project I,3,,,,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,Undergraduate,2024-2025,Major Common Core,,,,,AET,489W,Senior Design Project II,3,"Either MATH 112 and MATH 113, or MATH 115",,,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,Undergraduate,2024-2025,Major Common Core,,,,,MATH,122,Calculus II,4,,,,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,Undergraduate,2024-2025,Major Common Core,,,,,MET,323,Statics,3,"MATH 110, STAT 154, Or any other mathematics course higher than MATH 110.",,,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,Undergraduate,2024-2025,Major Common Core,,,,,MET,324,Strength of Materials and Dynamics,4,"Satisfy Placement Table in this section, or MATH 098 with grade of P. ",,,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,Undergraduate,2024-2025,Major Common Core,,,,,MET,341,Advanced Parametric Modeling,3,BIOL 105 and BIOL 106 or consent ,,,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,Undergraduate,2024-2025,Major Common Core,,,,,MET,375,Manufacturing Processes II ,4,BIOL 105 and BIOL 106 or consent ,,,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,Undergraduate,2024-2025,Major Common Core,,,,,MET,424,Industrial Safety,2,"BIOL 105, BIOL 106",,,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,Undergraduate,2024-2025,Major Common Core,,,,,MET,425,Project and Value Management,3,CHEM 106 or high school chemistry ,,,
Automotive Engineering Technology,BS,Automotive Engineering Technology - BS,47,128,Undergraduate,2024-2025,Major Common Core,,,,,PHYS,212,Principles of Physics II,4,“C” (2.0) or higher in CHEM 201 ,,,
