ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Biochemistry,BA,Biochemistry - BA,74,120,Undergraduate,2024-2025,Required General Education,,,,,BIOL,105,General Biology I,4,"BIOL 105, BIOL 106, and BIOL 270",,,
Biochemistry,BA,Biochemistry - BA,74,120,Undergraduate,2024-2025,Required General Education,,,,,MATH,115,Precalculus Mathematics,4,"BIOL 105, BIOL 106, and BIOL 270 ",,,
Biochemistry,BA,Biochemistry - BA,74,120,Undergraduate,2024-2025,Major Common Core,,,,,BIOL,106,General Biology II,4,BIOL 270 ,,,
Biochemistry,BA,Biochemistry - BA,74,120,Undergraduate,2024-2025,Major Common Core,,,,,BIOL,211,Genetics,4,"BIOL 105, BIOL 106, BIOL 270 ",,,
Biochemistry,BA,Biochemistry - BA,74,120,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,201,General Chemistry I,5,"BIOL 105, BIOL 106 and BIOL 270 ",,,
Biochemistry,BA,Biochemistry - BA,74,120,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,202,General Chemistry II,5,"BIOL 105, BIOL 106, BIOL 211",,,
Biochemistry,BA,Biochemistry - BA,74,120,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,281,Biochemistry and Chemistry Professional Foundations,1,"BIOL 105, BIOL 106, and BIOL 270 ",,,
Biochemistry,BA,Biochemistry - BA,74,120,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,305,Analytical Chemistry,4,BIOL 270 ,,,
Biochemistry,BA,Biochemistry - BA,74,120,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,322,Organic Chemistry I,4,"BIOL 105, BIOL 106, BIOL 270 ",,,
Biochemistry,BA,Biochemistry - BA,74,120,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,324,Organic Chemistry II,3,"BIOL 105, BIOL 106 and BIOL 270 ",,,
Biochemistry,BA,Biochemistry - BA,74,120,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,325,Organic Chemistry II Lab,1,BIOL 105,,,
Biochemistry,BA,Biochemistry - BA,74,120,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,460,Biochemistry I,3,"BIOL 220, CHEM 104 or CHEM 106 or CHEM 111 or CHEM 201",,,
