ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Biology,BS,Biology - BS,2063,120,Undergraduate,2024-2025,Required General Education,,,,,BIOL,105,General Biology I,4,"MATH 110, STAT 154, Or any other mathematics course higher than MATH 110.",,,
Biology,BS,Biology - BS,2063,120,Undergraduate,2024-2025,Required General Education,,,,,CHEM,201,General Chemistry I,5,MATH 121 with “C” (2.0) or better or consent,,,
Biology,BS,Biology - BS,2063,120,Undergraduate,2024-2025,Required General Education,,,Math Requirement ,Choose3 - 4 Credit(s).,MATH,113,Trigonometry,3,"Satisfy Placement Table in this section, or MATH 098 with grade of P. ",,,
Biology,BS,Biology - BS,2063,120,Undergraduate,2024-2025,Required General Education,,,Math Requirement ,Choose3 - 4 Credit(s).,MATH,115,Precalculus Mathematics,4,Concurrent enrollment in BIOL 453 ,,,
Biology,BS,Biology - BS,2063,120,Undergraduate,2024-2025,Required General Education,,,Math Requirement ,Choose3 - 4 Credit(s).,MATH,121,Calculus I,4,"BIOL 456, taken concurrently with BIOL 454 ",,,
Biology,BS,Biology - BS,2063,120,Undergraduate,2024-2025,Major Common Core,,,,,BIOL,106,General Biology II,4,Consent ,,,
Biology,BS,Biology - BS,2063,120,Undergraduate,2024-2025,Major Common Core,,,,,BIOL,211,Genetics,4,Consent ,,,
Biology,BS,Biology - BS,2063,120,Undergraduate,2024-2025,Major Common Core,,,,,BIOL,300,Evolutionary Analysis,3,,,,
Biology,BS,Biology - BS,2063,120,Undergraduate,2024-2025,Major Common Core,,,,,BIOL,489,Senior Seminar,1,,,,
Biology,BS,Biology - BS,2063,120,Undergraduate,2024-2025,Major Common Core,,,,,PHYS,211,Principles of Physics I,4,"Satisfy Placement Table in this section, or MATH 098 with grade of P. ",,,
Biology,BS,Biology - BS,2063,120,Undergraduate,2024-2025,Major Common Core,,,Statistics Requirement ,Choose3 - 4 Credit(s).,GEOG,476,Spatial Statistics,3,"Satisfy Placement Table in this section, or MATH 098 with grade of P. ",,,
Biology,BS,Biology - BS,2063,120,Undergraduate,2024-2025,Major Common Core,,,Statistics Requirement ,Choose3 - 4 Credit(s).,HLTH,475,Biostatistics,3,MATH 112 or MATH 115	or MATH 121 or MATH 130 or MATH 181,,,
Biology,BS,Biology - BS,2063,120,Undergraduate,2024-2025,Major Common Core,,,Statistics Requirement ,Choose3 - 4 Credit(s).,STAT,154,Elementary Statistics,4,ACCT 200,,,
Biology,BS,Biology - BS,2063,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,BIOL,215,General Ecology,4,,,,
Biology,BS,Biology - BS,2063,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,BIOL,217,Plant Science,4,,,,
Biology,BS,Biology - BS,2063,120,Undergraduate,2024-2025,Emphasis Common Core,,,,,BIOL,306,Vertebrate Zoology,4,,,,
Biology,BS,Biology - BS,2063,120,Undergraduate,2024-2025,Emphasis Common Core,,,Chemistry Requirement ,Choose  5 Credit(s).,CHEM,111,Chemistry of Life Process Part II (Organic & Biochemistry),5,ACCT 200,,,
Biology,BS,Biology - BS,2063,120,Undergraduate,2024-2025,Emphasis Common Core,,,Chemistry Requirement ,Choose  5 Credit(s).,CHEM,202,General Chemistry II,5,,,,
Biology,BS,Biology - BS,2063,120,Undergraduate,2024-2025,Emphasis Common Core,,,Ecology Requirement ,Choose  4 Credit(s).,BIOL,402,Stream Ecology,4,,,,
Biology,BS,Biology - BS,2063,120,Undergraduate,2024-2025,Emphasis Common Core,,,Ecology Requirement ,Choose  4 Credit(s).,BIOL,404,Wetlands,4,ISYS 101 or CIS 101,,,
Biology,BS,Biology - BS,2063,120,Undergraduate,2024-2025,Emphasis Common Core,,,Ecology Requirement ,Choose  4 Credit(s).,BIOL,406,Fish Management,4,,,,
Biology,BS,Biology - BS,2063,120,Undergraduate,2024-2025,Emphasis Common Core,,,Ecology Requirement ,Choose  4 Credit(s).,BIOL,409,Advanced Field Ecology,4,,,,
Biology,BS,Biology - BS,2063,120,Undergraduate,2024-2025,Emphasis Common Core,,,Ecology Requirement ,Choose  4 Credit(s).,BIOL,412,Soil Ecology,4,ECON 207 ,,,
Biology,BS,Biology - BS,2063,120,Undergraduate,2024-2025,Emphasis Common Core,,,Ecology Requirement ,Choose  4 Credit(s).,BIOL,432,Lake Ecology,4,,,,
Biology,BS,Biology - BS,2063,120,Undergraduate,2024-2025,Emphasis Common Core,,,Ecology Requirement ,Choose  4 Credit(s).,BIOL,440,Wildlife Management,4,,,,
Biology,BS,Biology - BS,2063,120,Undergraduate,2024-2025,Emphasis Common Core,,,Ecology Requirement ,Choose  4 Credit(s).,BIOL,442,Flora of Minnesota,4,"FINA 362, MRKT 210, MGMT 230, MGMT 346",,,
Biology,BS,Biology - BS,2063,120,Undergraduate,2024-2025,Emphasis Common Core,,,Ecology Requirement ,Choose  4 Credit(s).,BIOL,443W,Plant Ecology,4,,,,
Biology,BS,Biology - BS,2063,120,Undergraduate,2024-2025,Emphasis Common Core,,,Ecology Requirement ,Choose  4 Credit(s).,BIOL,451,Agroecology,4,,,,
Biology,BS,Biology - BS,2063,120,Undergraduate,2024-2025,Emphasis Common Core,,,Ecology Requirement ,Choose  4 Credit(s).,BIOL,472,Microbial Ecology and Bioremediation,4,,,,
Biology,BS,Biology - BS,2063,120,Undergraduate,2024-2025,Emphasis Common Core,,,Subcelluar Requirement ,Choose3 - 5 Credit(s).,BIOL,104,Introduction to Soil Science,4,,,,
Biology,BS,Biology - BS,2063,120,Undergraduate,2024-2025,Emphasis Common Core,,,Subcelluar Requirement ,Choose3 - 5 Credit(s).,BIOL,320,Cell Biology,4,MRKT 210,,,
Biology,BS,Biology - BS,2063,120,Undergraduate,2024-2025,Emphasis Common Core,,,Subcelluar Requirement ,Choose3 - 5 Credit(s).,BIOL,371,Microbiology,4,,,,
Biology,BS,Biology - BS,2063,120,Undergraduate,2024-2025,Emphasis Common Core,,,Subcelluar Requirement ,Choose3 - 5 Credit(s).,BIOL,424,Developmental Biology,3,,,,
Biology,BS,Biology - BS,2063,120,Undergraduate,2024-2025,Emphasis Common Core,,,Subcelluar Requirement ,Choose3 - 5 Credit(s).,BIOL,438,General Endocrinology,3,,,,
Biology,BS,Biology - BS,2063,120,Undergraduate,2024-2025,Emphasis Common Core,,,Subcelluar Requirement ,Choose3 - 5 Credit(s).,BIOL,466,Principles of Pharmacology,3,,,,
