ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Business Administration,BBA,Business Administration - BBA,205082018,120,Undergraduate,2024-2025,Required General Education,,,,,ECON,201,Principles of Macroeconomics,3,High school chemistry or “C” (2.0) or higher in CHEM 104. Student must demonstrate math placement requirements at or above MATH 115 in the placement chart. See Mathematics for details.,,,
Business Administration,BBA,Business Administration - BBA,205082018,120,Undergraduate,2024-2025,Required General Education,,,,,MATH,112,College Algebra,4,,,,
Business Administration,BBA,Business Administration - BBA,205082018,120,Undergraduate,2024-2025,Required General Education,,,,,STAT,154,Elementary Statistics,4,“C” (2.0) or higher in MATH 112 or the equivalent; high school chemistry or “C” (2.0) or higher in CHEM 104.,,,
Business Administration,BBA,Business Administration - BBA,205082018,120,Undergraduate,2024-2025,Major Common Core,,,,,ACCT,200,Financial Accounting,3,,,,
Business Administration,BBA,Business Administration - BBA,205082018,120,Undergraduate,2024-2025,Major Common Core,,,,,ACCT,210,Managerial Accounting,3,,,,
Business Administration,BBA,Business Administration - BBA,205082018,120,Undergraduate,2024-2025,Major Common Core,,,,,BLAW,200,Legal Environment of Business,3,ME 212,,,
Business Administration,BBA,Business Administration - BBA,205082018,120,Undergraduate,2024-2025,Major Common Core,,,,,CIS,101,Introduction to Information Systems,3,"Select One: MATH 113, MATH 115, MATH 121",,,
Business Administration,BBA,Business Administration - BBA,205082018,120,Undergraduate,2024-2025,Major Common Core,,,,,ECON,202,Principles of Microeconomics,3,ME 214. Select one: ME 241 or ME 299,,,
Business Administration,BBA,Business Administration - BBA,205082018,120,Undergraduate,2024-2025,Major Common Core,,,,,FINA,362,Business Finance,3,CIVE 223 or ME 223 ,,,
Business Administration,BBA,Business Administration - BBA,205082018,120,Undergraduate,2024-2025,Major Common Core,,,,,IBUS,380,Principles of International Business,3,"CIVE 321 or ME 321, ME 291",,,
Business Administration,BBA,Business Administration - BBA,205082018,120,Undergraduate,2024-2025,Major Common Core,,,,,MGMT,230,Principles of Management,3,CIVE 223 or ME 223, CIVE 321 or ME 321,,CIVE 321 or ME 321
Business Administration,BBA,Business Administration - BBA,205082018,120,Undergraduate,2024-2025,Major Common Core,,,,,MGMT,300,Introduction to MIS,3,"CIVE 145, ME 291",,,
Business Administration,BBA,Business Administration - BBA,205082018,120,Undergraduate,2024-2025,Major Common Core,,,,,MGMT,332,Creativity and Innovation,3,Select one: CHEM 201 or GEOL 291,,,
Business Administration,BBA,Business Administration - BBA,205082018,120,Undergraduate,2024-2025,Major Common Core,,,,,MGMT,340,Human Resource Management,3,"ENG 271W, CIVE 340, CIVE 350, CIVE 360, CIVE 370W",,,
Business Administration,BBA,Business Administration - BBA,205082018,120,Undergraduate,2024-2025,Major Common Core,,,,,MGMT,346,Operations Management for the Supply Chain,3,CIVE 401W,,,
Business Administration,BBA,Business Administration - BBA,205082018,120,Undergraduate,2024-2025,Major Common Core,,,,,MGMT,391,Introduction to Business Professionalism,1,"CIVE 235, CIVE 340",,,
Business Administration,BBA,Business Administration - BBA,205082018,120,Undergraduate,2024-2025,Major Common Core,,,,,MGMT,472,Project Management,3,"CIVE 350, CIVE 360, CIVE 380",,,
Business Administration,BBA,Business Administration - BBA,205082018,120,Undergraduate,2024-2025,Major Common Core,,,,,MGMT,481,Business Policy & Strategy,3,,,,
Business Administration,BBA,Business Administration - BBA,205082018,120,Undergraduate,2024-2025,Major Common Core,,,,,MGMT,484,Leadership,3,CIVE 340 ,,,
Business Administration,BBA,Business Administration - BBA,205082018,120,Undergraduate,2024-2025,Major Common Core,,,,,MGMT,490,Business Professionals,3,CIVE 340 ,,,
Business Administration,BBA,Business Administration - BBA,205082018,120,Undergraduate,2024-2025,Major Common Core,,,,,MGMT,492,BBA Capstone,3,PHYS 221 ,,,
Business Administration,BBA,Business Administration - BBA,205082018,120,Undergraduate,2024-2025,Major Common Core,,,,,MRKT,210,Principles of Marketing,3,PHYS 221 with “C-” (1.67) or better ,,,
Business Administration,BBA,Business Administration - BBA,205082018,120,Undergraduate,2024-2025,Major Common Core,,,,,MRKT,318,Integrated Marketing Communications,3,"One BIOL course and one semester of chemistry from among CHEM 104, CHEM 106, CHEM 111, or CHEM 201 ",,,
Business Administration,MBA,Business Administration - MBA,5734,34,Graduate,2024-2025,Common Core,,,,,MBA,610,Writing in the Workplace,2,BLAW 200 ,,,
Business Administration,MBA,Business Administration - MBA,5734,34,Graduate,2024-2025,Common Core,,,,,MBA,614,Economic Analysis for Managers,2,BLAW 200 ,,,
Business Administration,MBA,Business Administration - MBA,5734,34,Graduate,2024-2025,Common Core,,,,,MBA,623,Legal and Ethical Environment of Business,2,BLAW 200 ,,,
Business Administration,MBA,Business Administration - MBA,5734,34,Graduate,2024-2025,Common Core,,,,,MBA,630,Accounting for Management,2,BLAW 200 ,,,
Business Administration,MBA,Business Administration - MBA,5734,34,Graduate,2024-2025,Common Core,,,,,MBA,634,Investment and Financial Decisions,2,“C” (2.0) or higher in CHEM 201 ,,,
Business Administration,MBA,Business Administration - MBA,5734,34,Graduate,2024-2025,Common Core,,,,,MBA,642,Management of Human Resources,2,“C” (2.0) or higher in CHEM 202 ,,,
Business Administration,MBA,Business Administration - MBA,5734,34,Graduate,2024-2025,Common Core,,,,,MBA,645,Information Technology and Systems Management,2,“C” (2.0) or higher in CHEM 305 ,,,
Business Administration,MBA,Business Administration - MBA,5734,34,Graduate,2024-2025,Common Core,,,,,MBA,651,Managing Behavior in a Changing World,2,MATH 113 or MATH 115 or MATH 121,,,
Business Administration,MBA,Business Administration - MBA,5734,34,Graduate,2024-2025,Common Core,,,,,MBA,657,Managing Service and Manufacturing Operations,2,CM 220,,,
Business Administration,MBA,Business Administration - MBA,5734,34,Graduate,2024-2025,Common Core,,,,,MBA,681,Global Business Strategy,2,"CM 220, CM 222, CM 297",,,
Business Administration,MBA,Business Administration - MBA,5734,34,Graduate,2024-2025,Common Core,,,,,MBA,683,Marketing Strategy,2,"PHYS 222 or concurrent, MATH 321 or concurrent",,,
Business Administration,MBA,Business Administration - MBA,5734,34,Graduate,2024-2025,Common Core,,,,,MBA,690,Executive Seminar,2,,,,
Business Administration,MBA,Business Administration - MBA,5734,34,Graduate,2024-2025,Restricted Electives,,,,,MACC,660,Applied Business Analytics,2,1 year CHEM ,,,
Business Administration,MBA,Business Administration - MBA,5734,34,Graduate,2024-2025,Restricted Electives,,,,,MBA,663,Negotiation,2,,,,
Business Administration,MBA,Business Administration - MBA,5734,34,Graduate,2024-2025,Restricted Electives,,,,,MBA,665,Leadership,2,,,,
Business Administration,MBA,Business Administration - MBA,5734,34,Graduate,2024-2025,Restricted Electives,,,,,MBA,667,Organizational Development and Change,2,,,,
Business Administration,MBA,Business Administration - MBA,5734,34,Graduate,2024-2025,Restricted Electives,,,,,NURS,708,"Quality Improvement, Safety, and Risk Management for APNs",3,,,,
Business Administration,MBA,Business Administration - MBA,5734,34,Graduate,2024-2025,Restricted Electives,,,,,NURS,709,Health Care Informatics and Data Management,2-3                                     ,,,,
Business Administration,MBA,Business Administration - MBA,5734,34,Graduate,2024-2025,Restricted Electives,,,,,NURS,711,Health Care Policy and Organizational/Systems Leadership,3,,,,
Business Administration,MBA,Business Administration - MBA,5734,34,Graduate,2024-2025,Research/Methods Course(s),,,,,MBA,612,Data Analysis and Statistics for Managers,2,,,,
Business Administration,MBA,Business Administration - MBA,5734,34,Graduate,2024-2025,Capstone Course,,,,,MBA,695,Strategic Management and Business Policy,2,,,,
