ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Chemistry - ACS Approved,BS,Chemistry - ACS Approved - BS,312,120,Undergraduate,2024-2025,Required General Education,,,,,MATH,121,Calculus I,4,"BIOL 105, BIOL 106, and MATH 112 ",,,
Chemistry - ACS Approved,BS,Chemistry - ACS Approved - BS,312,120,Undergraduate,2024-2025,Required General Education,,,,,PHYS,211,Principles of Physics I,4,BIOL 105,,,
Chemistry - ACS Approved,BS,Chemistry - ACS Approved - BS,312,120,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,201,General Chemistry I,5,"BIOL 220, CHEM 104 or CHEM 106 or CHEM 111 or CHEM 201",,,
Chemistry - ACS Approved,BS,Chemistry - ACS Approved - BS,312,120,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,202,General Chemistry II,5,“C” (2.0) or higher in CHEM 201 ,,,
Chemistry - ACS Approved,BS,Chemistry - ACS Approved - BS,312,120,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,281,Biochemistry and Chemistry Professional Foundations,1,"BIOL 105 and BIOL 106, BIOL 211 ",,,
Chemistry - ACS Approved,BS,Chemistry - ACS Approved - BS,312,120,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,305,Analytical Chemistry,4,"BIOL 105, BIOL 106, CHEM 201",,,
Chemistry - ACS Approved,BS,Chemistry - ACS Approved - BS,312,120,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,322,Organic Chemistry I,4,,,,
Chemistry - ACS Approved,BS,Chemistry - ACS Approved - BS,312,120,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,324,Organic Chemistry II,3,"BIOL 105, BIOL 106, CHEM 201",,,
Chemistry - ACS Approved,BS,Chemistry - ACS Approved - BS,312,120,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,325,Organic Chemistry II Lab,1,"BIOL 105, BIOL 106, and BIOL 270 ",,,
Chemistry - ACS Approved,BS,Chemistry - ACS Approved - BS,312,120,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,445,Physical Chemistry I,4,"CHEM 202, “C” (2.0) or higher in CHEM 202.",,,
Chemistry - ACS Approved,BS,Chemistry - ACS Approved - BS,312,120,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,446,Physical Chemistry II ,3,CHEM 322. CHEM 324 is strongly recommended.,,,
Chemistry - ACS Approved,BS,Chemistry - ACS Approved - BS,312,120,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,450,Physical Chemistry Laboratory I,1,"CHEM 202, “C” (2.0) or higher in CHEM 202.",,,
Chemistry - ACS Approved,BS,Chemistry - ACS Approved - BS,312,120,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,451,Physical Chemistry Laboratory II,1,CHEM 322. CHEM 324 is strongly recommended.,,,
Chemistry - ACS Approved,BS,Chemistry - ACS Approved - BS,312,120,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,481W,Inquiry and Writing in Biochemistry and Chemistry,3,,,,
Chemistry - ACS Approved,BS,Chemistry - ACS Approved - BS,312,120,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,489,Senior Capstone,1,PHYS 211 ,,,
Chemistry - ACS Approved,BS,Chemistry - ACS Approved - BS,312,120,Undergraduate,2024-2025,Major Common Core,,,,,MATH,122,Calculus II,4,"MATH 121, PHYS 212 or PHYS 222 ",,,
Chemistry - ACS Approved,BS,Chemistry - ACS Approved - BS,312,120,Undergraduate,2024-2025,Major Common Core,,,,,PHYS,212,Principles of Physics II,4,"CHEM 202, “C” (2.0) or higher in CHEM 202.",,,
Chemistry - ACS Approved,BS,Chemistry - ACS Approved - BS,312,120,Undergraduate,2024-2025,Major Common Core,,,Biochemistry Foundation Chose 1 course,Choose3 - 4 Credit(s).,CHEM,360,Principles of Biochemistry,4,,,,
Chemistry - ACS Approved,BS,Chemistry - ACS Approved - BS,312,120,Undergraduate,2024-2025,Major Common Core,,,Biochemistry Foundation Chose 1 course,Choose3 - 4 Credit(s).,CHEM,460,Biochemistry I,3,,,,
Chemistry - ACS Approved,BS,Chemistry - ACS Approved - BS,312,120,Undergraduate,2024-2025,Major Common Core,,,Inorganic Foundation Choose 1 course,Choose  3 Credit(s).,CHEM,316,Descriptive Inorganic Main Group Chemistry,3,,,,
Chemistry - ACS Approved,BS,Chemistry - ACS Approved - BS,312,120,Undergraduate,2024-2025,Major Common Core,,,Inorganic Foundation Choose 1 course,Choose  3 Credit(s).,CHEM,317,Transition Metal Chemistry,3,,,,
Chemistry - ACS Approved,BS,Chemistry - ACS Approved - BS,312,120,Undergraduate,2024-2025,Major Restricted Electives,,,Math electives Choose 1 of the following courses.,Choose  4 Credit(s).,MATH,223,Calculus III,4,BIOL 100 or BIOL 105 ,,,
Chemistry - ACS Approved,BS,Chemistry - ACS Approved - BS,312,120,Undergraduate,2024-2025,Major Restricted Electives,,,Math electives Choose 1 of the following courses.,Choose  4 Credit(s).,MATH,247,Linear Algebra I,4,BIOL 220 ,,,
Chemistry - ACS Approved,BS,Chemistry - ACS Approved - BS,312,120,Undergraduate,2024-2025,Major Restricted Electives,,,Math electives Choose 1 of the following courses.,Choose  4 Credit(s).,MATH,321,Ordinary Differential Equations,4,"BIOL 105, BIOL 106, and BIOL 270 ",,,
