ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Chemistry Teaching,BS,Chemistry Teaching - BS,2526,120,Undergraduate,2024-2025,Required General Education,,,,,BIOL,105,General Biology I,4,"BIOL 105, BIOL 106, BIOL 211",,,
Chemistry Teaching,BS,Chemistry Teaching - BS,2526,120,Undergraduate,2024-2025,Required General Education,,,,,CHEM,201,General Chemistry I,5,“C” (2.0) or higher in CHEM 202 ,,,
Chemistry Teaching,BS,Chemistry Teaching - BS,2526,120,Undergraduate,2024-2025,Required General Education,,,,,HLTH,240,Drug Education,3,"CHEM 322 with a ""C"" (2.0) or higher.",,,
Chemistry Teaching,BS,Chemistry Teaching - BS,2526,120,Undergraduate,2024-2025,Required General Education,,,,,MATH,121,Calculus I,4,CHEM 324, CHEM 324 ,,CHEM 324 
Chemistry Teaching,BS,Chemistry Teaching - BS,2526,120,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,202,General Chemistry II,5,CHEM 322. CHEM 324 is strongly recommended.,,,
Chemistry Teaching,BS,Chemistry Teaching - BS,2526,120,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,281,Biochemistry and Chemistry Professional Foundations,1,,,,
Chemistry Teaching,BS,Chemistry Teaching - BS,2526,120,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,305,Analytical Chemistry,4,,,,
Chemistry Teaching,BS,Chemistry Teaching - BS,2526,120,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,316,Descriptive Inorganic Main Group Chemistry,3,,,,
Chemistry Teaching,BS,Chemistry Teaching - BS,2526,120,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,322,Organic Chemistry I,4,,,,
Chemistry Teaching,BS,Chemistry Teaching - BS,2526,120,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,324,Organic Chemistry II,3,,,,
Chemistry Teaching,BS,Chemistry Teaching - BS,2526,120,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,325,Organic Chemistry II Lab,1,,,,
Chemistry Teaching,BS,Chemistry Teaching - BS,2526,120,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,360,Principles of Biochemistry,4,,,,
Chemistry Teaching,BS,Chemistry Teaching - BS,2526,120,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,445,Physical Chemistry I,4,,,,
Chemistry Teaching,BS,Chemistry Teaching - BS,2526,120,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,450,Physical Chemistry Laboratory I,1,,,,
Chemistry Teaching,BS,Chemistry Teaching - BS,2526,120,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,479,Teaching Physical Science,4,,,,
Chemistry Teaching,BS,Chemistry Teaching - BS,2526,120,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,481W,Inquiry and Writing in Biochemistry and Chemistry,3,,,,
Chemistry Teaching,BS,Chemistry Teaching - BS,2526,120,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,489,Senior Capstone,1,,,,
Chemistry Teaching,BS,Chemistry Teaching - BS,2526,120,Undergraduate,2024-2025,Major Common Core,,,,,PHYS,211,Principles of Physics I,4,,,,
Chemistry Teaching,BS,Chemistry Teaching - BS,2526,120,Undergraduate,2024-2025,Major Common Core,,,,,PHYS,212,Principles of Physics II,4,BIOL 270 ,,,
