ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Cognitive Science,BS,Cognitive Science - BS,7560,120,Undergraduate,2024-2025,Required General Education,,,,,BIOL,105,General Biology I,4,,,,
Cognitive Science,BS,Cognitive Science - BS,7560,120,Undergraduate,2024-2025,Required General Education,,,,,MATH,121,Calculus I,4,,,,
Cognitive Science,BS,Cognitive Science - BS,7560,120,Undergraduate,2024-2025,Required General Education,,, ,Choose  5 Credit(s).,CHEM,111,Chemistry of Life Process Part II (Organic & Biochemistry),5,,,,
Cognitive Science,BS,Cognitive Science - BS,7560,120,Undergraduate,2024-2025,Required General Education,,, ,Choose  5 Credit(s).,CHEM,201,General Chemistry I,5,,,,
Cognitive Science,BS,Cognitive Science - BS,7560,120,Undergraduate,2024-2025,Prerequisites to the Major,,,,,CIS,121,Introduction to Programming,4,,,,
Cognitive Science,BS,Cognitive Science - BS,7560,120,Undergraduate,2024-2025,Prerequisites to the Major,,,,,PSYC,206,Introduction to Cognitive Science,4,,,,
Cognitive Science,BS,Cognitive Science - BS,7560,120,Undergraduate,2024-2025,Prerequisites to the Major,,, ,Choose3 - 4 Credit(s).,HLTH,475,Biostatistics,3,,,,
Cognitive Science,BS,Cognitive Science - BS,7560,120,Undergraduate,2024-2025,Prerequisites to the Major,,, ,Choose3 - 4 Credit(s).,PSYC,201,Statistics for Psychology,4,,,,
Cognitive Science,BS,Cognitive Science - BS,7560,120,Undergraduate,2024-2025,Prerequisites to the Major,,, ,Choose3 - 4 Credit(s).,STAT,154,Elementary Statistics,4,,,,
Cognitive Science,BS,Cognitive Science - BS,7560,120,Undergraduate,2024-2025,Prerequisites to the Major,,, ,Choose3 - 4 Credit(s).,STAT,354,Concepts of Probability & Statistics,4,,,,
Cognitive Science,BS,Cognitive Science - BS,7560,120,Undergraduate,2024-2025,Major Common Core,,,,,BIOL,324,Neurobiology,3,,,,
Cognitive Science,BS,Cognitive Science - BS,7560,120,Undergraduate,2024-2025,Major Common Core,,,,,CIS,122,Data Structures,4,,,,
Cognitive Science,BS,Cognitive Science - BS,7560,120,Undergraduate,2024-2025,Major Common Core,,,,,CS,230,Introduction to Intelligent Systems,4,,,,
Cognitive Science,BS,Cognitive Science - BS,7560,120,Undergraduate,2024-2025,Major Common Core,,,,,PHIL,101W,Philosophical Problem: The Mind-Body Problem,3,,,,
