ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
College Student Affairs,GC,College Student Affairs - GC,202222976,12,Graduate,2024-2025,Common Core,,,,,CSP,620,Introduction to College Student Affairs in Higher Education,3,Concurrent enrollment in CDIS 434 ,,,
College Student Affairs,GC,College Student Affairs - GC,202222976,12,Graduate,2024-2025,Common Core,,,,,CSP,622,Administration and Finance in Student Affairs,3,"Consent, concurrent enrollment in CDIS 431 ",,,
College Student Affairs,GC,College Student Affairs - GC,202222976,12,Graduate,2024-2025,Common Core,,,,,CSP,662,College Student Development in the US,3,,,,
College Student Affairs,GC,College Student Affairs - GC,202222976,12,Graduate,2024-2025,Common Core,,,,,CSP,664,Organizational and Program Assessment in Student Affairs ,3,,,,
College Student Affairs,MS,College Student Affairs - MS,202323480,36,Graduate,2024-2025,Common Core,,,,,CSP,620,Introduction to College Student Affairs in Higher Education,3,,,,
College Student Affairs,MS,College Student Affairs - MS,202323480,36,Graduate,2024-2025,Common Core,,,,,CSP,622,Administration and Finance in Student Affairs,3,,,,
College Student Affairs,MS,College Student Affairs - MS,202323480,36,Graduate,2024-2025,Common Core,,,,,CSP,645,Counseling Procedures & Skills I,3,,,,
College Student Affairs,MS,College Student Affairs - MS,202323480,36,Graduate,2024-2025,Common Core,,,,,CSP,647,Crisis Intervention Strategies,3,,,,
College Student Affairs,MS,College Student Affairs - MS,202323480,36,Graduate,2024-2025,Common Core,,,,,CSP,648,Counseling in a Multicultural Society,3,"CDIS 306, CDS 307",,,
College Student Affairs,MS,College Student Affairs - MS,202323480,36,Graduate,2024-2025,Common Core,,,,,CSP,658,Career Development,3,,,,
College Student Affairs,MS,College Student Affairs - MS,202323480,36,Graduate,2024-2025,Common Core,,,,,CSP,662,College Student Development in the US,3,,,,
College Student Affairs,MS,College Student Affairs - MS,202323480,36,Graduate,2024-2025,Common Core,,,,,CSP,664,Organizational and Program Assessment in Student Affairs,3,,,,
College Student Affairs,MS,College Student Affairs - MS,202323480,36,Graduate,2024-2025,Common Core,,,,,CSP,673,Group Counseling,3,,,,
College Student Affairs,MS,College Student Affairs - MS,202323480,36,Graduate,2024-2025,Common Core,,,,,CSP,685,Practicum in College Student Affairs,3,,,,
College Student Affairs,MS,College Student Affairs - MS,202323480,36,Graduate,2024-2025,Research/Methods Course(s),,,,,CSP,675,Research and Program Evaluation in Counseling and Student Personnel,3,,,,
College Student Affairs,MS,College Student Affairs - MS,202323480,36,Graduate,2024-2025,Capstone Course,,, * Students may need four credits to meet supervised practice requirements. Consult with your advisor on credits needed for your program.,Choose3 - 4 Credit(s).,CSP,686,Internship I in College Student Affairs,3,,,,
College Student Affairs,MS,College Student Affairs - MS,202323480,36,Graduate,2024-2025,Capstone Course,,, * Students may need four credits to meet supervised practice requirements. Consult with your advisor on credits needed for your program.,Choose3 - 4 Credit(s).,CSP,687,Internship II in College Student Affairs,1-4,,,,
