ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Communication Studies,MS,Communication Studies - MS,6617,36,Graduate,2024-2025,Common Core,,,,,COMM,600,Seminar in Communication Theory,3,,,,
Communication Studies,MS,Communication Studies - MS,6617,36,Graduate,2024-2025,Common Core,,,,,COMM,603,Teaching Strategies,0,"Satisfy Math Placement Table in this section, or grade of P in MATH 098.",,,
Communication Studies,MS,Communication Studies - MS,6617,36,Graduate,2024-2025,Restricted Electives,,,Culture and Relationships ,Choose  6 Credit(s).,COMM,510,Topics in Relational Communication,1-3,"Satisfy Placement Table in this section, MATH 115 or both MATH 112 and MATH 113 with “C” (2.0) or better.",,,
Communication Studies,MS,Communication Studies - MS,6617,36,Graduate,2024-2025,Restricted Electives,,,Culture and Relationships ,Choose  6 Credit(s).,COMM,515,Topics in Rhetoric and Culture,1-3,"Satisfy Placement Table in this section, or MATH 098 with grade of P. ",,,
Communication Studies,MS,Communication Studies - MS,6617,36,Graduate,2024-2025,Restricted Electives,,,Culture and Relationships ,Choose  6 Credit(s).,COMM,518,"Gender, Race, and Identity",3,,,,
Communication Studies,MS,Communication Studies - MS,6617,36,Graduate,2024-2025,Restricted Electives,,,Culture and Relationships ,Choose  6 Credit(s).,COMM,519,"Gender, Race, and Media",3,,,,
Communication Studies,MS,Communication Studies - MS,6617,36,Graduate,2024-2025,Restricted Electives,,,Culture and Relationships ,Choose  6 Credit(s).,COMM,520,Mass Media History,3,MATH 112 or MATH 113 or MATH 115 or MATH 121,,,
Communication Studies,MS,Communication Studies - MS,6617,36,Graduate,2024-2025,Restricted Electives,,,Culture and Relationships ,Choose  6 Credit(s).,COMM,530,Social Movements and Advocacy,3,"CIS 121. Select One Course: MATH 112, MATH 113, MATH 115, MATH 121, or MATH 130",,,
Communication Studies,MS,Communication Studies - MS,6617,36,Graduate,2024-2025,Restricted Electives,,,Culture and Relationships ,Choose  6 Credit(s).,COMM,565,Global Media,3,MATH 121 and CS 111 or CIS 122 or IT 214,,,
Communication Studies,MS,Communication Studies - MS,6617,36,Graduate,2024-2025,Restricted Electives,,,Culture and Relationships ,Choose  6 Credit(s).,COMM,602,Communication Pedagogy,3,CS 111 or CIS 122	or IT 214,,,
Communication Studies,MS,Communication Studies - MS,6617,36,Graduate,2024-2025,Restricted Electives,,,Culture and Relationships ,Choose  6 Credit(s).,COMM,606,Perspectives on Culture and Communication,3,CIS 121 or an approved substitute.,,,
Communication Studies,MS,Communication Studies - MS,6617,36,Graduate,2024-2025,Restricted Electives,,,Culture and Relationships ,Choose  6 Credit(s).,COMM,613,Advanced Intercultural Communication,3,EE 107 or CIS 121 or an approved substitute.,,,
Communication Studies,MS,Communication Studies - MS,6617,36,Graduate,2024-2025,Restricted Electives,,,Culture and Relationships ,Choose  6 Credit(s).,COMM,621,Advanced Interpersonal Communication,3,"CIS 121. Select 1: MATH 113, MATH 115, MATH 121. Or an approved substitute.",,,
Communication Studies,MS,Communication Studies - MS,6617,36,Graduate,2024-2025,Restricted Electives,,,Culture and Relationships ,Choose  6 Credit(s).,COMM,640,Special Topics,1-3,CIS 340. Select One Course: CIS 122 or CIS 123,,,
Communication Studies,MS,Communication Studies - MS,6617,36,Graduate,2024-2025,Restricted Electives,,,Culture and Relationships ,Choose  6 Credit(s).,COMM,673,Social Media Theory and Criticism,3,"CIS 340, CIS 380",,,
Communication Studies,MS,Communication Studies - MS,6617,36,Graduate,2024-2025,Restricted Electives,,,Organization and PR ,Choose  6 Credit(s).,COMM,505,Strategic Advocacy Campaigns,3,,,,
Communication Studies,MS,Communication Studies - MS,6617,36,Graduate,2024-2025,Restricted Electives,,,Organization and PR ,Choose  6 Credit(s).,COMM,512,Organizational Communication,3,ENG 101 ,,,
Communication Studies,MS,Communication Studies - MS,6617,36,Graduate,2024-2025,Restricted Electives,,,Organization and PR ,Choose  6 Credit(s).,COMM,525,Crisis Communication,3,,,,
Communication Studies,MS,Communication Studies - MS,6617,36,Graduate,2024-2025,Restricted Electives,,,Organization and PR ,Choose  6 Credit(s).,COMM,532,Grassroots Advocacy and Organizing,3,"Satisfy Placement Table in this section, MATH 115 or both MATH 112 and MATH 113 with “C” (2.0) or better.",,,
Communication Studies,MS,Communication Studies - MS,6617,36,Graduate,2024-2025,Restricted Electives,,,Organization and PR ,Choose  6 Credit(s).,COMM,545,Conflict Management,3,,,,
Communication Studies,MS,Communication Studies - MS,6617,36,Graduate,2024-2025,Restricted Electives,,,Organization and PR ,Choose  6 Credit(s).,COMM,604,Communication Training and Development,3,ENG 101 ,,,
Communication Studies,MS,Communication Studies - MS,6617,36,Graduate,2024-2025,Restricted Electives,,,Organization and PR ,Choose  6 Credit(s).,COMM,633,Communication for Professionals,3,,,,
