ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Communication and Composition,MS,Communication and Composition - MS,207777717,37,Graduate,2024-2025,Common Core,,,,,COMM,602,Communication Pedagogy,3,,,,
Communication and Composition,MS,Communication and Composition - MS,207777717,37,Graduate,2024-2025,Common Core,,,,,COMM,605,Directing Online Communication,3,,,,
Communication and Composition,MS,Communication and Composition - MS,207777717,37,Graduate,2024-2025,Common Core,,,,,ENG,625,Seminar: Composition Theory,3,,,,
Communication and Composition,MS,Communication and Composition - MS,207777717,37,Graduate,2024-2025,Common Core,,,,,ENG,655,Topics in Teaching Writing,3,,,,
Communication and Composition,MS,Communication and Composition - MS,207777717,37,Graduate,2024-2025,Restricted Electives,,,Communication Electives ,Choose  9 Credit(s).,COMM,505,Strategic Advocacy Campaigns,3,,,,
Communication and Composition,MS,Communication and Composition - MS,207777717,37,Graduate,2024-2025,Restricted Electives,,,Communication Electives ,Choose  9 Credit(s).,COMM,509,Performance Studies,3,,,,
Communication and Composition,MS,Communication and Composition - MS,207777717,37,Graduate,2024-2025,Restricted Electives,,,Communication Electives ,Choose  9 Credit(s).,COMM,510,Topics in Relational Communication,1-3,,,,
Communication and Composition,MS,Communication and Composition - MS,207777717,37,Graduate,2024-2025,Restricted Electives,,,Communication Electives ,Choose  9 Credit(s).,COMM,512,Organizational Communication,3,,,,
Communication and Composition,MS,Communication and Composition - MS,207777717,37,Graduate,2024-2025,Restricted Electives,,,Communication Electives ,Choose  9 Credit(s).,COMM,515,Topics in Rhetoric and Culture,1-3,,,,
Communication and Composition,MS,Communication and Composition - MS,207777717,37,Graduate,2024-2025,Restricted Electives,,,Communication Electives ,Choose  9 Credit(s).,COMM,516,Topics in American Public Address,1-3,,,,
Communication and Composition,MS,Communication and Composition - MS,207777717,37,Graduate,2024-2025,Restricted Electives,,,Communication Electives ,Choose  9 Credit(s).,COMM,517,Experiential Storytelling,3,,,,
Communication and Composition,MS,Communication and Composition - MS,207777717,37,Graduate,2024-2025,Restricted Electives,,,Communication Electives ,Choose  9 Credit(s).,COMM,518,"Gender, Race, and Identity",3,,,,
Communication and Composition,MS,Communication and Composition - MS,207777717,37,Graduate,2024-2025,Restricted Electives,,,Communication Electives ,Choose  9 Credit(s).,COMM,530,Social Movements and Advocacy,3,,,,
Communication and Composition,MS,Communication and Composition - MS,207777717,37,Graduate,2024-2025,Restricted Electives,,,Communication Electives ,Choose  9 Credit(s).,COMM,532,Grassroots Advocacy and Organizing,3,,,,
Communication and Composition,MS,Communication and Composition - MS,207777717,37,Graduate,2024-2025,Restricted Electives,,,Communication Electives ,Choose  9 Credit(s).,COMM,540,Special Topics,1-3,,,,
Communication and Composition,MS,Communication and Composition - MS,207777717,37,Graduate,2024-2025,Restricted Electives,,,Communication Electives ,Choose  9 Credit(s).,COMM,545,Conflict Management,3,,,,
Communication and Composition,MS,Communication and Composition - MS,207777717,37,Graduate,2024-2025,Restricted Electives,,,Communication Electives ,Choose  9 Credit(s).,COMM,550,Speech-Debate: Pedagogy,1-3,,,,
Communication and Composition,MS,Communication and Composition - MS,207777717,37,Graduate,2024-2025,Restricted Electives,,,Communication Electives ,Choose  9 Credit(s).,COMM,551,Speech-Debate: Intro to Debate,1-3,,,,
Communication and Composition,MS,Communication and Composition - MS,207777717,37,Graduate,2024-2025,Restricted Electives,,,Communication Electives ,Choose  9 Credit(s).,COMM,552,Speech-Debate: Advanced Debate,1-3,,,,
Communication and Composition,MS,Communication and Composition - MS,207777717,37,Graduate,2024-2025,Restricted Electives,,,Communication Electives ,Choose  9 Credit(s).,COMM,553,Speech-Debate: Adv Pedagogy,1-3,,,,
Communication and Composition,MS,Communication and Composition - MS,207777717,37,Graduate,2024-2025,Restricted Electives,,,Communication Electives ,Choose  9 Credit(s).,COMM,554,Speech-Debate: Interpretation & Performance,1-3,,,,
Communication and Composition,MS,Communication and Composition - MS,207777717,37,Graduate,2024-2025,Restricted Electives,,,Communication Electives ,Choose  9 Credit(s).,COMM,555,Speech-Debate: Theory & Practice I,1-3,,,,
Communication and Composition,MS,Communication and Composition - MS,207777717,37,Graduate,2024-2025,Restricted Electives,,,Communication Electives ,Choose  9 Credit(s).,COMM,556,Speech-Debate: Theory & Practice II,1-3,,,,
Communication and Composition,MS,Communication and Composition - MS,207777717,37,Graduate,2024-2025,Restricted Electives,,,Communication Electives ,Choose  9 Credit(s).,COMM,557,Speech-Debate: Theory & Practice III,1-3,,,,
Communication and Composition,MS,Communication and Composition - MS,207777717,37,Graduate,2024-2025,Restricted Electives,,,Communication Electives ,Choose  9 Credit(s).,COMM,560,"Dialogue, Discussion, and Debate",3,,,,
Communication and Composition,MS,Communication and Composition - MS,207777717,37,Graduate,2024-2025,Restricted Electives,,,Communication Electives ,Choose  9 Credit(s).,COMM,570,Topics in Health Communication,3,,,,
Communication and Composition,MS,Communication and Composition - MS,207777717,37,Graduate,2024-2025,Restricted Electives,,,Communication Electives ,Choose  9 Credit(s).,COMM,600,Seminar in Communication Theory,3,,,,
Communication and Composition,MS,Communication and Composition - MS,207777717,37,Graduate,2024-2025,Restricted Electives,,,Communication Electives ,Choose  9 Credit(s).,COMM,602,Communication Pedagogy,3,,,,
Communication and Composition,MS,Communication and Composition - MS,207777717,37,Graduate,2024-2025,Restricted Electives,,,Communication Electives ,Choose  9 Credit(s).,COMM,604,Communication Training and Development,3,,,,
Communication and Composition,MS,Communication and Composition - MS,207777717,37,Graduate,2024-2025,Restricted Electives,,,Communication Electives ,Choose  9 Credit(s).,COMM,606,Perspectives on Culture and Communication,3,,,,
Communication and Composition,MS,Communication and Composition - MS,207777717,37,Graduate,2024-2025,Restricted Electives,,,Communication Electives ,Choose  9 Credit(s).,COMM,613,Advanced Intercultural Communication,3,,,,
Communication and Composition,MS,Communication and Composition - MS,207777717,37,Graduate,2024-2025,Restricted Electives,,,Communication Electives ,Choose  9 Credit(s).,COMM,620,Modern Rhetorical Criticism,3,,,,
Communication and Composition,MS,Communication and Composition - MS,207777717,37,Graduate,2024-2025,Restricted Electives,,,Communication Electives ,Choose  9 Credit(s).,COMM,621,Advanced Interpersonal Communication,3,,,,
Communication and Composition,MS,Communication and Composition - MS,207777717,37,Graduate,2024-2025,Restricted Electives,,,Communication Electives ,Choose  9 Credit(s).,COMM,640,Special Topics,1-3,,,,
Communication and Composition,MS,Communication and Composition - MS,207777717,37,Graduate,2024-2025,Restricted Electives,,,Communication Electives ,Choose  9 Credit(s).,COMM,677,Individual Study,1-6,,,,
Communication and Composition,MS,Communication and Composition - MS,207777717,37,Graduate,2024-2025,Restricted Electives,,,"Composition Electives * Students are required to take ENG 555 for at least 3 credits to earn the degree. * Special topics courses are subject to approval by advisor. * ENG 622 or ENG 623 may be taken, with the permission of the instructor, as a substituti",Choose  9 Credit(s).,CW,649,Topics in Creative Writing,2-4,,,,
Communication and Composition,MS,Communication and Composition - MS,207777717,37,Graduate,2024-2025,Restricted Electives,,,"Composition Electives * Students are required to take ENG 555 for at least 3 credits to earn the degree. * Special topics courses are subject to approval by advisor. * ENG 622 or ENG 623 may be taken, with the permission of the instructor, as a substituti",Choose  9 Credit(s).,ENG,555,Advanced Writing Workshop,0-4,,,,
Communication and Composition,MS,Communication and Composition - MS,207777717,37,Graduate,2024-2025,Restricted Electives,,,"Composition Electives * Students are required to take ENG 555 for at least 3 credits to earn the degree. * Special topics courses are subject to approval by advisor. * ENG 622 or ENG 623 may be taken, with the permission of the instructor, as a substituti",Choose  9 Credit(s).,ENG,556,Writing Center Theory and Pedagogy,4,,,,
Communication and Composition,MS,Communication and Composition - MS,207777717,37,Graduate,2024-2025,Restricted Electives,,,"Composition Electives * Students are required to take ENG 555 for at least 3 credits to earn the degree. * Special topics courses are subject to approval by advisor. * ENG 622 or ENG 623 may be taken, with the permission of the instructor, as a substituti",Choose  9 Credit(s).,ENG,584,Teaching Grammar and Vocabulary to English Learners,3,,,,
