ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Computer Application Development,BAS,Computer Application Development - BAS,200508151,120,Undergraduate,2024-2025,Required General Education,,,,,MATH,112,College Algebra,4,CS 111 or CIS 122	or IT 214,,,
Computer Application Development,BAS,Computer Application Development - BAS,200508151,120,Undergraduate,2024-2025,Major Common Core,,,,,CIS,340, Introduction to Database Systems ,4,"CIS 223, CIS 224 or EE 234, and admission to major.",,,
Computer Application Development,BAS,Computer Application Development - BAS,200508151,120,Undergraduate,2024-2025,Major Common Core,,,,,CIS,350, Information Security ,4,"CIS 223, CIS 224, and admission to major.",,,
Computer Application Development,BAS,Computer Application Development - BAS,200508151,120,Undergraduate,2024-2025,Major Common Core,,,,,CIS,380,Systems Analysis and Design,4,"CIS 223, CIS 224, and admission to major.",,,
Computer Application Development,BAS,Computer Application Development - BAS,200508151,120,Undergraduate,2024-2025,Major Common Core,,,,,CIS,497, Internship ,1-12,"CIS 223, CIS 224, and admission to major.",,,
Computer Application Development,BAS,Computer Application Development - BAS,200508151,120,Undergraduate,2024-2025,Major Common Core,,,,,COMM,333,Advanced Public Communication,4,CIS 223 and MATH 280,,,
Computer Application Development,BAS,Computer Application Development - BAS,200508151,120,Undergraduate,2024-2025,Major Common Core,,,,,ENG,272W,Business Communication,4,CS 391W,,,
Computer Application Development,BAS,Computer Application Development - BAS,200508151,120,Undergraduate,2024-2025,Major Common Core,,,,,STAT,154,Elementary Statistics,4,"CS 301, CS 302, CS 303, CS 304, CS 392W",,,
Computer Application Development,BAS,Computer Application Development - BAS,200508151,120,Undergraduate,2024-2025,Major Restricted Electives,,, Additional special topics classes may also be available.,Choose  20 Credit(s).,CIS,223,Algorithms,4,Admission to major.,,,
Computer Application Development,BAS,Computer Application Development - BAS,200508151,120,Undergraduate,2024-2025,Major Restricted Electives,,, Additional special topics classes may also be available.,Choose  20 Credit(s).,CIS,224,Computer Architecture,4,MATH 121 with “C” (2.0) or better or consent,,,
Computer Application Development,BAS,Computer Application Development - BAS,200508151,120,Undergraduate,2024-2025,Major Restricted Electives,,, Additional special topics classes may also be available.,Choose  20 Credit(s).,CIS,311,Business Application Programming,4,MATH 122 with “C” (2.0) or better or consent,,,
Computer Application Development,BAS,Computer Application Development - BAS,200508151,120,Undergraduate,2024-2025,Major Restricted Electives,,, Additional special topics classes may also be available.,Choose  20 Credit(s).,CIS,360,Introduction to Networking,4,MATH 121 with “C” (2.0) or better or consent.,,,
Computer Application Development,BAS,Computer Application Development - BAS,200508151,120,Undergraduate,2024-2025,Major Restricted Electives,,, Additional special topics classes may also be available.,Choose  20 Credit(s).,CIS,414,Advanced Object-Oriented Programming with Design Patterns,4,MATH 122 with “C” (2.0) or better or consent,,,
Computer Application Development,BAS,Computer Application Development - BAS,200508151,120,Undergraduate,2024-2025,Major Restricted Electives,,, Additional special topics classes may also be available.,Choose  20 Credit(s).,CIS,440,Database Management Systems,4,MATH 247 and MATH 280 with a grade of “C” (2.0) or better,,,
Computer Application Development,BAS,Computer Application Development - BAS,200508151,120,Undergraduate,2024-2025,Major Restricted Electives,,, Additional special topics classes may also be available.,Choose  20 Credit(s).,CIS,450,Information Warfare,4,"CS 491W and (CS 306, CS 401, CS 403, CS 406, CS 410, CS 420, CS 435, CS 440, CS 445, CS 450, CS 465, CS 470, CS 480, or CS 485)",,,
Computer Application Development,BAS,Computer Application Development - BAS,200508151,120,Undergraduate,2024-2025,Major Restricted Electives,,, Additional special topics classes may also be available.,Choose  20 Credit(s).,CIS,460,Network and Security Protocols,4,Senior standing and consent,,,
Computer Application Development,BAS,Computer Application Development - BAS,200508151,120,Undergraduate,2024-2025,Major Restricted Electives,,, Additional special topics classes may also be available.,Choose  20 Credit(s).,CIS,462,"Network, Security, Administration and Programming",4,CIS 223 and CIS 224 or EE 234,,,
Computer Application Development,BAS,Computer Application Development - BAS,200508151,120,Undergraduate,2024-2025,Major Restricted Electives,,, Additional special topics classes may also be available.,Choose  20 Credit(s).,CIS,465,Mobile Device Application Programming,4,,,,
Computer Application Development,BAS,Computer Application Development - BAS,200508151,120,Undergraduate,2024-2025,Major Restricted Electives,,, Additional special topics classes may also be available.,Choose  20 Credit(s).,CIS,480,Software Quality Assurance and Testing,4,,,,
Computer Application Development,BAS,Computer Application Development - BAS,200508151,120,Undergraduate,2024-2025,Major Restricted Electives,,, Additional special topics classes may also be available.,Choose  20 Credit(s).,CIS,482,Human Computer Interaction,4,,,,
Computer Application Development,BAS,Computer Application Development - BAS,200508151,120,Undergraduate,2024-2025,Major Restricted Electives,,, Additional special topics classes may also be available.,Choose  20 Credit(s).,CIS,483,Web Application Design and Development,4,,,,
Computer Application Development,BAS,Computer Application Development - BAS,200508151,120,Undergraduate,2024-2025,Major Restricted Electives,,, Additional special topics classes may also be available.,Choose  20 Credit(s).,CIS,484,Software Engineering,4,Admission to major or permission.,,,
Computer Application Development,BAS,Computer Application Development - BAS,200508151,120,Undergraduate,2024-2025,Major Restricted Electives,,, Additional special topics classes may also be available.,Choose  20 Credit(s).,CIS,499,Individual Study,1-4,Admission to major or permission.,,,
