ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Computer Engineering Technology,BS,Computer Engineering Technology - BS,5148,128,Undergraduate,2024-2025,Required General Education,,,,,COMM,102,Public Speaking,3,,,Purple,
Computer Engineering Technology,BS,Computer Engineering Technology - BS,5148,128,Undergraduate,2024-2025,Required General Education,,,,,ENG,101,Foundations of Writing & Rhetoric,4,,,,
Computer Engineering Technology,BS,Computer Engineering Technology - BS,5148,128,Undergraduate,2024-2025,Prerequisites to the Major,,,,,EE,105,Introduction to Electrical and Computer Engineering and Technology,1,,,Purple,
Computer Engineering Technology,BS,Computer Engineering Technology - BS,5148,128,Undergraduate,2024-2025,Prerequisites to the Major,,,,,EE,107,Intro to Electrical and Computer Engineering Through Software Development,3,,,Purple,
Computer Engineering Technology,BS,Computer Engineering Technology - BS,5148,128,Undergraduate,2024-2025,Prerequisites to the Major,,,,,EE,234,Microprocessor Engineering I,3,,,Purple,
Computer Engineering Technology,BS,Computer Engineering Technology - BS,5148,128,Undergraduate,2024-2025,Prerequisites to the Major,,,,,EE,235,Microprocessor Engineering Laboratory I,1,,,Purple,
Computer Engineering Technology,BS,Computer Engineering Technology - BS,5148,128,Undergraduate,2024-2025,Prerequisites to the Major,,,,,EET,113,DC Circuits,3,,,Purple,
Computer Engineering Technology,BS,Computer Engineering Technology - BS,5148,128,Undergraduate,2024-2025,Prerequisites to the Major,,,,,EET,114,AC Circuits,3,,,Purple,
Computer Engineering Technology,BS,Computer Engineering Technology - BS,5148,128,Undergraduate,2024-2025,Prerequisites to the Major,,,,,EET,141,Integrated Computer Technology I,4,,,Purple,
Computer Engineering Technology,BS,Computer Engineering Technology - BS,5148,128,Undergraduate,2024-2025,Prerequisites to the Major,,,,,EET,143,Integrated Computer Technology III,4,,,Purple,
Computer Engineering Technology,BS,Computer Engineering Technology - BS,5148,128,Undergraduate,2024-2025,Prerequisites to the Major,,,,,EET,221,Electronic CAD,3,,,Gold,
Computer Engineering Technology,BS,Computer Engineering Technology - BS,5148,128,Undergraduate,2024-2025,Prerequisites to the Major,,,,,EET,222,Electronics I,4,,,Gold,
Computer Engineering Technology,BS,Computer Engineering Technology - BS,5148,128,Undergraduate,2024-2025,Prerequisites to the Major,,,,,EET,223,Electronics II,4,,,Gold,
Computer Engineering Technology,BS,Computer Engineering Technology - BS,5148,128,Undergraduate,2024-2025,Prerequisites to the Major,,,,,MATH,115,Precalculus Mathematics,4,,,Gold,
Computer Engineering Technology,BS,Computer Engineering Technology - BS,5148,128,Undergraduate,2024-2025,Prerequisites to the Major,,,,,MATH,121,Calculus I,4,,,Gold,
Computer Engineering Technology,BS,Computer Engineering Technology - BS,5148,128,Undergraduate,2024-2025,Prerequisites to the Major,,,,,MATH,127,Calculus II for Engineering Technology: Integration,2,,,Gold,
Computer Engineering Technology,BS,Computer Engineering Technology - BS,5148,128,Undergraduate,2024-2025,Prerequisites to the Major,,,,,PHYS,211,Principles of Physics I,4,,,Gold,
Computer Engineering Technology,BS,Computer Engineering Technology - BS,5148,128,Undergraduate,2024-2025,Prerequisites to the Major,,,,,PHYS,212,Principles of Physics II,4,,,Purple,
Computer Engineering Technology,BS,Computer Engineering Technology - BS,5148,128,Undergraduate,2024-2025,Major Common Core,,,,,CHEM,104,Introduction to Chemistry,3,,,,
Computer Engineering Technology,BS,Computer Engineering Technology - BS,5148,128,Undergraduate,2024-2025,Major Common Core,,,,,EE,470,Wireless Networking,3,,,Purple,
Computer Engineering Technology,BS,Computer Engineering Technology - BS,5148,128,Undergraduate,2024-2025,Major Common Core,,,,,EET,310,Programming Tools,4,,,,
Computer Engineering Technology,BS,Computer Engineering Technology - BS,5148,128,Undergraduate,2024-2025,Major Common Core,,,,,EET,341,Electronic Shop Practices,2,,,Purple,
Computer Engineering Technology,BS,Computer Engineering Technology - BS,5148,128,Undergraduate,2024-2025,Major Common Core,,,,,EET,384,Microprocessors II,4,,,,
Computer Engineering Technology,BS,Computer Engineering Technology - BS,5148,128,Undergraduate,2024-2025,Major Common Core,,,,,EET,430,Computer Networking I,4,,,,
Computer Engineering Technology,BS,Computer Engineering Technology - BS,5148,128,Undergraduate,2024-2025,Major Common Core,,,,,EET,441,Embedded Systems,4,,,Purple,
Computer Engineering Technology,BS,Computer Engineering Technology - BS,5148,128,Undergraduate,2024-2025,Major Common Core,,,,,EET,456,Analog Communications,4,,,Purple,
Computer Engineering Technology,BS,Computer Engineering Technology - BS,5148,128,Undergraduate,2024-2025,Major Common Core,,,,,EET,461,Industrial Automation I,4,,,,
Computer Engineering Technology,BS,Computer Engineering Technology - BS,5148,128,Undergraduate,2024-2025,Major Common Core,,,,,EET,462,Industrial Automation II,4,,,,
Computer Engineering Technology,BS,Computer Engineering Technology - BS,5148,128,Undergraduate,2024-2025,Major Common Core,,,,,EET,497,Internship,1-6,,,,
Computer Engineering Technology,BS,Computer Engineering Technology - BS,5148,128,Undergraduate,2024-2025,Major Common Core,,,,,MATH,180,Mathematics for Computer Science,4,,,,
Computer Engineering Technology,BS,Computer Engineering Technology - BS,5148,128,Undergraduate,2024-2025,Major Common Core,,,,,MET,427,Quality Management Systems,3,,,,
Computer Engineering Technology,BS,Computer Engineering Technology - BS,5148,128,Undergraduate,2024-2025,Major Unrestricted Electives,,,,,STAT,221,Applied Probability and Statistics for Engineers,3,,,,
