ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Computer Information Technology,BS,Computer Information Technology - BS,7536,120,Undergraduate,2024-2025,Required General Education,,,,,CIS,202W,Computers in Society,4,,,,
Computer Information Technology,BS,Computer Information Technology - BS,7536,120,Undergraduate,2024-2025,Required General Education,,,,,ENG,101,Foundations of Writing & Rhetoric,4,,,,
Computer Information Technology,BS,Computer Information Technology - BS,7536,120,Undergraduate,2024-2025,Required General Education,,,,,MATH,115,Precalculus Mathematics,4,,,Purple,
Computer Information Technology,BS,Computer Information Technology - BS,7536,120,Undergraduate,2024-2025,Required General Education,,,,,MATH,121,Calculus I,4,,,Purple,
Computer Information Technology,BS,Computer Information Technology - BS,7536,120,Undergraduate,2024-2025,Required General Education,,,,,STAT,154,Elementary Statistics,4,,,Purple,
Computer Information Technology,BS,Computer Information Technology - BS,7536,120,Undergraduate,2024-2025,Required General Education,,, Choose one of the following Communication Courses,Choose  3 Credit(s).,COMM,100,Fundamentals of Communication,3,,,,
Computer Information Technology,BS,Computer Information Technology - BS,7536,120,Undergraduate,2024-2025,Required General Education,,, Choose one of the following Communication Courses,Choose  3 Credit(s).,COMM,102,Public Speaking,3,,,,
Computer Information Technology,BS,Computer Information Technology - BS,7536,120,Undergraduate,2024-2025,Major Common Core,,,,,CIS,121,Introduction to Programming,4,,,,
Computer Information Technology,BS,Computer Information Technology - BS,7536,120,Undergraduate,2024-2025,Major Common Core,,,,,CIS,122,Data Structures,4,,,,
Computer Information Technology,BS,Computer Information Technology - BS,7536,120,Undergraduate,2024-2025,Major Common Core,,,,,CIS,223,Algorithms,4,,,,
Computer Information Technology,BS,Computer Information Technology - BS,7536,120,Undergraduate,2024-2025,Major Common Core,,,,,CIS,224,Computer Architecture,4,,,,
Computer Information Technology,BS,Computer Information Technology - BS,7536,120,Undergraduate,2024-2025,Major Common Core,,,,,CIS,340,Introduction to Database Systems,4,,,,
Computer Information Technology,BS,Computer Information Technology - BS,7536,120,Undergraduate,2024-2025,Major Common Core,,,,,CIS,350,Information Security,4,,,,
Computer Information Technology,BS,Computer Information Technology - BS,7536,120,Undergraduate,2024-2025,Major Common Core,,,,,CIS,360,Introduction to Networking,4,,,,
Computer Information Technology,BS,Computer Information Technology - BS,7536,120,Undergraduate,2024-2025,Major Common Core,,,,,CIS,380,Systems Analysis and Design,4,,,,
Computer Information Technology,BS,Computer Information Technology - BS,7536,120,Undergraduate,2024-2025,Major Common Core,,,,,CIS,440,Database Management Systems,4,,,,
Computer Information Technology,BS,Computer Information Technology - BS,7536,120,Undergraduate,2024-2025,Major Common Core,,,,,CIS,497,Internship,1-12,,,,
Computer Information Technology,BS,Computer Information Technology - BS,7536,120,Undergraduate,2024-2025,Major Common Core,,,,,ENG,271W,Technical Communication,4,,,Purple,
Computer Information Technology,BS,Computer Information Technology - BS,7536,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  12 Credit(s).,CIS,414,Advanced Object-Oriented Programming with Design Patterns,4,"CIS 223, CIS 380",,,
Computer Information Technology,BS,Computer Information Technology - BS,7536,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  12 Credit(s).,CIS,418,Foundations of Data Science,4,"CIS 223, CIS 340",,,
Computer Information Technology,BS,Computer Information Technology - BS,7536,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  12 Credit(s).,CIS,442,"Database Security, Auditing and Disaster Recovery",4,"CIS 350, CIS 440",,,
Computer Information Technology,BS,Computer Information Technology - BS,7536,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  12 Credit(s).,CIS,443,Health Information Technology in Clinical Practice,4,"CIS 113, CIS 340",,,
Computer Information Technology,BS,Computer Information Technology - BS,7536,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  12 Credit(s).,CIS,444,Data Analytics,4,CIS 440,,,
Computer Information Technology,BS,Computer Information Technology - BS,7536,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  12 Credit(s).,CIS,450,Information Warfare,4,CIS 350,,,
Computer Information Technology,BS,Computer Information Technology - BS,7536,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  12 Credit(s).,CIS,460,Network and Security Protocols,4,CIS 360,,,
