ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Computer Science,BS,Computer Science - BS,201749219,120,Undergraduate,2024-2025,Required General Education,,,,,ENG,101,Foundations of Writing & Rhetoric,4,,,,
Computer Science,BS,Computer Science - BS,201749219,120,Undergraduate,2024-2025,Required General Education,,,,,MATH,121,Calculus I,4,,,,
Computer Science,BS,Computer Science - BS,201749219,120,Undergraduate,2024-2025,Required General Education,,,Communication ,Choose3 - 4 Credit(s).,COMM,102,Public Speaking,3,,,,
Computer Science,BS,Computer Science - BS,201749219,120,Undergraduate,2024-2025,Required General Education,,,Communication ,Choose3 - 4 Credit(s).,ENG,271W,Technical Communication,4,,,,
Computer Science,BS,Computer Science - BS,201749219,120,Undergraduate,2024-2025,Required General Education,,,"Science To meet university general education requirements, courses must come from at least two different disciplines.",Choose8 - 9 Credit(s).,BIOL,105,General Biology I,4,,,,
Computer Science,BS,Computer Science - BS,201749219,120,Undergraduate,2024-2025,Required General Education,,,"Science To meet university general education requirements, courses must come from at least two different disciplines.",Choose8 - 9 Credit(s).,BIOL,106,General Biology II,4,,,,
Computer Science,BS,Computer Science - BS,201749219,120,Undergraduate,2024-2025,Required General Education,,,"Science To meet university general education requirements, courses must come from at least two different disciplines.",Choose8 - 9 Credit(s).,CHEM,201,General Chemistry I,5,,,,
Computer Science,BS,Computer Science - BS,201749219,120,Undergraduate,2024-2025,Required General Education,,,"Science To meet university general education requirements, courses must come from at least two different disciplines.",Choose8 - 9 Credit(s).,CHEM,202,General Chemistry II,5,,,,
Computer Science,BS,Computer Science - BS,201749219,120,Undergraduate,2024-2025,Required General Education,,,"Science To meet university general education requirements, courses must come from at least two different disciplines.",Choose8 - 9 Credit(s).,GEOL,121,Physical Geology,4,,,,
Computer Science,BS,Computer Science - BS,201749219,120,Undergraduate,2024-2025,Required General Education,,,"Science To meet university general education requirements, courses must come from at least two different disciplines.",Choose8 - 9 Credit(s).,PHYS,221,General Physics I,4,,,,
Computer Science,BS,Computer Science - BS,201749219,120,Undergraduate,2024-2025,Required General Education,,,"Science To meet university general education requirements, courses must come from at least two different disciplines.",Choose8 - 9 Credit(s).,PHYS,222,General Physics II,3,,,,
