ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Data Science,MS,Data Science - MS,201669400,32,Graduate,2024-2025,Common Core,,,,,CIS,518,Foundations of Data Science,4,"CIS 223, CIS 340",,,
Data Science,MS,Data Science - MS,201669400,32,Graduate,2024-2025,Common Core,,,,,CIS,544,Data Analytics,4,,,,
Data Science,MS,Data Science - MS,201669400,32,Graduate,2024-2025,Common Core,,,,,CIS,600,Research Methods,3,,,,
Data Science,MS,Data Science - MS,201669400,32,Graduate,2024-2025,Common Core,,,,,CIS,631,Machine Learning,3,CIS 518,,,
Data Science,MS,Data Science - MS,201669400,32,Graduate,2024-2025,Common Core,,,,,CIS,641,Big Data Systems,3,,,,
Data Science,MS,Data Science - MS,201669400,32,Graduate,2024-2025,Restricted Electives,,," A course can satisfy only one requirement (e.g. restrictive elective or unrestricted elective),	",Choose  6 Credit(s).,CIS,630,Advanced Artificial Intelligence Systems,3,CIS 518,,,
Data Science,MS,Data Science - MS,201669400,32,Graduate,2024-2025,Restricted Electives,,," A course can satisfy only one requirement (e.g. restrictive elective or unrestricted elective),	",Choose  6 Credit(s).,CIS,690,Statistical Inference Packages,3,CIS 518,,,
Data Science,MS,Data Science - MS,201669400,32,Graduate,2024-2025,Restricted Electives,,," A course can satisfy only one requirement (e.g. restrictive elective or unrestricted elective),	",Choose  6 Credit(s).,STAT,550,Regression Analysis,3,MATH 354 or STAT 354 or (MATH 455 or MATH 555) or (STAT 455 or STAT 555) with “C” (2.0) or better or consent.,,,
Data Science,MS,Data Science - MS,201669400,32,Graduate,2024-2025,Restricted Electives,,," A course can satisfy only one requirement (e.g. restrictive elective or unrestricted elective),	",Choose  6 Credit(s).,STAT,659,Statistical Foundations of Data Science and Big Data Analytics,3,"STAT 450/550 with “C” (2.0) or higher, or consent.",,,
Data Science,MS,Data Science - MS,201669400,32,Graduate,2024-2025,Restricted Electives,,," A course can satisfy only one requirement (e.g. restrictive elective or unrestricted elective),	",Choose  6 Credit(s).,STAT,696,Statistical Computing,3,"STAT 450/550 with “C” (2.0) or higher, or consent.",,,
Data Science,MS,Data Science - MS,201669400,32,Graduate,2024-2025,Unrestricted Electives,,,,,CIS,540,Database Management Systems,4,,,,
Data Science,MS,Data Science - MS,201669400,32,Graduate,2024-2025,Unrestricted Electives,,,,,CIS,630,Advanced Artificial Intelligence Systems,3,CIS 518,,,
Data Science,MS,Data Science - MS,201669400,32,Graduate,2024-2025,Unrestricted Electives,,,,,CIS,640,Advanced Database Systems,3,,,,
Data Science,MS,Data Science - MS,201669400,32,Graduate,2024-2025,Unrestricted Electives,,,,,CIS,653,Reporting Information Security Risks,3,,,,
Data Science,MS,Data Science - MS,201669400,32,Graduate,2024-2025,Unrestricted Electives,,,,,CIS,690,Statistical Inference Packages,3,CIS 518,,,
Data Science,MS,Data Science - MS,201669400,32,Graduate,2024-2025,Unrestricted Electives,,,,,MATH,570,Numerical Analysis I,4,MATH 122 and MATH 247 with “C” (2.0) or better or consent.,,,
Data Science,MS,Data Science - MS,201669400,32,Graduate,2024-2025,Unrestricted Electives,,,,,MBA,612,Data Analysis and Statistics for Managers,2,,,,
Data Science,MS,Data Science - MS,201669400,32,Graduate,2024-2025,Unrestricted Electives,,,,,STAT,550,Regression Analysis,3,MATH 354 or STAT 354 or (MATH 455 or MATH 555) or (STAT 455 or STAT 555) with “C” (2.0) or better or consent.,,,
Data Science,MS,Data Science - MS,201669400,32,Graduate,2024-2025,Unrestricted Electives,,,,,STAT,551,Design and Analysis of Experiments,3,MATH 354 or STAT 354 or (MATH 455 or MATH 555) or (STAT 455 or STAT 555) with “C” (2.0) or better or consent.,,,
Data Science,MS,Data Science - MS,201669400,32,Graduate,2024-2025,Unrestricted Electives,,,,,STAT,558,Categorical Data Analysis,3,"Either MATH/STAT 354 or both STAT 154 and MATH 121 with “C” (2.0) or better, or consent.",,,
Data Science,MS,Data Science - MS,201669400,32,Graduate,2024-2025,Unrestricted Electives,,,,,STAT,644,Bayesian Data Analysis,3,"MATH/STAT 455/555 and STAT 450/550, or consent",,,
Data Science,MS,Data Science - MS,201669400,32,Graduate,2024-2025,Unrestricted Electives,,,,,STAT,650,Time Series Analysis and Forecasting,3,"MATH/STAT 455/555 and MATH/STAT 450/550, with ""C"" (2.0) or better, or consent.",,,
Data Science,MS,Data Science - MS,201669400,32,Graduate,2024-2025,Unrestricted Electives,,,,,STAT,654,Statistical Methods in Biostatistics and Survival Analysis,3,"STAT 450/550 with “C” (2.0) or higher, or consent.",,,
Data Science,MS,Data Science - MS,201669400,32,Graduate,2024-2025,Unrestricted Electives,,,,,STAT,659,Statistical Foundations of Data Science and Big Data Analytics,3,"STAT 450/550 with “C” (2.0) or higher, or consent.",,,
Data Science,MS,Data Science - MS,201669400,32,Graduate,2024-2025,Unrestricted Electives,,,,,STAT,696,Statistical Computing,3,"STAT 450/550 with “C” (2.0) or higher, or consent.",,,
Data Science,MS,Data Science - MS,201669400,32,Graduate,2024-2025,Capstone Course,,,,,CIS,694,Alternate Plan Paper,1-2,,,,
Data Science,MS,Data Science - MS,201669400,32,Graduate,2024-2025,Capstone Course,,,,,CIS,697,Internship,1-12                                    ,,,,
Data Science,MS,Data Science - MS,201669400,32,Graduate,2024-2025,Capstone Course,,,,,CIS,699,Thesis,1-6,,,,
