ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Earth Science Teaching (5-12),BS,Earth Science Teaching (5-12) - BS,2522,120,Undergraduate,2024-2025,Required General Education,,,,,AST,101,Introduction to Astronomy,3,,,,
Earth Science Teaching (5-12),BS,Earth Science Teaching (5-12) - BS,2522,120,Undergraduate,2024-2025,Required General Education,,,,,BIOL,105,General Biology I,4,,,,
Earth Science Teaching (5-12),BS,Earth Science Teaching (5-12) - BS,2522,120,Undergraduate,2024-2025,Required General Education,,,,,CHEM,201,General Chemistry I,5,“C” (2.0) or higher in MATH 112 or the equivalent; high school chemistry or “C” (2.0) or higher in CHEM 104.,,,
Earth Science Teaching (5-12),BS,Earth Science Teaching (5-12) - BS,2522,120,Undergraduate,2024-2025,Required General Education,,,,,GEOL,121,Physical Geology,4,,,,
Earth Science Teaching (5-12),BS,Earth Science Teaching (5-12) - BS,2522,120,Undergraduate,2024-2025,Required General Education,,,,,HLTH,240,Drug Education,3,,,,
Earth Science Teaching (5-12),BS,Earth Science Teaching (5-12) - BS,2522,120,Undergraduate,2024-2025,Required General Education,,,,,KSP,220W,Human Relations in a Multicultural Society,3,,,Gold,
Earth Science Teaching (5-12),BS,Earth Science Teaching (5-12) - BS,2522,120,Undergraduate,2024-2025,Major Common Core,,,,,AST,125,Observational Astronomy,3,AST 101,,,
Earth Science Teaching (5-12),BS,Earth Science Teaching (5-12) - BS,2522,120,Undergraduate,2024-2025,Major Common Core,,,,,BIOL,106,General Biology II,4,,,,
Earth Science Teaching (5-12),BS,Earth Science Teaching (5-12) - BS,2522,120,Undergraduate,2024-2025,Major Common Core,,,,,GEOG,217,Weather,4,,,,
Earth Science Teaching (5-12),BS,Earth Science Teaching (5-12) - BS,2522,120,Undergraduate,2024-2025,Major Common Core,,,,,GEOG,315,Geomorphology,4,,,,
Earth Science Teaching (5-12),BS,Earth Science Teaching (5-12) - BS,2522,120,Undergraduate,2024-2025,Major Common Core,,,,,GEOG,410,Climatic Environments,3,,,,
Earth Science Teaching (5-12),BS,Earth Science Teaching (5-12) - BS,2522,120,Undergraduate,2024-2025,Major Common Core,,,,,GEOL,122,Earth History,4,,,,
Earth Science Teaching (5-12),BS,Earth Science Teaching (5-12) - BS,2522,120,Undergraduate,2024-2025,Major Common Core,,,,,GEOL,201,Elements of Mineralogy,4,GEOL 100 or GEOL 107 or GEOL 121,,,
Earth Science Teaching (5-12),BS,Earth Science Teaching (5-12) - BS,2522,120,Undergraduate,2024-2025,Major Common Core,,,,,GEOL,310,Earth and Space Systems,3,"AST 101, CHEM 201, GEOL 121 ",,,
Earth Science Teaching (5-12),BS,Earth Science Teaching (5-12) - BS,2522,120,Undergraduate,2024-2025,Major Common Core,,,,,PHYS,211,Principles of Physics I,4,"Either MATH 112 and MATH 113, or MATH 115",,,
Earth Science Teaching (5-12),BS,Earth Science Teaching (5-12) - BS,2522,120,Undergraduate,2024-2025,Major Common Core,,,,,PHYS,212,Principles of Physics II,4,PHYS 211 ,,,
Earth Science Teaching (5-12),BS,Earth Science Teaching (5-12) - BS,2522,120,Undergraduate,2024-2025,Major Restricted Electives,,,Course Electives Must choose from at least two different departments.,Choose  9 Credit(s).,AST,102,Introduction to the Planets,3,,,,
