ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Elementary Education,BS,Elementary Education - BS,123,120,Undergraduate,2024-2025,Required General Education,,,,,ELE,222W,Human Relations in a Multicultural Society,4,,,Gold,
Elementary Education,BS,Elementary Education - BS,123,120,Undergraduate,2024-2025,Required General Education,,,,,HLTH,240,Drug Education,3,,,,
Elementary Education,BS,Elementary Education - BS,123,120,Undergraduate,2024-2025,Required General Education,,,,,MATH,201,Elements of Mathematics I,3,"Satisfy Placement Table in this section, or Grade of P in MATH 098 or ""C"" (2.0) or better in MATH 112 or MATH 115.",,,
Elementary Education,BS,Elementary Education - BS,123,120,Undergraduate,2024-2025,Required General Education,General Education course options:   Choose one course from the following options:  ,,,Choose3 - 4 Credit(s).,AIS,211,Native America to 1900,3,,,Purple,
Elementary Education,BS,Elementary Education - BS,123,120,Undergraduate,2024-2025,Required General Education,General Education course options:   Choose one course from the following options:  ,,,Choose3 - 4 Credit(s).,AIS,212,Native America 1900 to Present,3,,,Purple,
Elementary Education,BS,Elementary Education - BS,123,120,Undergraduate,2024-2025,Required General Education,General Education course options:   Choose one course from the following options:  ,,,Choose3 - 4 Credit(s).,AIS,330,Indigenous Education,3,,,Purple,
Elementary Education,BS,Elementary Education - BS,123,120,Undergraduate,2024-2025,Required General Education,General Education course options:   Choose one course from the following options:  ,,,Choose3 - 4 Credit(s).,CJ,255,Juvenile Delinquency & Justice,3,,,Purple,
Elementary Education,BS,Elementary Education - BS,123,120,Undergraduate,2024-2025,Required General Education,General Education course options:   Choose one course from the following options:  ,,,Choose3 - 4 Credit(s).,ED,101,Introduction to Critical Race Theory in Education,3,,,Purple,
Elementary Education,BS,Elementary Education - BS,123,120,Undergraduate,2024-2025,Required General Education,General Education course options:   Choose one course from the following options:  ,,,Choose3 - 4 Credit(s).,GWS,220,Sex and Gender Worldwide,4,,,Purple,
Elementary Education,BS,Elementary Education - BS,123,120,Undergraduate,2024-2025,Required General Education,General Education course options:   Choose one course from the following options:  ,,,Choose3 - 4 Credit(s).,HIST,190,United States to 1877,4,,,Purple,
Elementary Education,BS,Elementary Education - BS,123,120,Undergraduate,2024-2025,Required General Education,General Education course options:   Choose one course from the following options:  ,,,Choose3 - 4 Credit(s).,HIST,190W,United States to 1877,4,,,Purple,
Elementary Education,BS,Elementary Education - BS,123,120,Undergraduate,2024-2025,Required General Education,General Education course options:   Choose one course from the following options:  ,,,Choose3 - 4 Credit(s).,HIST,268,History and American Democracy,4,,,,
Elementary Education,BS,Elementary Education - BS,123,120,Undergraduate,2024-2025,Prerequisites to the Major,,,,,ELE,215,Introduction to Education and Instruction,4,,,,
Elementary Education,BS,Elementary Education - BS,123,120,Undergraduate,2024-2025,Prerequisites to the Major,,,,,MATH,202,Elements of Mathematics II,3,"MATH 201, with “C” (2.0) or better or consent",,,
Elementary Education,BS,Elementary Education - BS,123,120,Undergraduate,2024-2025,Major Common Core,Block 1 ,Block 1 ,,,ELE,410,Creating Anti-Racist Environments with Field Experience,4,Admission to Professional Education and the Elementary Education program.,,,
Elementary Education,BS,Elementary Education - BS,123,120,Undergraduate,2024-2025,Major Common Core,Block 1 ,Block 1 ,,,ELE,411,Evidence-Based Literacy Instruction in the Early Grades,4,Admission into Professional Education and the Elementary Education program,,,
Elementary Education,BS,Elementary Education - BS,123,120,Undergraduate,2024-2025,Major Common Core,Block 1 ,Block 1 ,,,ELE,412,"Social Studies: Human Diversity, Power, & Opportunity in Elementary School",4,Admission into Professional Education and the Elementary Education program,,,
Elementary Education,BS,Elementary Education - BS,123,120,Undergraduate,2024-2025,Major Common Core,Block 1 ,Block 1 ,,,ELE,413,Understanding the needs of Individual Students ,4,Admission into Professional Education and the Elementary Education program,,,
Elementary Education,BS,Elementary Education - BS,123,120,Undergraduate,2024-2025,Major Common Core,Block 3 field options:   Choose one course from the following options: ,Block 3 field options:   Choose one course from the following options: ,,,ELE,432,Field Experience: Integrating Methods in the Elementary Classroom,4,Admission into Professional Education and the Elementary Education program,,,
