ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Elementary Teaching,MS,Elementary Teaching - MS,202020801,42,Graduate,2024-2025,Common Core,,,,,ELE,651,Literacy Methods for Elementary Teaching,3,,,,
Elementary Teaching,MS,Elementary Teaching - MS,202020801,42,Graduate,2024-2025,Common Core,,,,,ELE,652,Math Methods for Elementary Teaching,3,,,,
Elementary Teaching,MS,Elementary Teaching - MS,202020801,42,Graduate,2024-2025,Common Core,,,,,ELE,653,Methods for Inquiry in Elementary Teaching,3,,,,
Elementary Teaching,MS,Elementary Teaching - MS,202020801,42,Graduate,2024-2025,Common Core,,,,,ELE,654,Creating Anti-Racist Environments for Elementary Learning with Field Experi,3,,,,
Elementary Teaching,MS,Elementary Teaching - MS,202020801,42,Graduate,2024-2025,Common Core,,,,,ELE,662,Reading Foundations for Elementary Teaching,3,,,,
Elementary Teaching,MS,Elementary Teaching - MS,202020801,42,Graduate,2024-2025,Common Core,,,,,ELE,663,Science & Health Foundations for Elementary Teaching,3,,,,
Elementary Teaching,MS,Elementary Teaching - MS,202020801,42,Graduate,2024-2025,Common Core,,,,,ELE,664,Human Relations and Foundations of Elementary Social Studies Teaching,3,,,,
Elementary Teaching,MS,Elementary Teaching - MS,202020801,42,Graduate,2024-2025,Common Core,,,,,ELE,665,Math Foundations for Elementary Teaching,3,,,,
Elementary Teaching,MS,Elementary Teaching - MS,202020801,42,Graduate,2024-2025,Common Core,,,,,ELE,671,Student Teaching 1,3,,,,
Elementary Teaching,MS,Elementary Teaching - MS,202020801,42,Graduate,2024-2025,Common Core,,,,,ELE,672,Planning and Assessment for the Diverse Elementary Classroom,3,,,,
Elementary Teaching,MS,Elementary Teaching - MS,202020801,42,Graduate,2024-2025,Common Core,,,,,ELE,681,Student Teaching 2,5,,,,
Elementary Teaching,MS,Elementary Teaching - MS,202020801,42,Graduate,2024-2025,Common Core,,,,,ELE,682,Student Teaching Seminar Series,3,,,,
Elementary Teaching,MS,Elementary Teaching - MS,202020801,42,Graduate,2024-2025,Research/Methods Course(s),,,,,ELE,673,Research and Theory in Elementary Education,3,,,,
Elementary Teaching,MS,Elementary Teaching - MS,202020801,42,Graduate,2024-2025,Research/Methods Course(s),,,,,ELE,695,Creative Projects,1-2,,,,
