ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Environmental Geology,CERT,Environmental Geology - CERT,200429116,23,Undergraduate,2024-2025,Major Common Core,,,,,GEOL,121,Physical Geology,4,,,,
Environmental Geology,CERT,Environmental Geology - CERT,200429116,23,Undergraduate,2024-2025,Major Common Core,,,,,GEOL,201,Elements of Mineralogy,4,GEOL 100 or GEOL 107 or GEOL 121,,,
Environmental Geology,CERT,Environmental Geology - CERT,200429116,23,Undergraduate,2024-2025,Major Common Core,,,,,GEOL,320W,Sedimentology and Stratigraphy,4,"Select one course: GEOL 100, GEOL 107, GEOL 121",,,
Environmental Geology,CERT,Environmental Geology - CERT,200429116,23,Undergraduate,2024-2025,Major Common Core,,,Required Environmental Geology ,Choose3 - 4 Credit(s).,GEOL,449,Applied Soil Science and Surface Hydrology,4,GEOL 100 GEOL 104 or GEOL 107 or GEOL 121,,,
Environmental Geology,CERT,Environmental Geology - CERT,200429116,23,Undergraduate,2024-2025,Major Common Core,,,Required Environmental Geology ,Choose3 - 4 Credit(s).,GEOL,450,Hydrogeology,3,GEOL 100 or GEOL 107	or GEOL 121,,,
Environmental Geology,CERT,Environmental Geology - CERT,200429116,23,Undergraduate,2024-2025,Major Common Core,,,Required Environmental Sciences ,Choose3 - 4 Credit(s).,ENVR,440,Environmental Regulations,3,,,,
Environmental Geology,CERT,Environmental Geology - CERT,200429116,23,Undergraduate,2024-2025,Major Restricted Electives,,,,,ENVR,450,Environmental Pollution & Control,3,1 year CHEM ,,,
Environmental Geology,CERT,Environmental Geology - CERT,200429116,23,Undergraduate,2024-2025,Major Restricted Electives,,,,,ENVR,460,Analysis of Pollutants,4,,,,
Environmental Geology,CERT,Environmental Geology - CERT,200429116,23,Undergraduate,2024-2025,Major Restricted Electives,,,,,ENVR,470,Environmental Assessment,3,ENVR 440,,,
Environmental Geology,CERT,Environmental Geology - CERT,200429116,23,Undergraduate,2024-2025,Major Restricted Electives,,,,,GEOL,449,Applied Soil Science and Surface Hydrology,4,GEOL 100 GEOL 104 or GEOL 107 or GEOL 121,,,
Environmental Geology,CERT,Environmental Geology - CERT,200429116,23,Undergraduate,2024-2025,Major Restricted Electives,,,,,GEOL,450,Hydrogeology,3,GEOL 100 or GEOL 107	or GEOL 121,,,
