ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Required General Education,,,,,BIOL,105,General Biology I,4,,,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Required General Education,,,,,CHEM,201,General Chemistry I,5,“C” (2.0) or higher in MATH 112 or the equivalent; high school chemistry or “C” (2.0) or higher in CHEM 104.,,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Required General Education,,,Math Requirement ,Choose  4 Credit(s).,MATH,112,College Algebra,4,"Satisfy Placement Table in this section, or MATH 098 with grade of P. ",,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Required General Education,,,Math Requirement ,Choose  4 Credit(s).,MATH,115,Precalculus Mathematics,4,"Satisfy Math Placement Table in this section, or grade of P in MATH 098.",,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Required General Education,,,Math Requirement ,Choose  4 Credit(s).,MATH,121,Calculus I,4,"Satisfy Placement Table in this section, MATH 115 or both MATH 112 and MATH 113 with “C” (2.0) or better.",,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Required General Education,,,Soil Requirement ,Choose  4 Credit(s).,BIOL,104,Introduction to Soil Science,4,,,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Required General Education,,,Soil Requirement ,Choose  4 Credit(s).,GEOL,104,Introduction to Soil Science,4,,,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Common Core,,,,,BIOL,106,General Biology II,4,,,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Common Core,,,,,BIOL,215,General Ecology,4,BIOL 105 and BIOL 106 or consent ,,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Common Core,,,,,BIOL,217,Plant Science,4,BIOL 105 and BIOL 106 or consent ,,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Common Core,,,,,BIOL,306,Vertebrate Zoology,4,"BIOL 105, BIOL 106",,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Common Core,,,,,BIOL,410,Global Change Biology,3,"BIOL 105, BIOL 106, BIOL 215 or consent ",,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Common Core,,,,,ENVR,440,Environmental Regulations,3,,,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Common Core,,,,,ENVR,470,Environmental Assessment,3,ENVR 440,,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Common Core,,,,,GEOG,373,Introduction to Geography Information Systems,4,,,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Common Core,,,Ecology Requirement ,Choose  8 Credit(s).,BIOL,402,Stream Ecology,4,"BIOL 105, BIOL 106, BIOL 215 or consent",,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Common Core,,,Ecology Requirement ,Choose  8 Credit(s).,BIOL,404,Wetlands,4,BIOL 215,,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Common Core,,,Ecology Requirement ,Choose  8 Credit(s).,BIOL,406,Fish Management,4,BIOL 215,,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Common Core,,,Ecology Requirement ,Choose  8 Credit(s).,BIOL,409,Advanced Field Ecology,4,"BIOL 105, BIOL 106, BIOL 215 or consent ",,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Common Core,,,Ecology Requirement ,Choose  8 Credit(s).,BIOL,412,Soil Ecology,4,"BIOL 105, BIOL 106, BIOL 215, or consent ",,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Common Core,,,Ecology Requirement ,Choose  8 Credit(s).,BIOL,432,Lake Ecology,4,BIOL 215,,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Common Core,,,Ecology Requirement ,Choose  8 Credit(s).,BIOL,440,Wildlife Management,4,"BIOL 105, BIOL 106, BIOL 215, BIOL 306",,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Common Core,,,Ecology Requirement ,Choose  8 Credit(s).,BIOL,442,Flora of Minnesota,4,,,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Common Core,,,Ecology Requirement ,Choose  8 Credit(s).,BIOL,443W,Plant Ecology,4,,,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Common Core,,,Ecology Requirement ,Choose  8 Credit(s).,BIOL,446,Principles of Weed Science,4,"BIOL 215, BIOL 217",,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Common Core,,,Ecology Requirement ,Choose  8 Credit(s).,BIOL,451,Agroecology,4,"BIOL 105, BIOL 106",,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Common Core,,,Statistics Requirement ,Choose3 - 4 Credit(s).,GEOG,476,Spatial Statistics,3,,,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Common Core,,,Statistics Requirement ,Choose3 - 4 Credit(s).,STAT,154,Elementary Statistics,4,"Satisfy Placement Table in this section, or MATH 098 with grade of P. ",,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose1 - 4 Credit(s).,BIOL,398,RISEbio research,2,"BIOL 105, BIOL 106. RISEbio program participant, instructor permission",,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose1 - 4 Credit(s).,BIOL,497,Internship I,1-12,Consent ,,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose1 - 4 Credit(s).,BIOL,499,Individual Study,1-4,,,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose1 - 4 Credit(s).,ENVR,480,Senior Research,1-6,,,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose1 - 4 Credit(s).,ENVR,498,Internship,1-6,,,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose1 - 4 Credit(s).,ENVR,499,Individual Study,1-6,,,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Restricted Electives,Animal Emphasis ,Animal Emphasis ,,,BIOL,305,Invertebrate Zoology,4,"BIOL 105, BIOL 106",,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Restricted Electives,Animal Emphasis ,Animal Emphasis ,,,BIOL,406,Fish Management,4,BIOL 215,,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Restricted Electives,Animal Emphasis ,Animal Emphasis ,,,BIOL,414,Ichthyology,4,BIOL 306,,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Restricted Electives,Animal Emphasis ,Animal Emphasis ,,,BIOL,415,Ornithology,4,"BIOL 105, BIOL 106, BIOL 306",,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Restricted Electives,Animal Emphasis ,Animal Emphasis ,,,BIOL,421,Entomology,3,BIOL 105 and BIOL 106 or consent ,,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Restricted Electives,Animal Emphasis ,Animal Emphasis ,,,BIOL,423,Comparative Vertebrate Anatomy,4,"BIOL 105, BIOL 106, BIOL 306",,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Restricted Electives,Animal Emphasis ,Animal Emphasis ,,,BIOL,434,Animal Physiology,4,"CHEM 201, BIOL 423",,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Restricted Electives,Animal Emphasis ,Animal Emphasis ,,,BIOL,436,Animal Behavior,4,"BIOL 105, BIOL 106",,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Restricted Electives,Animal Emphasis ,Animal Emphasis ,,,BIOL,440,Wildlife Management,4,"BIOL 105, BIOL 106, BIOL 215, BIOL 306",,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Restricted Electives,Chemistry and Geology Emphasis ,Chemistry and Geology Emphasis ,,,CHEM,305,Analytical Chemistry,4,“C” (2.0) or higher in CHEM 202 ,,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Restricted Electives,Chemistry and Geology Emphasis ,Chemistry and Geology Emphasis ,,,CHEM,322,Organic Chemistry I,4,"CHEM 202, “C” (2.0) or higher in CHEM 202.",,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Restricted Electives,Chemistry and Geology Emphasis ,Chemistry and Geology Emphasis ,,,CHEM,324,Organic Chemistry II,3,"CHEM 322 with a ""C"" (2.0) or higher.",,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Restricted Electives,Chemistry and Geology Emphasis ,Chemistry and Geology Emphasis ,,,CHEM,325,Organic Chemistry II Lab,1,CHEM 324, CHEM 324 ,,CHEM 324 
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Restricted Electives,Chemistry and Geology Emphasis ,Chemistry and Geology Emphasis ,,,CHEM,360,Principles of Biochemistry,4,CHEM 322. CHEM 324 is strongly recommended.,,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Restricted Electives,Chemistry and Geology Emphasis ,Chemistry and Geology Emphasis ,,,CHEM,407,Environmental Chemistry,3,“C” (2.0) or higher in CHEM 305 ,,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Restricted Electives,Chemistry and Geology Emphasis ,Chemistry and Geology Emphasis ,,,GEOL,449,Applied Soil Science and Surface Hydrology,4,GEOL 100 GEOL 104 or GEOL 107 or GEOL 121,,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Restricted Electives,Chemistry and Geology Emphasis ,Chemistry and Geology Emphasis ,,,GEOL,460,Soil Biogeochemistry,3,"GEOL 104, and CHEM 191 or CHEM 201",,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Restricted Electives,Environmental Emphasis Choose TWO courses from one of the following 5 clusters and ONE additional course from any cluster. At least two courses must have a laboratory component. Choose 11 - 12 Credit(s).,,,Choose11 - 12 Credit(s).,BIOL,402,Stream Ecology,4,"BIOL 105, BIOL 106, BIOL 215 or consent",,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Restricted Electives,Environmental Emphasis Choose TWO courses from one of the following 5 clusters and ONE additional course from any cluster. At least two courses must have a laboratory component. Choose 11 - 12 Credit(s).,,,Choose11 - 12 Credit(s).,BIOL,404,Wetlands,4,BIOL 215,,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Restricted Electives,Environmental Emphasis Choose TWO courses from one of the following 5 clusters and ONE additional course from any cluster. At least two courses must have a laboratory component. Choose 11 - 12 Credit(s).,,,Choose11 - 12 Credit(s).,BIOL,406,Fish Management,4,BIOL 215,,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Restricted Electives,Environmental Emphasis Choose TWO courses from one of the following 5 clusters and ONE additional course from any cluster. At least two courses must have a laboratory component. Choose 11 - 12 Credit(s).,,,Choose11 - 12 Credit(s).,BIOL,432,Lake Ecology,4,BIOL 215,,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Restricted Electives,Management and Conservation Emphasis ,Management and Conservation Emphasis ,,,BIOL,403,Conservation Biology,3,BIOL 215 or consent ,,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Restricted Electives,Management and Conservation Emphasis ,Management and Conservation Emphasis ,,,BIOL,406,Fish Management,4,BIOL 215,,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Restricted Electives,Management and Conservation Emphasis ,Management and Conservation Emphasis ,,,BIOL,440,Wildlife Management,4,"BIOL 105, BIOL 106, BIOL 215, BIOL 306",,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Restricted Electives,Management and Conservation Emphasis ,Management and Conservation Emphasis ,,,BIOL,442,Flora of Minnesota,4,,,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Restricted Electives,Management and Conservation Emphasis ,Management and Conservation Emphasis ,,,BIOL,446,Principles of Weed Science,4,"BIOL 215, BIOL 217",,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Restricted Electives,Management and Conservation Emphasis ,Management and Conservation Emphasis ,,,GEOG,413,Soil Conservation,4,,,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Restricted Electives,Management and Conservation Emphasis ,Management and Conservation Emphasis ,,,GEOG,420,Conservation of Natural Resources,3,,,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Restricted Electives,Plant Emphasis ,Plant Emphasis ,,,BIOL,412,Soil Ecology,4,"BIOL 105, BIOL 106, BIOL 215, or consent ",,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Restricted Electives,Plant Emphasis ,Plant Emphasis ,,,BIOL,441,Plant Physiology,4,"BIOL 105, BIOL 106, BIOL 217, one semester organic chemistry recommended. ",,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Restricted Electives,Plant Emphasis ,Plant Emphasis ,,,BIOL,442,Flora of Minnesota,4,,,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Restricted Electives,Plant Emphasis ,Plant Emphasis ,,,BIOL,443W,Plant Ecology,4,,,,
Environmental Science,BS,Environmental Science - BS,4453,120,Undergraduate,2024-2025,Major Restricted Electives,Plant Emphasis ,Plant Emphasis ,,,BIOL,446,Principles of Weed Science,4,"BIOL 215, BIOL 217",,,
Environmental Science,MS,Environmental Science - MS,4456,34,Graduate,2024-2025,Common Core,,,,,BIOL,510,Global Change Biology,3,,,,
Environmental Science,MS,Environmental Science - MS,4456,34,Graduate,2024-2025,Common Core,,,,,ENVR,540,Environmental Regulations,3,,,,
Environmental Science,MS,Environmental Science - MS,4456,34,Graduate,2024-2025,Common Core,,,,,ENVR,550,Environmental Pollution & Control,3,,,,
Environmental Science,MS,Environmental Science - MS,4456,34,Graduate,2024-2025,Common Core,,,,,ENVR,560,Analysis of Pollutants,4,,,,
Environmental Science,MS,Environmental Science - MS,4456,34,Graduate,2024-2025,Common Core,,,,,ENVR,570,Environmental Assessment,3,,,,
Environmental Science,MS,Environmental Science - MS,4456,34,Graduate,2024-2025,Restricted Electives,,,Environmental Science  ,Choose  6 Credit(s).,GEOG,673,Advanced GIS,3,,,,
Environmental Science,MS,Environmental Science - MS,4456,34,Graduate,2024-2025,Restricted Electives,,,Environmental Science  ,Choose  6 Credit(s).,GEOG,681,Environmental Issues,3,,,,
Environmental Science,MS,Environmental Science - MS,4456,34,Graduate,2024-2025,Restricted Electives,,,Environmental Science  ,Choose  6 Credit(s).,URBS,604,Planning Law,3,,,,
Environmental Science,MS,Environmental Science - MS,4456,34,Graduate,2024-2025,Restricted Electives,,,Environmental Science  ,Choose  6 Credit(s).,URBS,661,Long Range & Strategic Planning,3,,,,
Environmental Science,MS,Environmental Science - MS,4456,34,Graduate,2024-2025,Restricted Electives,,,Environmental Science  ,Choose  6 Credit(s).,URBS,662,Planning the Built Enrironment,3,,,,
Environmental Science,MS,Environmental Science - MS,4456,34,Graduate,2024-2025,Capstone Course,,, ,Choose3 - 6 Credit(s).,ENVR,699,Thesis,1-6,,,,
