ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Environmental Science,MS,Environmental Science - MS,4456,34,Graduate,2024-2025,Common Core,,,,,BIOL,510,Global Change Biology,3,,,,
Environmental Science,MS,Environmental Science - MS,4456,34,Graduate,2024-2025,Common Core,,,,,ENVR,540,Environmental Regulations,3,,,,
Environmental Science,MS,Environmental Science - MS,4456,34,Graduate,2024-2025,Common Core,,,,,ENVR,550,Environmental Pollution & Control,3,,,,
Environmental Science,MS,Environmental Science - MS,4456,34,Graduate,2024-2025,Common Core,,,,,ENVR,560,Analysis of Pollutants,4,,,,
Environmental Science,MS,Environmental Science - MS,4456,34,Graduate,2024-2025,Common Core,,,,,ENVR,570,Environmental Assessment,3,,,,
Environmental Science,MS,Environmental Science - MS,4456,34,Graduate,2024-2025,Restricted Electives,,,Environmental Science  ,Choose  6 Credit(s).,GEOG,673,Advanced GIS,3,,,,
Environmental Science,MS,Environmental Science - MS,4456,34,Graduate,2024-2025,Restricted Electives,,,Environmental Science  ,Choose  6 Credit(s).,GEOG,681,Environmental Issues,3,,,,
Environmental Science,MS,Environmental Science - MS,4456,34,Graduate,2024-2025,Restricted Electives,,,Environmental Science  ,Choose  6 Credit(s).,URBS,604,Planning Law,3,,,,
Environmental Science,MS,Environmental Science - MS,4456,34,Graduate,2024-2025,Restricted Electives,,,Environmental Science  ,Choose  6 Credit(s).,URBS,661,Long Range & Strategic Planning,3,,,,
Environmental Science,MS,Environmental Science - MS,4456,34,Graduate,2024-2025,Restricted Electives,,,Environmental Science  ,Choose  6 Credit(s).,URBS,662,Planning the Built Enrironment,3,,,,
Environmental Science,MS,Environmental Science - MS,4456,34,Graduate,2024-2025,Capstone Course,,, ,Choose3 - 6 Credit(s).,ENVR,699,Thesis,1-6,,,,
