ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Gender and Women's Studies,GC,Gender and Women's Studies - GC,3281,12,Graduate,2024-2025,Common Core,,, ,Choose  6 Credit(s).,GWS,540,Cultivating Inclusive Classrooms,3,,,,
Gender and Women's Studies,GC,Gender and Women's Studies - GC,3281,12,Graduate,2024-2025,Common Core,,, ,Choose  6 Credit(s).,GWS,555,Sexuality & Queer Identities,3,,,,
Gender and Women's Studies,GC,Gender and Women's Studies - GC,3281,12,Graduate,2024-2025,Common Core,,, ,Choose  6 Credit(s).,GWS,600,Collective Action,3,,,,
Gender and Women's Studies,GC,Gender and Women's Studies - GC,3281,12,Graduate,2024-2025,Common Core,,, ,Choose  6 Credit(s).,GWS,610,Graduate Seminar,3,,,,
Gender and Women's Studies,GC,Gender and Women's Studies - GC,3281,12,Graduate,2024-2025,Common Core,,, ,Choose  6 Credit(s).,GWS,620,Feminist Research,3,,,,
Gender and Women's Studies,GC,Gender and Women's Studies - GC,3281,12,Graduate,2024-2025,Common Core,,, ,Choose  6 Credit(s).,GWS,630,Transnational Feminism,3,,,,
Gender and Women's Studies,GC,Gender and Women's Studies - GC,3281,12,Graduate,2024-2025,Common Core,,, ,Choose  6 Credit(s).,GWS,640,Feminist Theories,3,,,,
Gender and Women's Studies,GC,Gender and Women's Studies - GC,3281,12,Graduate,2024-2025,Restricted Electives,,, ,Choose  6 Credit(s).,GWS,511,Sexual Assault Victim Advocacy,3,,,,
Gender and Women's Studies,GC,Gender and Women's Studies - GC,3281,12,Graduate,2024-2025,Restricted Electives,,, ,Choose  6 Credit(s).,GWS,560,Selected Topics,1-4,,,,
Gender and Women's Studies,GC,Gender and Women's Studies - GC,3281,12,Graduate,2024-2025,Restricted Electives,,, ,Choose  6 Credit(s).,GWS,600,Collective Action,3,,,,
Gender and Women's Studies,GC,Gender and Women's Studies - GC,3281,12,Graduate,2024-2025,Restricted Electives,,, ,Choose  6 Credit(s).,GWS,610,Graduate Seminar,3,,,,
Gender and Women's Studies,GC,Gender and Women's Studies - GC,3281,12,Graduate,2024-2025,Restricted Electives,,, ,Choose  6 Credit(s).,GWS,620,Feminist Research,3,,,,
Gender and Women's Studies,GC,Gender and Women's Studies - GC,3281,12,Graduate,2024-2025,Restricted Electives,,, ,Choose  6 Credit(s).,GWS,630,Transnational Feminism,3,,,,
Gender and Women's Studies,GC,Gender and Women's Studies - GC,3281,12,Graduate,2024-2025,Restricted Electives,,, ,Choose  6 Credit(s).,GWS,640,Feminist Theories,3,,,,
