ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Geographic Information Science,CERT,Geographic Information Science - CERT,7552,19,Undergraduate,2024-2025,Major Common Core,,,,,GEOG,373,Introduction to Geography Information Systems,4,,,,
Geographic Information Science,CERT,Geographic Information Science - CERT,7552,19,Undergraduate,2024-2025,Major Common Core,,,,,GEOG,473,Intermediate GIS,4,GEOG 373 ,,,
Geographic Information Science,CERT,Geographic Information Science - CERT,7552,19,Undergraduate,2024-2025,Major Common Core,,,,,GEOG,474,Introduction to Remote Sensing,4,,,,
Geographic Information Science,CERT,Geographic Information Science - CERT,7552,19,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  7 Credit(s).,GEOG,439,Transportation Modeling & GIS,4,,,,
Geographic Information Science,CERT,Geographic Information Science - CERT,7552,19,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  7 Credit(s).,GEOG,471,Digital Field Mapping with GPS,4,GEOG 373 or equivalent ,,,
Geographic Information Science,CERT,Geographic Information Science - CERT,7552,19,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  7 Credit(s).,GEOG,475,Open-Source GIS,4,"GEOG 373, GEOG 474",,,
Geographic Information Science,CERT,Geographic Information Science - CERT,7552,19,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  7 Credit(s).,GEOG,476,Spatial Statistics,3,,,,
Geographic Information Science,CERT,Geographic Information Science - CERT,7552,19,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  7 Credit(s).,GEOG,478,Spatial Analysis with GIS,3,,,,
Geographic Information Science,CERT,Geographic Information Science - CERT,7552,19,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  7 Credit(s).,GEOG,479,GIS Practicum,1-4,"Prerequisite: GEOG 373, or 473/573, or permission of instructor.",,,
Geographic Information Science,CERT,Geographic Information Science - CERT,7552,19,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  7 Credit(s).,GEOG,481,GIS and Environmental Hazards,3,GEOG 373,,,
Geographic Information Science,CERT,Geographic Information Science - CERT,7552,19,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  7 Credit(s).,GEOG,482,GIS for Natural Resources,4,GEOG 373,,,
Geographic Information Science,CERT,Geographic Information Science - CERT,7552,19,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  7 Credit(s).,GEOG,483,Cloud Mapping & Visualization,4,GEOG 373,,,
Geographic Information Science,CERT,Geographic Information Science - CERT,7552,19,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  7 Credit(s).,GEOG,484,Web GIS,4,,,,
Geographic Information Science,CERT,Geographic Information Science - CERT,7552,19,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  7 Credit(s).,GEOG,485,GIS Programming,4,,,,
Geographic Information Science,GC,Geographic Information Science - GC,7545,18,Graduate,2024-2025,Common Core,,,,,GEOG,573,Intermediate GIS,4,,,,
Geographic Information Science,GC,Geographic Information Science - GC,7545,18,Graduate,2024-2025,Common Core,,,,,GEOG,574,Introduction to Remote Sensing,4,,,,
Geographic Information Science,GC,Geographic Information Science - GC,7545,18,Graduate,2024-2025,Common Core,,,,,GEOG,670,Seminar in GIS,3,,,,
Geographic Information Science,GC,Geographic Information Science - GC,7545,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  7 Credit(s).,GEOG,539,Transportation Modeling & GIS,4,,,,
Geographic Information Science,GC,Geographic Information Science - GC,7545,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  7 Credit(s).,GEOG,571,Digital Field Mapping with GPS,4,,,,
Geographic Information Science,GC,Geographic Information Science - GC,7545,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  7 Credit(s).,GEOG,575,Open-Source GIS,4,,,,
Geographic Information Science,GC,Geographic Information Science - GC,7545,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  7 Credit(s).,GEOG,576,Spatial Statistics,3,,,,
Geographic Information Science,GC,Geographic Information Science - GC,7545,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  7 Credit(s).,GEOG,578,Spatial Analysis with GIS,3,,,,
Geographic Information Science,GC,Geographic Information Science - GC,7545,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  7 Credit(s).,GEOG,579,GIS Practicum,1-4,,,,
Geographic Information Science,GC,Geographic Information Science - GC,7545,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  7 Credit(s).,GEOG,581,GIS and Environmental Hazards,3,GEOG 373 and GEOG 673,,,
Geographic Information Science,GC,Geographic Information Science - GC,7545,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  7 Credit(s).,GEOG,582,GIS for Natural Resources,4,,,,
Geographic Information Science,GC,Geographic Information Science - GC,7545,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  7 Credit(s).,GEOG,583,Cloud Mapping & Visualization,4,,,,
Geographic Information Science,GC,Geographic Information Science - GC,7545,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  7 Credit(s).,GEOG,584,Web GIS,4,,,,
Geographic Information Science,GC,Geographic Information Science - GC,7545,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  7 Credit(s).,GEOG,585,GIS Programming,4,,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,Graduate,2024-2025,Common Core,,,,,GEOG,671,Geodatabase,3,,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,Graduate,2024-2025,Common Core,,,,,GEOG,672,Geospatial Modeling & Simulation,3,,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,Graduate,2024-2025,Common Core,,,,,GEOG,673,Advanced GIS,3,,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,Graduate,2024-2025,Common Core,,,,,GEOG,674,Advanced Remote Sensing,3,,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,Graduate,2024-2025,Restricted Electives,,, ,Choose12 - 18 Credit(s).,GEOG,539,Transportation Modeling & GIS,4,,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,Graduate,2024-2025,Restricted Electives,,, ,Choose12 - 18 Credit(s).,GEOG,571,Digital Field Mapping with GPS,4,,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,Graduate,2024-2025,Restricted Electives,,, ,Choose12 - 18 Credit(s).,GEOG,573,Intermediate GIS,4,,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,Graduate,2024-2025,Restricted Electives,,, ,Choose12 - 18 Credit(s).,GEOG,574,Introduction to Remote Sensing,4,,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,Graduate,2024-2025,Restricted Electives,,, ,Choose12 - 18 Credit(s).,GEOG,575,Open-Source GIS,4,,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,Graduate,2024-2025,Restricted Electives,,, ,Choose12 - 18 Credit(s).,GEOG,576,Spatial Statistics,3,,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,Graduate,2024-2025,Restricted Electives,,, ,Choose12 - 18 Credit(s).,GEOG,578,Spatial Analysis with GIS,3,,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,Graduate,2024-2025,Restricted Electives,,, ,Choose12 - 18 Credit(s).,GEOG,579,GIS Practicum,1-4,,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,Graduate,2024-2025,Restricted Electives,,, ,Choose12 - 18 Credit(s).,GEOG,581,GIS and Environmental Hazards,3,GEOG 373 and GEOG 673,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,Graduate,2024-2025,Restricted Electives,,, ,Choose12 - 18 Credit(s).,GEOG,582,GIS for Natural Resources,4,,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,Graduate,2024-2025,Restricted Electives,,, ,Choose12 - 18 Credit(s).,GEOG,583,Cloud Mapping & Visualization,4,,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,Graduate,2024-2025,Restricted Electives,,, ,Choose12 - 18 Credit(s).,GEOG,584,Web GIS,4,,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,Graduate,2024-2025,Restricted Electives,,, ,Choose12 - 18 Credit(s).,GEOG,585,GIS Programming,4,,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,Graduate,2024-2025,Unrestricted Electives,,, ,,GEOG,610,Issues in Physical Geography,1-4,,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,Graduate,2024-2025,Unrestricted Electives,,, ,,GEOG,620,Issues in Cultural Geography,1-4,,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,Graduate,2024-2025,Unrestricted Electives,,, ,,GEOG,650,Issues in Regional Geography,1-4,,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,Graduate,2024-2025,Unrestricted Electives,,, ,,GEOG,677,Individual Study,1-4,,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,Graduate,2024-2025,Unrestricted Electives,,, ,,GEOG,678,Geographic Research & Writing,3,,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,Graduate,2024-2025,Unrestricted Electives,,, ,,GEOG,680,Philosophy of Geography,3,,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,Graduate,2024-2025,Unrestricted Electives,,, ,,GEOG,681,Environmental Issues,3,,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,Graduate,2024-2025,Unrestricted Electives,,, ,,GEOG,698,Internship,1-6,,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,Graduate,2024-2025,Research/Methods Course(s),,,,,GEOG,670,Seminar in GIS,3,,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,Graduate,2024-2025,Capstone Course,,,,,GEOG,679,GIS Practicum,3,,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,Graduate,2024-2025,Capstone Course,,,,,GEOG,694,Alternate Plan Paper,1-2,,,,
Geographic Information Science,MS,Geographic Information Science - MS,201836500,32,Graduate,2024-2025,Capstone Course,,,,,GEOG,699,Thesis,1-6,,,,
