ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Geomorphology and Earth Surface Processes,CERT,Geomorphology and Earth Surface Processes - CERT,200501151,15,Undergraduate,2024-2025,Major Common Core,,,,,GEOG,315,Geomorphology,4,,,,
Geomorphology and Earth Surface Processes,CERT,Geomorphology and Earth Surface Processes - CERT,200501151,15,Undergraduate,2024-2025,Major Common Core,,,,,GEOG,410,Climatic Environments,3,,,,
Geomorphology and Earth Surface Processes,CERT,Geomorphology and Earth Surface Processes - CERT,200501151,15,Undergraduate,2024-2025,Major Common Core,,,,,GEOG,415,Earth Surface Processes,4,,,,
Geomorphology and Earth Surface Processes,CERT,Geomorphology and Earth Surface Processes - CERT,200501151,15,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  4 Credit(s).,GEOG,411,Soils Geomorphology,4,,,,
Geomorphology and Earth Surface Processes,CERT,Geomorphology and Earth Surface Processes - CERT,200501151,15,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  4 Credit(s).,GEOG,416W,Fluvial Geomorphology and Hydrology,4,Either Geog 101 or Geol 121 and Geog 315 or 415 are recommended. Or instructor consent.,,,
Geomorphology and Earth Surface Processes,CERT,Geomorphology and Earth Surface Processes - CERT,200501151,15,Undergraduate,2024-2025,Major Unrestricted Electives,,, * Choose courses from two of the three listed departments *GEOG 411 and GEOG 416 can be taken as an unrestricted elective if they were not taken as a restricted elective.,Choose  6 Credit(s).,ANTH,331,Environmental Anthropology,4,,,,
Geomorphology and Earth Surface Processes,CERT,Geomorphology and Earth Surface Processes - CERT,200501151,15,Undergraduate,2024-2025,Major Unrestricted Electives,,, * Choose courses from two of the three listed departments *GEOG 411 and GEOG 416 can be taken as an unrestricted elective if they were not taken as a restricted elective.,Choose  6 Credit(s).,GEOG,411,Soils Geomorphology,4,,,,
Geomorphology and Earth Surface Processes,CERT,Geomorphology and Earth Surface Processes - CERT,200501151,15,Undergraduate,2024-2025,Major Unrestricted Electives,,, * Choose courses from two of the three listed departments *GEOG 411 and GEOG 416 can be taken as an unrestricted elective if they were not taken as a restricted elective.,Choose  6 Credit(s).,GEOG,416W,Fluvial Geomorphology and Hydrology,4,Either Geog 101 or Geol 121 and Geog 315 or 415 are recommended. Or instructor consent.,,,
Geomorphology and Earth Surface Processes,CERT,Geomorphology and Earth Surface Processes - CERT,200501151,15,Undergraduate,2024-2025,Major Unrestricted Electives,,, * Choose courses from two of the three listed departments *GEOG 411 and GEOG 416 can be taken as an unrestricted elective if they were not taken as a restricted elective.,Choose  6 Credit(s).,GEOG,440,Field Studies,1-4,,,,
Geomorphology and Earth Surface Processes,CERT,Geomorphology and Earth Surface Processes - CERT,200501151,15,Undergraduate,2024-2025,Major Unrestricted Electives,,, * Choose courses from two of the three listed departments *GEOG 411 and GEOG 416 can be taken as an unrestricted elective if they were not taken as a restricted elective.,Choose  6 Credit(s).,GEOL,201,Elements of Mineralogy,4,GEOL 100 or GEOL 107 or GEOL 121,,,
Geomorphology and Earth Surface Processes,CERT,Geomorphology and Earth Surface Processes - CERT,200501151,15,Undergraduate,2024-2025,Major Unrestricted Electives,,, * Choose courses from two of the three listed departments *GEOG 411 and GEOG 416 can be taken as an unrestricted elective if they were not taken as a restricted elective.,Choose  6 Credit(s).,GEOL,320W,Sedimentology and Stratigraphy,4,"Select one course: GEOL 100, GEOL 107, GEOL 121",,,
