ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Health Informatics & Analytics,PSM,Health Informatics & Analytics - PSM,201360319,30,Graduate,2024-2025,Common Core,,,,,CIS,540,Database Management Systems,4,,,,
Health Informatics & Analytics,PSM,Health Informatics & Analytics - PSM,201360319,30,Graduate,2024-2025,Common Core,,,,,CIS,544,Data Analytics,4,,,,
Health Informatics & Analytics,PSM,Health Informatics & Analytics - PSM,201360319,30,Graduate,2024-2025,Common Core,,,,,CIS,641,Big Data Systems,3,,,,
Health Informatics & Analytics,PSM,Health Informatics & Analytics - PSM,201360319,30,Graduate,2024-2025,Common Core,,,,,CIS,651,Data Informed Leadership,3,,,,
Health Informatics & Analytics,PSM,Health Informatics & Analytics - PSM,201360319,30,Graduate,2024-2025,Common Core,,,,,NURS,624,Evidence-Based Practice through Informatics and Analytics,3,,,,
Health Informatics & Analytics,PSM,Health Informatics & Analytics - PSM,201360319,30,Graduate,2024-2025,Common Core,,,,,NURS,626,Health Informatics and Analytics in Clinical Practice,3,,,,
Health Informatics & Analytics,PSM,Health Informatics & Analytics - PSM,201360319,30,Graduate,2024-2025,Restricted Electives,,, ,Choose  4 Credit(s).,CIS,501,Technology Fundamentals for Informatics and Analytics,4,,,,
Health Informatics & Analytics,PSM,Health Informatics & Analytics - PSM,201360319,30,Graduate,2024-2025,Restricted Electives,,, ,Choose  4 Credit(s).,NURS,501,Health Fundamentals for Informatics and Analytics,4,,,,
Health Informatics & Analytics,PSM,Health Informatics & Analytics - PSM,201360319,30,Graduate,2024-2025,Research/Methods Course(s),,,,,NURS,625,Data Informed Clinical Reasoning,3,,,,
Health Informatics & Analytics,PSM,Health Informatics & Analytics - PSM,201360319,30,Graduate,2024-2025,Capstone Course,,, ,Choose  3 Credit(s).,CIS,692,Health Informatics and Analytics Practicum,3,,,,
Health Informatics & Analytics,PSM,Health Informatics & Analytics - PSM,201360319,30,Graduate,2024-2025,Capstone Course,,, ,Choose  3 Credit(s).,NURS,692,Health Informatics and Analytics Practicum,3,,,,
