ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Marketing,BS,Marketing - BS,501,120,Undergraduate,2024-2025,Required General Education,,,,,ECON,201,Principles of Macroeconomics,3,,,,
Marketing,BS,Marketing - BS,501,120,Undergraduate,2024-2025,Required General Education,,,,,MATH,130,Finite Mathematics and Introductory Calculus,4,"Satisfy Placement Table in this section, or grade of “C” (2.0) or better in either MATH 112 or MATH 115.",,,
Marketing,BS,Marketing - BS,501,120,Undergraduate,2024-2025,Required General Education,,,Ethics Requirement ,Choose  3 Credit(s).,PHIL,120W,Introduction to Ethics,3,,,,
Marketing,BS,Marketing - BS,501,120,Undergraduate,2024-2025,Required General Education,,,Ethics Requirement ,Choose  3 Credit(s).,PHIL,205W,"Culture, Identity, and Diversity",3,,,,
Marketing,BS,Marketing - BS,501,120,Undergraduate,2024-2025,Required General Education,,,Ethics Requirement ,Choose  3 Credit(s).,PHIL,222W,Medical Ethics,3,,,,
Marketing,BS,Marketing - BS,501,120,Undergraduate,2024-2025,Required General Education,,,Ethics Requirement ,Choose  3 Credit(s).,PHIL,224W,Business Ethics,3,,,,
Marketing,BS,Marketing - BS,501,120,Undergraduate,2024-2025,Required General Education,,,Ethics Requirement ,Choose  3 Credit(s).,PHIL,226W,Environmental Ethics,3,,,,
Marketing,BS,Marketing - BS,501,120,Undergraduate,2024-2025,Required General Education,,,Ethics Requirement ,Choose  3 Credit(s).,PHIL,240W,"Law, Justice & Society",3,,,,
Marketing,BS,Marketing - BS,501,120,Undergraduate,2024-2025,Prerequisites to the Major,,,,,ACCT,200,Financial Accounting,3,MATH 112 or MATH 115	or MATH 121 or MATH 130 or MATH 181,,,
Marketing,BS,Marketing - BS,501,120,Undergraduate,2024-2025,Prerequisites to the Major,,,,,BUS,295,Professional Preparation for Business Careers,2,,,,
