ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Mathematics,BA,Mathematics - BA,305,120,Undergraduate,2024-2025,Required General Education,,,,,MATH,121,Calculus I,4,"Satisfy Placement Table in this section, MATH 115 or both MATH 112 and MATH 113 with “C” (2.0) or better.",,,
Mathematics,BA,Mathematics - BA,305,120,Undergraduate,2024-2025,Required General Education,,,,,MATH,290,Foundations of Mathematics,4,MATH 122 with “C” (2.0) or better or consent.,,,
Mathematics,BA,Mathematics - BA,305,120,Undergraduate,2024-2025,Major Common Core,,,,,MATH,122,Calculus II,4,MATH 121 with “C” (2.0) or better or consent,,,
Mathematics,BA,Mathematics - BA,305,120,Undergraduate,2024-2025,Major Common Core,,,,,MATH,170,Introduction to Mathematical Software Programming,3,MATH 121,,,
Mathematics,BA,Mathematics - BA,305,120,Undergraduate,2024-2025,Major Common Core,,,,,MATH,223,Calculus III,4,"MATH 122 with “C” (2.0) or better, or consent",,,
Mathematics,BA,Mathematics - BA,305,120,Undergraduate,2024-2025,Major Common Core,,,,,MATH,247,Linear Algebra I,4,MATH 122 with “C” (2.0) or better or consent,,,
Mathematics,BA,Mathematics - BA,305,120,Undergraduate,2024-2025,Major Common Core,,,,,MATH,316,Intermediate Analysis,3,MATH 223 and MATH 290 with “C” (2.0) or better or consent,,,
Mathematics,BA,Mathematics - BA,305,120,Undergraduate,2024-2025,Major Common Core,,,,,MATH,345,Abstract Algebra I,4,MATH 290 with “C” (2.0) or better or consent,,,
Mathematics,BA,Mathematics - BA,305,120,Undergraduate,2024-2025,Major Common Core,,,,,MATH,375,Introduction to Discrete Mathematics,4,MATH 247 and MATH 290 with grade of “C” (2.0) or higher.,,,
Mathematics,BA,Mathematics - BA,305,120,Undergraduate,2024-2025,Major Common Core,,,,,MATH,492W,Mathematics Capstone Experience,3,"Two of the following: MATH 316, MATH 321, MATH 345, MATH 375 and senior standing (or permission of the instructor). Course can also be taken independent study with permission of a cooperating faculty member. ",,,
Mathematics,BA,Mathematics - BA,305,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, * Note: At least seven (7) credits must be at the 400 level,Choose  12 Credit(s).,MATH,321,Ordinary Differential Equations,4,MATH 122 with “C” (2.0) or better or consent,,,
Mathematics,BA,Mathematics - BA,305,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, * Note: At least seven (7) credits must be at the 400 level,Choose  12 Credit(s).,MATH,332,College Geometry,4,MATH 290 with “C” (2.0) or better or consent,,,
Mathematics,BA,Mathematics - BA,305,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, * Note: At least seven (7) credits must be at the 400 level,Choose  12 Credit(s).,MATH,354,Concepts of Probability & Statistics,4,MATH 122 with “C” (2.0) or better or consent,,,
Mathematics,BA,Mathematics - BA,305,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, * Note: At least seven (7) credits must be at the 400 level,Choose  12 Credit(s).,MATH,402,Introduction to Topology,4,MATH 290 with grade of “C” (2.0) or higher. ,,,
Mathematics,BA,Mathematics - BA,305,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, * Note: At least seven (7) credits must be at the 400 level,Choose  12 Credit(s).,MATH,411,Introduction to Complex Variables,4,MATH 223 and MATH 290 with “C” (2.0) or better or consent,,,
Mathematics,BA,Mathematics - BA,305,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, * Note: At least seven (7) credits must be at the 400 level,Choose  12 Credit(s).,MATH,417,Real Analysis I,4,MATH 223 and MATH 290 with “C” (2.0) or better or consent ,,,
Mathematics,BA,Mathematics - BA,305,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, * Note: At least seven (7) credits must be at the 400 level,Choose  12 Credit(s).,MATH,418,Real Analysis II,3,MATH 417 with “C” (2.0) or better or consent,,,
Mathematics,BA,Mathematics - BA,305,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, * Note: At least seven (7) credits must be at the 400 level,Choose  12 Credit(s).,MATH,422,Partial Differential Equations,4,MATH 223 and MATH 321 with “C” (2.0) or better or consent,,,
Mathematics,BA,Mathematics - BA,305,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, * Note: At least seven (7) credits must be at the 400 level,Choose  12 Credit(s).,MATH,425,Mathematical Modeling,4,MATH 223 and MATH 247 with “C” (2.0) or better or consent,,,
Mathematics,BA,Mathematics - BA,305,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, * Note: At least seven (7) credits must be at the 400 level,Choose  12 Credit(s).,MATH,428,Linear Optimization Methods,4,"MATH 122, MATH 247",,,
Mathematics,BA,Mathematics - BA,305,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, * Note: At least seven (7) credits must be at the 400 level,Choose  12 Credit(s).,MATH,435,Modern Geometry,4,"MATH 247 and MATH 290 with grade of ""C"" (2.0) or higher or consent.",,,
Mathematics,BA,Mathematics - BA,305,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, * Note: At least seven (7) credits must be at the 400 level,Choose  12 Credit(s).,MATH,442,Theory of Numbers,4,MATH 345 with “C” (2.0) or better or consent,,,
Mathematics,BA,Mathematics - BA,305,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, * Note: At least seven (7) credits must be at the 400 level,Choose  12 Credit(s).,MATH,446,Abstract Algebra II,4,MATH 345 with “C” (2.0) or better or consent,,,
Mathematics,BA,Mathematics - BA,305,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, * Note: At least seven (7) credits must be at the 400 level,Choose  12 Credit(s).,MATH,447,Linear Algebra II,3,MATH 345 with “C” (2.0) or better or consent,,,
Mathematics,BA,Mathematics - BA,305,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, * Note: At least seven (7) credits must be at the 400 level,Choose  12 Credit(s).,MATH,455,Theory of Statistics I,4,MATH 223 with “C” (2.0) or better or consent,,,
Mathematics,BA,Mathematics - BA,305,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, * Note: At least seven (7) credits must be at the 400 level,Choose  12 Credit(s).,MATH,456,Theory of Statistics II,4,MATH 455 / STAT 455 with “C” (2.0) or better or consent,,,
Mathematics,BA,Mathematics - BA,305,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, * Note: At least seven (7) credits must be at the 400 level,Choose  12 Credit(s).,MATH,460,Actuarial Applications in Probability,3,"(MATH 354, STATS 354, MATH 455 or STAT 455) and MATH 223",,,
Mathematics,BA,Mathematics - BA,305,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, * Note: At least seven (7) credits must be at the 400 level,Choose  12 Credit(s).,MATH,461,Mathematical Theory of Interest,4,MATH 122 with C (2.0) or better or consent.,,,
