ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Mathematics Teaching,BS,Mathematics Teaching - BS,528,120,Undergraduate,2024-2025,Required General Education,,,,,HLTH,240,Drug Education,3,,,,
Mathematics Teaching,BS,Mathematics Teaching - BS,528,120,Undergraduate,2024-2025,Required General Education,,,,,MATH,121,Calculus I,4,"Satisfy Placement Table in this section, MATH 115 or both MATH 112 and MATH 113 with “C” (2.0) or better.",,,
Mathematics Teaching,BS,Mathematics Teaching - BS,528,120,Undergraduate,2024-2025,Major Common Core,,,,,MATH,122,Calculus II,4,MATH 121 with “C” (2.0) or better or consent,,,
Mathematics Teaching,BS,Mathematics Teaching - BS,528,120,Undergraduate,2024-2025,Major Common Core,,,,,MATH,223,Calculus III,4,"MATH 122 with “C” (2.0) or better, or consent",,,
Mathematics Teaching,BS,Mathematics Teaching - BS,528,120,Undergraduate,2024-2025,Major Common Core,,,,,MATH,247,Linear Algebra I,4,MATH 122 with “C” (2.0) or better or consent,,,
Mathematics Teaching,BS,Mathematics Teaching - BS,528,120,Undergraduate,2024-2025,Major Common Core,,,,,MATH,290,Foundations of Mathematics,4,MATH 122 with “C” (2.0) or better or consent.,,,
Mathematics Teaching,BS,Mathematics Teaching - BS,528,120,Undergraduate,2024-2025,Major Common Core,,,,,MATH,316,Intermediate Analysis,3,MATH 223 and MATH 290 with “C” (2.0) or better or consent,,,
Mathematics Teaching,BS,Mathematics Teaching - BS,528,120,Undergraduate,2024-2025,Major Common Core,,,,,MATH,332,College Geometry,4,MATH 290 with “C” (2.0) or better or consent,,,
Mathematics Teaching,BS,Mathematics Teaching - BS,528,120,Undergraduate,2024-2025,Major Common Core,,,,,MATH,345,Abstract Algebra I,4,MATH 290 with “C” (2.0) or better or consent,,,
Mathematics Teaching,BS,Mathematics Teaching - BS,528,120,Undergraduate,2024-2025,Major Common Core,,,,,MATH,354,Concepts of Probability & Statistics,4,MATH 122 with “C” (2.0) or better or consent,,,
Mathematics Teaching,BS,Mathematics Teaching - BS,528,120,Undergraduate,2024-2025,Major Common Core,,,,,MATH,375,Introduction to Discrete Mathematics,4,MATH 247 and MATH 290 with grade of “C” (2.0) or higher.,,,
Mathematics Teaching,BS,Mathematics Teaching - BS,528,120,Undergraduate,2024-2025,Major Common Core,,,,,MATH,483,Advanced Viewpoint of 5-8 School Mathematics,3,MATH 290 with “C” (2.0) or better or consent,,,
Mathematics Teaching,BS,Mathematics Teaching - BS,528,120,Undergraduate,2024-2025,Major Common Core,,,,,MATH,484,Technology in 5-12 School Mathematics,3,MATH 290 with “C” (2.0) or better or consent,,,
Mathematics Teaching,BS,Mathematics Teaching - BS,528,120,Undergraduate,2024-2025,Major Common Core,,,,,MATH,485,Teaching Secondary School Mathematics,3,MATH 290 with “C” (2.0) or better or consent,,,
Mathematics Teaching,BS,Mathematics Teaching - BS,528,120,Undergraduate,2024-2025,Major Common Core,,,,,MATH,492W,Mathematics Capstone Experience,3,"Two of the following: MATH 316, MATH 321, MATH 345, MATH 375 and senior standing (or permission of the instructor). Course can also be taken independent study with permission of a cooperating faculty member. ",,,
