ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Media Studies,BA,Media Studies - BA,219,120,Undergraduate,2024-2025,Required General Education,,,,,COMM,110,Media and Society,4,,,Purple,
Media Studies,BA,Media Studies - BA,219,120,Undergraduate,2024-2025,Major Common Core,,,,,COMM,260,Principles of Visual Mass Media,4,,,Purple,
Media Studies,BA,Media Studies - BA,219,120,Undergraduate,2024-2025,Major Common Core,,,,,COMM,420,Mass Media History,4,,,,
Media Studies,BA,Media Studies - BA,219,120,Undergraduate,2024-2025,Major Common Core,,,,,COMM,465,Global Media,4,,,,
Media Studies,BA,Media Studies - BA,219,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,315,"Ethics, Free Speech, and Free Press",4,,,,
Media Studies,BA,Media Studies - BA,219,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,335,Communication and Community,4,,,,
Media Studies,BA,Media Studies - BA,219,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,351,Visual Storytelling,4,,,,
Media Studies,BA,Media Studies - BA,219,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,418,"Gender, Race, and Identity",4,,,,
Media Studies,BA,Media Studies - BA,219,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,419,"Gender, Race, and Media",4,,,,
Media Studies,BA,Media Studies - BA,219,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,430,Social Movements and Advocacy,4,,,,
Media Studies,BA,Media Studies - BA,219,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,432,Grassroots Advocacy and Organizing,4,,,,
Media Studies,BA,Media Studies - BA,219,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  8 Credit(s).,COMM,495,Mass Media Workshop,1-4,,,,
Media Studies,BA,Media Studies - BA,219,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  12 Credit(s).,COMM,100,Fundamentals of Communication,3,,,,
Media Studies,BA,Media Studies - BA,219,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  12 Credit(s).,COMM,102,Public Speaking,3,,,,
Media Studies,BA,Media Studies - BA,219,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  12 Credit(s).,COMM,105W,Interpersonal Communication,4,,,,
Media Studies,BA,Media Studies - BA,219,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  12 Credit(s).,COMM,183,Introduction to Game Design and Storytelling,4,,,,
Media Studies,BA,Media Studies - BA,219,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  12 Credit(s).,COMM,198,Newsgathering Practicum,1,,,Purple,
