ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Modeling and Simulation,GC,Modeling and Simulation - GC,8571,12,Graduate,2024-2025,Common Core,,,,,MDSM,601,Introduction to Modeling and Simulation,4,,,,
Modeling and Simulation,GC,Modeling and Simulation - GC,8571,12,Graduate,2024-2025,Common Core,,,,,MDSM,691,Seminar in Modeling and Simulation,1,,,,
Modeling and Simulation,GC,Modeling and Simulation - GC,8571,12,Graduate,2024-2025,Restricted Electives,,," Two courses, one of at least 3 credits and one of at least 2 credits.",Choose  5 Credit(s).,AET,648,Advanced High Performance Engineering,1-3,,,,
Modeling and Simulation,GC,Modeling and Simulation - GC,8571,12,Graduate,2024-2025,Restricted Electives,,," Two courses, one of at least 3 credits and one of at least 2 credits.",Choose  5 Credit(s).,CIS,544,Data Analytics,4,,,,
Modeling and Simulation,GC,Modeling and Simulation - GC,8571,12,Graduate,2024-2025,Restricted Electives,,," Two courses, one of at least 3 credits and one of at least 2 credits.",Choose  5 Credit(s).,CIS,582,Human Computer Interaction,4,,,,
Modeling and Simulation,GC,Modeling and Simulation - GC,8571,12,Graduate,2024-2025,Restricted Electives,,," Two courses, one of at least 3 credits and one of at least 2 credits.",Choose  5 Credit(s).,ECON,563,Applied Econometrics of Financial Markets,3,,,,
Modeling and Simulation,GC,Modeling and Simulation - GC,8571,12,Graduate,2024-2025,Restricted Electives,,," Two courses, one of at least 3 credits and one of at least 2 credits.",Choose  5 Credit(s).,EE,600,Design Methods,3,,,,
Modeling and Simulation,GC,Modeling and Simulation - GC,8571,12,Graduate,2024-2025,Restricted Electives,,," Two courses, one of at least 3 credits and one of at least 2 credits.",Choose  5 Credit(s).,EE,601,Linear Systems Analysis,3,,,,
Modeling and Simulation,GC,Modeling and Simulation - GC,8571,12,Graduate,2024-2025,Restricted Electives,,," Two courses, one of at least 3 credits and one of at least 2 credits.",Choose  5 Credit(s).,EE,603,Non-Linear System Analysis,3,,,,
Modeling and Simulation,GC,Modeling and Simulation - GC,8571,12,Graduate,2024-2025,Restricted Electives,,," Two courses, one of at least 3 credits and one of at least 2 credits.",Choose  5 Credit(s).,EE,651,Biomedical Engineering I,3,,,,
Modeling and Simulation,GC,Modeling and Simulation - GC,8571,12,Graduate,2024-2025,Restricted Electives,,," Two courses, one of at least 3 credits and one of at least 2 credits.",Choose  5 Credit(s).,GEOG,539,Transportation Modeling & GIS,4,,,,
Modeling and Simulation,GC,Modeling and Simulation - GC,8571,12,Graduate,2024-2025,Restricted Electives,,," Two courses, one of at least 3 credits and one of at least 2 credits.",Choose  5 Credit(s).,GEOG,571,Digital Field Mapping with GPS,4,,,,
Modeling and Simulation,GC,Modeling and Simulation - GC,8571,12,Graduate,2024-2025,Restricted Electives,,," Two courses, one of at least 3 credits and one of at least 2 credits.",Choose  5 Credit(s).,GEOG,573,Intermediate GIS,4,,,,
Modeling and Simulation,GC,Modeling and Simulation - GC,8571,12,Graduate,2024-2025,Restricted Electives,,," Two courses, one of at least 3 credits and one of at least 2 credits.",Choose  5 Credit(s).,GEOG,574,Introduction to Remote Sensing,4,,,,
Modeling and Simulation,GC,Modeling and Simulation - GC,8571,12,Graduate,2024-2025,Restricted Electives,,," Two courses, one of at least 3 credits and one of at least 2 credits.",Choose  5 Credit(s).,GEOG,575,Open-Source GIS,4,,,,
