ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Music Industry,BS,Music Industry - BS,3912,120,Undergraduate,2024-2025,Major Common Core,,,,,COMM,224,Foundations in Music Industry,4,,,,
Music Industry,BS,Music Industry - BS,3912,120,Undergraduate,2024-2025,Major Common Core,,,,,COMM,374,Digital Music 1,4,,,,
Music Industry,BS,Music Industry - BS,3912,120,Undergraduate,2024-2025,Major Common Core,,,,,COMM,437,Legal Aspects of the Music Industry,4,,,,
Music Industry,BS,Music Industry - BS,3912,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  16 Credit(s).,COMM,314,Music Management and Concert Production,4,,,,
Music Industry,BS,Music Industry - BS,3912,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  16 Credit(s).,COMM,375,Projects in Music Industry,4,,,,
Music Industry,BS,Music Industry - BS,3912,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  16 Credit(s).,COMM,414,Music in the Marketplace,4,,,,
Music Industry,BS,Music Industry - BS,3912,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  16 Credit(s).,COMM,417,Experiential Storytelling,4,,,Gold,
Music Industry,BS,Music Industry - BS,3912,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  16 Credit(s).,COMM,429,Aesthetics and Culture in Music Industry,4,,,,
Music Industry,BS,Music Industry - BS,3912,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  16 Credit(s).,COMM,440,Special Topics,1-4,,,,
Music Industry,BS,Music Industry - BS,3912,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  16 Credit(s).,COMM,444,Music Promotion and Social Media,4,,,,
Music Industry,BS,Music Industry - BS,3912,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  16 Credit(s).,COMM,464,AMP Ensemble,1-4,,,,
Music Industry,BS,Music Industry - BS,3912,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  16 Credit(s).,COMM,474,Digital Music 2,4,,,,
Music Industry,BS,Music Industry - BS,3912,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  16 Credit(s).,COMM,475,Recording Studio,1-4,,,,
Music Industry,BS,Music Industry - BS,3912,120,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose  16 Credit(s).,COMM,484,Creative Audio Production,4,,,,
Music Industry,BS,Music Industry - BS,3912,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  8 Credit(s).,COMM,300,Foundation Seminar,2,,,,
Music Industry,BS,Music Industry - BS,3912,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  8 Credit(s).,COMM,301,Communication Studies: Approaches and Perspectives,4,,,,
Music Industry,BS,Music Industry - BS,3912,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  8 Credit(s).,COMM,302,Argumentation,4,,,,
Music Industry,BS,Music Industry - BS,3912,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  8 Credit(s).,COMM,306,Strategic Communication Research Methods,4,,,,
Music Industry,BS,Music Industry - BS,3912,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  8 Credit(s).,COMM,307,Data Storytelling,4,,,,
Music Industry,BS,Music Industry - BS,3912,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  8 Credit(s).,COMM,310,Performance of Literature,4,,,,
Music Industry,BS,Music Industry - BS,3912,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  8 Credit(s).,COMM,312,Professional Communication and Interviewing,4,,,,
Music Industry,BS,Music Industry - BS,3912,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  8 Credit(s).,COMM,315,"Ethics, Free Speech, and Free Press",4,,,,
Music Industry,BS,Music Industry - BS,3912,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  8 Credit(s).,COMM,320,Advanced Speech and Debate,,,,,
Music Industry,BS,Music Industry - BS,3912,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  8 Credit(s).,COMM,321,Argumentation and Debate,4,,,,
Music Industry,BS,Music Industry - BS,3912,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  8 Credit(s).,COMM,325W,Reporting and Editing,4,,,,
Music Industry,BS,Music Industry - BS,3912,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  8 Credit(s).,COMM,326,Interpersonal Communication in Leadership,4,,,,
Music Industry,BS,Music Industry - BS,3912,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  8 Credit(s).,COMM,330W,Multimedia Storytelling,4,,,,
Music Industry,BS,Music Industry - BS,3912,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  8 Credit(s).,COMM,333,Advanced Public Communication,4,,,,
Music Industry,BS,Music Industry - BS,3912,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  8 Credit(s).,COMM,334,Writing & Speaking for Broadcast,4,,,,
Music Industry,BS,Music Industry - BS,3912,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  8 Credit(s).,COMM,335,Communication and Community,4,,,,
Music Industry,BS,Music Industry - BS,3912,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  8 Credit(s).,COMM,340,Special Topics,,,,,
Music Industry,BS,Music Industry - BS,3912,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  8 Credit(s).,COMM,351,Visual Storytelling,4,,,,
Music Industry,BS,Music Industry - BS,3912,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, ,Choose  8 Credit(s).,COMM,353,Creative Advertising Principles,4,,,,
