ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Nursing Practice,DNP,Nursing Practice - DNP,7485,80,Graduate,2024-2025,Common Core,,,,,NURS,552,Advanced Health Assessment and Clinical Reasoning,3-4                                     ,,,,
Nursing Practice,DNP,Nursing Practice - DNP,7485,80,Graduate,2024-2025,Common Core,,,,,NURS,553,Advanced Pharmacology,3,,,,
Nursing Practice,DNP,Nursing Practice - DNP,7485,80,Graduate,2024-2025,Common Core,,,,,NURS,554,Advanced Pathophysiology,3,,,,
Nursing Practice,DNP,Nursing Practice - DNP,7485,80,Graduate,2024-2025,Common Core,,,,,NURS,556,Advanced Practice Diagnostics and Procedures,1,,,,
Nursing Practice,DNP,Nursing Practice - DNP,7485,80,Graduate,2024-2025,Common Core,,,,,NURS,601,Nursing Science Theory,3,,,,
Nursing Practice,DNP,Nursing Practice - DNP,7485,80,Graduate,2024-2025,Common Core,,,,,NURS,602,"Ethical, Legal, and Professional Dimensions of Advanced Practice Nursing",3,,,,
Nursing Practice,DNP,Nursing Practice - DNP,7485,80,Graduate,2024-2025,Common Core,,,,,NURS,607,Family Mental Health Nursing,3,,,,
Nursing Practice,DNP,Nursing Practice - DNP,7485,80,Graduate,2024-2025,Common Core,,,,,NURS,633,Family and Transcultural Nursing,3,,,,
Nursing Practice,DNP,Nursing Practice - DNP,7485,80,Graduate,2024-2025,Common Core,,,,,NURS,635,Health Promotion and Clinical Prevention,3,,,,
Nursing Practice,DNP,Nursing Practice - DNP,7485,80,Graduate,2024-2025,Common Core,,,,,NURS,641,Adult and Older Adult Health I,3,,,,
Nursing Practice,DNP,Nursing Practice - DNP,7485,80,Graduate,2024-2025,Common Core,,,,,NURS,642,Child and Adolescent Health,3,,,,
Nursing Practice,DNP,Nursing Practice - DNP,7485,80,Graduate,2024-2025,Common Core,,,,,NURS,643,Reproductive Health,2,,,,
Nursing Practice,DNP,Nursing Practice - DNP,7485,80,Graduate,2024-2025,Common Core,,,,,NURS,644,Adult and Older Adult Health II,3,,,,
Nursing Practice,DNP,Nursing Practice - DNP,7485,80,Graduate,2024-2025,Common Core,,,,,NURS,665,Advanced Practice Health Promotion Practicum,2,,,,
Nursing Practice,DNP,Nursing Practice - DNP,7485,80,Graduate,2024-2025,Common Core,,,,,NURS,668,"Nurse Practitioner Practice, Quality, and Safety",3,,,,
Nursing Practice,DNP,Nursing Practice - DNP,7485,80,Graduate,2024-2025,Common Core,,,,,NURS,670,Child/Adolescent Health and Reproductive Health Clinical I,2,,,,
Nursing Practice,DNP,Nursing Practice - DNP,7485,80,Graduate,2024-2025,Common Core,,,,,NURS,671,Child/Adolescent Health and Reproductive Health Clinical II,2,,,,
Nursing Practice,DNP,Nursing Practice - DNP,7485,80,Graduate,2024-2025,Common Core,,,,,NURS,675,Primary Care Clinical,1-7,"NURS 552, NURS 553, NURS 554",,,
Nursing Practice,DNP,Nursing Practice - DNP,7485,80,Graduate,2024-2025,Common Core,,,,,NURS,691,"Healthcare Provider Policy, Financing, and Collaboration",3,,,,
Nursing Practice,DNP,Nursing Practice - DNP,7485,80,Graduate,2024-2025,Common Core,,,,,NURS,709,Health Care Informatics and Data Management,2-3                                     ,,,,
Nursing Practice,DNP,Nursing Practice - DNP,7485,80,Graduate,2024-2025,Common Core,,,,,NURS,711,Health Care Policy and Organizational/Systems Leadership,3,,,,
Nursing Practice,DNP,Nursing Practice - DNP,7485,80,Graduate,2024-2025,Common Core,,,,,NURS,715,Scholarly Teaching and Learning,3,,,,
Nursing Practice,DNP,Nursing Practice - DNP,7485,80,Graduate,2024-2025,Common Core,,,,,NURS,719,Genetics and Genomics for Family Nursing,3,,,,
Nursing Practice,DNP,Nursing Practice - DNP,7485,80,Graduate,2024-2025,Research/Methods Course(s),,,,,NURS,604,Evidence-Based Practice for APRNs,3,HLTH 675,,,
Nursing Practice,DNP,Nursing Practice - DNP,7485,80,Graduate,2024-2025,Capstone Course,,,,,NURS,741,DNP Project: Needs Assessment,2,,,,
Nursing Practice,DNP,Nursing Practice - DNP,7485,80,Graduate,2024-2025,Capstone Course,,,,,NURS,742,DNP Project: Implementation,3,,,,
Nursing Practice,DNP,Nursing Practice - DNP,7485,80,Graduate,2024-2025,Capstone Course,,,,,NURS,743,DNP Project: Evaluation & Dissemination,2,,,,
