ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Nursing Practice (from MSN),DNP,Nursing Practice (from MSN) - DNP,8258,80,Graduate,2024-2025,Common Core,,,,,NURS,607,Family Mental Health Nursing,3,,,,
Nursing Practice (from MSN),DNP,Nursing Practice (from MSN) - DNP,8258,80,Graduate,2024-2025,Common Core,,,,,NURS,668,"Nurse Practitioner Practice, Quality, and Safety",3,,,,
Nursing Practice (from MSN),DNP,Nursing Practice (from MSN) - DNP,8258,80,Graduate,2024-2025,Common Core,,,,,NURS,691,"Healthcare Provider Policy, Financing, and Collaboration",3,,,,
Nursing Practice (from MSN),DNP,Nursing Practice (from MSN) - DNP,8258,80,Graduate,2024-2025,Common Core,,,,,NURS,709,Health Care Informatics and Data Management,2-3                                     ,,,,
Nursing Practice (from MSN),DNP,Nursing Practice (from MSN) - DNP,8258,80,Graduate,2024-2025,Common Core,,,,,NURS,711,Health Care Policy and Organizational/Systems Leadership,3,,,,
Nursing Practice (from MSN),DNP,Nursing Practice (from MSN) - DNP,8258,80,Graduate,2024-2025,Common Core,,,,,NURS,715,Scholarly Teaching and Learning,3,,,,
Nursing Practice (from MSN),DNP,Nursing Practice (from MSN) - DNP,8258,80,Graduate,2024-2025,Common Core,,,,,NURS,719,Genetics and Genomics for Family Nursing,3,,,,
Nursing Practice (from MSN),DNP,Nursing Practice (from MSN) - DNP,8258,80,Graduate,2024-2025,Capstone Course,,,,,NURS,741,DNP Project: Needs Assessment,2,,,,
Nursing Practice (from MSN),DNP,Nursing Practice (from MSN) - DNP,8258,80,Graduate,2024-2025,Capstone Course,,,,,NURS,742,DNP Project: Implementation,3,,,,
Nursing Practice (from MSN),DNP,Nursing Practice (from MSN) - DNP,8258,80,Graduate,2024-2025,Capstone Course,,,,,NURS,743,DNP Project: Evaluation & Dissemination,2,,,,
