ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Nutrition and Dietetics,BS,Nutrition and Dietetics - BS,202323062,120,Undergraduate,2024-2025,Required General Education,,,,,BIOL,271,Principles of Microbiology,4,,,,
Nutrition and Dietetics,BS,Nutrition and Dietetics - BS,202323062,120,Undergraduate,2024-2025,Required General Education,,,,,CHEM,111,Chemistry of Life Process Part II (Organic & Biochemistry),5,CHEM 106 or high school chemistry ,,,
Nutrition and Dietetics,BS,Nutrition and Dietetics - BS,202323062,120,Undergraduate,2024-2025,Required General Education,,,,,GWS,250,"Health, Wealth, and Power",4,,,Purple,
Nutrition and Dietetics,BS,Nutrition and Dietetics - BS,202323062,120,Undergraduate,2024-2025,Prerequisites to the Major,,,,,BIOL,201,Anatomy & Physiology I ,4,,,,
Nutrition and Dietetics,BS,Nutrition and Dietetics - BS,202323062,120,Undergraduate,2024-2025,Prerequisites to the Major,,,,,BIOL,202,Anatomy & Physiology II,4,,,,
Nutrition and Dietetics,BS,Nutrition and Dietetics - BS,202323062,120,Undergraduate,2024-2025,Prerequisites to the Major,,,,,FCS,150,Cooking and Culture,3,,,,
Nutrition and Dietetics,BS,Nutrition and Dietetics - BS,202323062,120,Undergraduate,2024-2025,Prerequisites to the Major,,,,,FCS,242,Nutrition for Healthcare Professionals,3,Select One Course: CHEM 106 or CHEM 111,,,
Nutrition and Dietetics,BS,Nutrition and Dietetics - BS,202323062,120,Undergraduate,2024-2025,Prerequisites to the Major,,,,,HLTH,321,Medical Terminology,3,,,,
Nutrition and Dietetics,BS,Nutrition and Dietetics - BS,202323062,120,Undergraduate,2024-2025,Major Common Core,,,,,CIS,113,Health Humanities and Health Informatics,4,,,Purple,
Nutrition and Dietetics,BS,Nutrition and Dietetics - BS,202323062,120,Undergraduate,2024-2025,Major Common Core,,,,,FCS,280,Food Systems and Policy,3,,,,
Nutrition and Dietetics,BS,Nutrition and Dietetics - BS,202323062,120,Undergraduate,2024-2025,Major Common Core,,,,,FCS,340,Food Science,4,FCS 150,,,
Nutrition and Dietetics,BS,Nutrition and Dietetics - BS,202323062,120,Undergraduate,2024-2025,Major Common Core,,,,,FCS,375,Foodservice Management Principles,3,,,,
Nutrition and Dietetics,BS,Nutrition and Dietetics - BS,202323062,120,Undergraduate,2024-2025,Major Common Core,,,,,FCS,376,Quantity Food Production,4,"FCS 340, FCS 375",,,
Nutrition and Dietetics,BS,Nutrition and Dietetics - BS,202323062,120,Undergraduate,2024-2025,Major Common Core,,,,,FCS,380,Nutrition Focused Assessment,3,FCS 242,,,
Nutrition and Dietetics,BS,Nutrition and Dietetics - BS,202323062,120,Undergraduate,2024-2025,Major Common Core,,,,,FCS,440,Advanced Human Nutrition,3,"CHEM 111, FCS 242",,,
Nutrition and Dietetics,BS,Nutrition and Dietetics - BS,202323062,120,Undergraduate,2024-2025,Major Common Core,,,,,FCS,460,Foundations of Medical Nutrition Therapy,3,"HLTH 321, FCS 380, FCS 440",,,
Nutrition and Dietetics,BS,Nutrition and Dietetics - BS,202323062,120,Undergraduate,2024-2025,Major Common Core,,,,,FCS,462,Advanced Medical Nutrition Therapy,3,FCS 460 or FCS 560,,,
Nutrition and Dietetics,BS,Nutrition and Dietetics - BS,202323062,120,Undergraduate,2024-2025,Major Common Core,,,,,FCS,463,Nutrient Metabolism and Genetics,2,FCS 460 or FCS 560,,,
Nutrition and Dietetics,BS,Nutrition and Dietetics - BS,202323062,120,Undergraduate,2024-2025,Major Common Core,,,,,FCS,476,Nutrition Across the Lifecycle,3,FCS 242,,,
Nutrition and Dietetics,BS,Nutrition and Dietetics - BS,202323062,120,Undergraduate,2024-2025,Major Common Core,,,,,FCS,480W,Applied Food Science,3,"FCS 340, ServSafe Certified",,,
Nutrition and Dietetics,BS,Nutrition and Dietetics - BS,202323062,120,Undergraduate,2024-2025,Major Common Core,,,,,FCS,483,Adult and Technical Education in Family Consumer Science,3,,,,
Nutrition and Dietetics,BS,Nutrition and Dietetics - BS,202323062,120,Undergraduate,2024-2025,Major Common Core,,,,,HLTH,410W,Current Health Issues,3,,,,
Nutrition and Dietetics,BS,Nutrition and Dietetics - BS,202323062,120,Undergraduate,2024-2025,Major Common Core,,,,,HLTH,477,Behavior Change Foundations and Strategies,3,,,,
