ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Physics,BS,Physics - BS,169,120,Undergraduate,2024-2025,Required General Education,,,,,MATH,121,Calculus I,4,"Satisfy Placement Table in this section, MATH 115 or both MATH 112 and MATH 113 with “C” (2.0) or better.",,,
Physics,BS,Physics - BS,169,120,Undergraduate,2024-2025,Required General Education,,,,,PHYS,221,General Physics I,4,,MATH 121,,MATH 121
Physics,BS,Physics - BS,169,120,Undergraduate,2024-2025,Major Common Core,,,,,CIS,121,Introduction to Programming,4,MATH 112 or MATH 113 or MATH 115 or MATH 121,,,
Physics,BS,Physics - BS,169,120,Undergraduate,2024-2025,Major Common Core,,,,,MATH,122,Calculus II,4,MATH 121 with “C” (2.0) or better or consent,,,
Physics,BS,Physics - BS,169,120,Undergraduate,2024-2025,Major Common Core,,,,,MATH,223,Calculus III,4,"MATH 122 with “C” (2.0) or better, or consent",,,
Physics,BS,Physics - BS,169,120,Undergraduate,2024-2025,Major Common Core,,,,,MATH,247,Linear Algebra I,4,MATH 122 with “C” (2.0) or better or consent,,,
Physics,BS,Physics - BS,169,120,Undergraduate,2024-2025,Major Common Core,,,,,MATH,321,Ordinary Differential Equations,4,MATH 122 with “C” (2.0) or better or consent,,,
Physics,BS,Physics - BS,169,120,Undergraduate,2024-2025,Major Common Core,,,,,PHYS,150,Explorations in physics,1,,,,
Physics,BS,Physics - BS,169,120,Undergraduate,2024-2025,Major Common Core,,,,,PHYS,222,General Physics II,3,MATH 121 with a “C” or better; PHYS 221 with a “C” or better.,MATH 122,,MATH 122
Physics,BS,Physics - BS,169,120,Undergraduate,2024-2025,Major Common Core,,,,,PHYS,223,General Physics III,3,MATH 121 with a “C” or better; and PHYS 221 with a “C” or better,MATH 122,,MATH 122
Physics,BS,Physics - BS,169,120,Undergraduate,2024-2025,Major Common Core,,,,,PHYS,232,General Physics II Laboratory,1,PHYS 221 with a “C” or better; and PHYS 222 or concurrent.,,,
Physics,BS,Physics - BS,169,120,Undergraduate,2024-2025,Major Common Core,,,,,PHYS,233,General Physics III Laboratory,1,PHYS 221 with a “C” or better; and PHYS 223 or concurrent.,,,
Physics,BS,Physics - BS,169,120,Undergraduate,2024-2025,Major Common Core,,,,,PHYS,335,Modern Physics I,3,MATH 122; (PHYS 222 and concurrently with PHYS 223) or PHYS 212. ,,,
Physics,BS,Physics - BS,169,120,Undergraduate,2024-2025,Major Common Core,,,,,PHYS,336,Modern Physics II,3,PHYS 335 ,,,
Physics,BS,Physics - BS,169,120,Undergraduate,2024-2025,Major Common Core,,,,,PHYS,441,Mechanics,4,PHYS 222 or PHYS 223; and MATH 321 or consent. ,,,
Physics,BS,Physics - BS,169,120,Undergraduate,2024-2025,Major Common Core,,,,,PHYS,447,Electricity & Magnetism I,3,MATH 223 and MATH 321 and PHYS 222 ,,,
Physics,BS,Physics - BS,169,120,Undergraduate,2024-2025,Major Common Core,,,,,PHYS,448,Electricity & Magnetism II,3,PHYS 223 and PHYS 447 ,,,
Physics,BS,Physics - BS,169,120,Undergraduate,2024-2025,Major Common Core,,,,,PHYS,457,Optics,3,MATH 122 and PHYS 223,,,
Physics,BS,Physics - BS,169,120,Undergraduate,2024-2025,Major Common Core,,,,,PHYS,461,Quantum Mechanics,4,"PHYS 335, PHYS 441, MATH 247, MATH 321 ",,,
Physics,BS,Physics - BS,169,120,Undergraduate,2024-2025,Major Common Core,,,,,PHYS,465,Computer Applications in Physics,3,"CIS 121, MATH 122. Select one PHYS 222 or PHYS 223",,,
Physics,BS,Physics - BS,169,120,Undergraduate,2024-2025,Major Common Core,,,,,PHYS,473,Statistical Physics,3,MATH 321 and PHYS 223 ,,,
Physics,BS,Physics - BS,169,120,Undergraduate,2024-2025,Major Common Core,,,,,PHYS,475W,Advanced Laboratory,3,PHYS 336 or consent,,,
Physics,BS,Physics - BS,169,120,Undergraduate,2024-2025,Major Common Core,,,,,PHYS,492,Seminar,1,Completed at least two upper division physics courses. ,,,
Physics,BS,Physics - BS,169,120,Undergraduate,2024-2025,Major Restricted Electives,,,,,CIS,122,Data Structures,4,"CIS 121. Select One Course: MATH 112, MATH 113, MATH 115, MATH 121, or MATH 130",,,
Physics,BS,Physics - BS,169,120,Undergraduate,2024-2025,Major Restricted Electives,,,,,EE,230,Circuit Analysis I,3,"PHYS 222 or concurrent, MATH 321 or concurrent",,,
Physics,BS,Physics - BS,169,120,Undergraduate,2024-2025,Major Restricted Electives,,,,,EE,240,Evaluation of Circuits,1,Must be taken concurrently with EE 230. ,,,
Physics,BS,Physics - BS,169,120,Undergraduate,2024-2025,Major Unrestricted Electives,,,Required Electives ,Choose  4 Credit(s).,AST,351,Telescope Operations,2,"AST 201 and AST 215, Consent ",,,
Physics,BS,Physics - BS,169,120,Undergraduate,2024-2025,Major Unrestricted Electives,,,Required Electives ,Choose  4 Credit(s).,AST,353,Photometry I,2,AST 215 ,,,
Physics,BS,Physics - BS,169,120,Undergraduate,2024-2025,Major Unrestricted Electives,,,Required Electives ,Choose  4 Credit(s).,AST,355,Astrometry,2,AST 201 and AST 215 ,,,
Physics,BS,Physics - BS,169,120,Undergraduate,2024-2025,Major Unrestricted Electives,,,Required Electives ,Choose  4 Credit(s).,AST,357,Spectroscopy,2,AST 225 ,,,
Physics,BS,Physics - BS,169,120,Undergraduate,2024-2025,Major Unrestricted Electives,,,Required Electives ,Choose  4 Credit(s).,EE,303,Introduction to Solid State Devices,3,"PHYS 222, and MATH 321 ",,,
Physics,BS,Physics - BS,169,120,Undergraduate,2024-2025,Major Unrestricted Electives,,,Required Electives ,Choose  4 Credit(s).,EE,304,Lab: Introduction to Solid State Devices,1,,,,
Physics,BS,Physics - BS,169,120,Undergraduate,2024-2025,Major Unrestricted Electives,,,Required Electives ,Choose  4 Credit(s).,MATH,354,Concepts of Probability & Statistics,4,MATH 122 with “C” (2.0) or better or consent,,,
Physics,BS,Physics - BS,169,120,Undergraduate,2024-2025,Major Unrestricted Electives,,,Required Electives ,Choose  4 Credit(s).,MATH,411,Introduction to Complex Variables,4,MATH 223 and MATH 290 with “C” (2.0) or better or consent,,,
Physics,BS,Physics - BS,169,120,Undergraduate,2024-2025,Major Unrestricted Electives,,,Required Electives ,Choose  4 Credit(s).,MATH,422,Partial Differential Equations,4,MATH 223 and MATH 321 with “C” (2.0) or better or consent,,,
Physics,BS,Physics - BS,169,120,Undergraduate,2024-2025,Major Unrestricted Electives,,,Required Electives ,Choose  4 Credit(s).,MATH,470,Numerical Analysis I,4,"MATH 122, MATH 247 with “C” (2.0) or better or consent",,,
Physics,BS,Physics - BS,169,120,Undergraduate,2024-2025,Major Unrestricted Electives,,,Required Electives ,Choose  4 Credit(s).,PHYS,417,Biophysics,2,"MATH 121, PHYS 212 or PHYS 222 ",,,
Physics,BS,Physics - BS,169,120,Undergraduate,2024-2025,Major Unrestricted Electives,,,Required Electives ,Choose  4 Credit(s).,PHYS,453,Solid State Physics,3,PHYS 335 ,,,
Physics,BS,Physics - BS,169,120,Undergraduate,2024-2025,Major Unrestricted Electives,,,Required Electives ,Choose  4 Credit(s).,PHYS,493,Undergraduate Research,1-6,Consent ,,,
Physics,BS,Physics - BS,169,120,Undergraduate,2024-2025,Major Unrestricted Electives,,,Required Electives ,Choose  4 Credit(s).,PHYS,499,Individual Study,1-8,Consent ,,,
Physics,BS,Physics - BS,169,120,Undergraduate,2024-2025,Major Unrestricted Electives,,,Required Electives ,Choose  4 Credit(s).,STAT,354,Concepts of Probability & Statistics,4,MATH 122 with C or better or consent ,,,
Physics,MS,Physics - MS,188,34,Graduate,2024-2025,Restricted Electives,,, ,Choose9 - 12 Credit(s).,PHYS,640,Mathematical Methods for Physicists,3,,,,
Physics,MS,Physics - MS,188,34,Graduate,2024-2025,Restricted Electives,,, ,Choose9 - 12 Credit(s).,PHYS,650,Classical Mechanics,3,,,,
Physics,MS,Physics - MS,188,34,Graduate,2024-2025,Restricted Electives,,, ,Choose9 - 12 Credit(s).,PHYS,660,Quantum Mechanics,3,,,,
Physics,MS,Physics - MS,188,34,Graduate,2024-2025,Restricted Electives,,, ,Choose9 - 12 Credit(s).,PHYS,670,Electricity and Magnetism,3,,,,
Physics,MS,Physics - MS,188,34,Graduate,2024-2025,Research/Methods Course(s),,,,,PHYS,607,Intro to Research,2,,,,
Physics,MS,Physics - MS,188,34,Graduate,2024-2025,Research/Methods Course(s),,,,,PHYS,692,Seminar,1,,,,
Physics,MS,Physics - MS,188,34,Graduate,2024-2025,Capstone Course,,,,,PHYS,694,Alternate Plan Paper,1-2,,,,
Physics,MS,Physics - MS,188,34,Graduate,2024-2025,Capstone Course,,,,,PHYS,699,Thesis,1-6,,,,
