ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,510,Topics in Political Philosophy,,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,514,Early United States Political Thought,3,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,515,Recent United States Political Thought,3,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,520,Topics in Participation & Behavior,,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,522,Campaigns & Elections,3,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,523,Political Parties,3,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,524,Women & Politics,3,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,525,Terrorism and Political Violence,3,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,526,Racial and Ethnic Politics,3,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,527,Political Psychology,3,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,530,Topics in International Relations,,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,531,International Relations,3,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,533,International Organization,3,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,534,United States Foreign Policy,3,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,535,"Capitalism, Nationalism, and Democracy",3,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,536,International Political Economy,3,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,537,International Conflict Resolution,3,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,538,International Relations of East Asia,3,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,539,Comparative Social Policy: The Welfare State in Europe & the Americas,3,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,540,Topics in Comparative Politics,,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,541,Russia & Neighboring States Politics,3,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,542,South Asia: Politics & Policy,3,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,543,Middle East Politics,3,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,544,Conflict and Development in Latin America,3,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,545,Asian Pacific Rim: Politics and Policy,3,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,546,African Politics,3,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,547,European Democracies,3,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,548,Political Development & Change,3,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,550,Topics in Public Law,,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,551,Administrative Law,3,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,553,Constitutional Law,3,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,554,Civil Liberties,3,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,555,American Legal Philosophy,3,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,560,Topics in Public Policy/Administration,,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,561,Environmental Politics,3,,,,
Political Science,GC,Political Science - GC,201998021,18,Graduate,2024-2025,Restricted Electives,,, ,Choose  18 Credit(s).,POL,562,Collective Bargaining: Public Sector,3,,,,
