ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Psychology,BS,Psychology - BS,2065,120,Undergraduate,2024-2025,Prerequisites to the Major,,,,,PSYC,101,Introduction to Psychological Science,4,,,,
Psychology,BS,Psychology - BS,2065,120,Undergraduate,2024-2025,Prerequisites to the Major,,, Choose One Course,,MATH,112,College Algebra,4,"Satisfy Placement Table in this section, or MATH 098 with grade of P. ",,,
Psychology,BS,Psychology - BS,2065,120,Undergraduate,2024-2025,Prerequisites to the Major,,, Choose One Course,,STAT,154,Elementary Statistics,4,"Satisfy Placement Table in this section, or MATH 098 with grade of P. ",,,
Psychology,BS,Psychology - BS,2065,120,Undergraduate,2024-2025,Major Common Core,,,,,PSYC,201,Statistics for Psychology,4,"Complete one course: MATH 112, MATH 113, MATH 115, MATH 121, MATH 130, or STAT 154",,,
Psychology,BS,Psychology - BS,2065,120,Undergraduate,2024-2025,Major Common Core,,,,,PSYC,211W,Research Methods and Design,4,Must have a minimum total cumulative GPA of 2.70 or instructor permission to enroll; PSYC 201,,,
Psychology,BS,Psychology - BS,2065,120,Undergraduate,2024-2025,Major Restricted Electives,,,Biological Choose One Course,,PSYC,321,Introduction to Brain and Behavior,4,PSYC 201,,,
Psychology,BS,Psychology - BS,2065,120,Undergraduate,2024-2025,Major Restricted Electives,,,Biological Choose One Course,,PSYC,413,Sensation & Perception,4,PSYC 201,,,
Psychology,BS,Psychology - BS,2065,120,Undergraduate,2024-2025,Major Restricted Electives,,,Biological Choose One Course,,PSYC,420,Psychopharmacology,4,PSYC 211W ,,,
Psychology,BS,Psychology - BS,2065,120,Undergraduate,2024-2025,Major Restricted Electives,,,Biological Choose One Course,,PSYC,421,Behavioral Neuroscience,4,"PSYC 201, PSYC 211W",,,
Psychology,BS,Psychology - BS,2065,120,Undergraduate,2024-2025,Major Restricted Electives,,,Capstone ,Choose  4 Credit(s).,PSYC,409,History and Systems,4,PYSC 211w,,,
Psychology,BS,Psychology - BS,2065,120,Undergraduate,2024-2025,Major Restricted Electives,,,Capstone ,Choose  4 Credit(s).,PSYC,410,Communicating Psychological Science,4,"PSYC 201, PSYC 211W",,,
Psychology,BS,Psychology - BS,2065,120,Undergraduate,2024-2025,Major Restricted Electives,,,Capstone ,Choose  4 Credit(s).,PSYC,496,Laboratory Research in Psychology,2,PYSC 211W,,,
Psychology,BS,Psychology - BS,2065,120,Undergraduate,2024-2025,Major Restricted Electives,,,Capstone ,Choose  4 Credit(s).,PSYC,497,Field Experience,1-8,PYSC 211W,,,
Psychology,BS,Psychology - BS,2065,120,Undergraduate,2024-2025,Major Restricted Electives,,,Cognition Choose One Course,,PSYC,325,Introduction to Cognitive Psychology,4,"either Psy 101 OR Psy 206, not both",,,
Psychology,BS,Psychology - BS,2065,120,Undergraduate,2024-2025,Major Restricted Electives,,,Cognition Choose One Course,,PSYC,414,Learning,4,PSYC 101,,,
Psychology,BS,Psychology - BS,2065,120,Undergraduate,2024-2025,Major Restricted Electives,,,Cognition Choose One Course,,PSYC,415,Human Memory,4,PSYC 211W,,,
Psychology,BS,Psychology - BS,2065,120,Undergraduate,2024-2025,Major Restricted Electives,,,Developmental Choose One Course,,PSYC,343,Introduction to Developmental Psychology,4,PSYC 101 ,,,
Psychology,BS,Psychology - BS,2065,120,Undergraduate,2024-2025,Major Restricted Electives,,,Developmental Choose One Course,,PSYC,433,Child Psychology,4,PSYC 101 ,,,
Psychology,BS,Psychology - BS,2065,120,Undergraduate,2024-2025,Major Restricted Electives,,,Developmental Choose One Course,,PSYC,436,Adolescent Psychology,4,,,,
Psychology,BS,Psychology - BS,2065,120,Undergraduate,2024-2025,Major Restricted Electives,,,Developmental Choose One Course,,PSYC,466,Psychology of Aging,4,PSYC 101,,,
Psychology,BS,Psychology - BS,2065,120,Undergraduate,2024-2025,Major Restricted Electives,,,Social / Cultural Choose One Course,,PSYC,340,Introduction to Social Psychology,4,PSYC 101 ,,,
Psychology,BS,Psychology - BS,2065,120,Undergraduate,2024-2025,Major Restricted Electives,,,Social / Cultural Choose One Course,,PSYC,358,Introduction to Cultural Psychology,4,,,Purple,
Psychology,BS,Psychology - BS,2065,120,Undergraduate,2024-2025,Major Restricted Electives,,,Social / Cultural Choose One Course,,PSYC,401,Clinical Sexuality,4,,,,
Psychology,BS,Psychology - BS,2065,120,Undergraduate,2024-2025,Major Restricted Electives,,,Social / Cultural Choose One Course,,PSYC,455,Abnormal Psychology,4,PSYC 101,,,
Psychology,BS,Psychology - BS,2065,120,Undergraduate,2024-2025,Major Restricted Electives,,,Social / Cultural Choose One Course,,PSYC,460W,Psychology of Women,3,PSYC 101 ,,Purple,
Psychology,BS,Psychology - BS,2065,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, Choose enough unrestricted electives to reach 40 credits between core and elective areas. Courses used elsewhere in the major may not be used in this area.,,PSYC,103W,Psychology Today,3,,,,
Psychology,BS,Psychology - BS,2065,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, Choose enough unrestricted electives to reach 40 credits between core and elective areas. Courses used elsewhere in the major may not be used in this area.,,PSYC,150,Science of Learning for College Student Success,2,,,,
Psychology,BS,Psychology - BS,2065,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, Choose enough unrestricted electives to reach 40 credits between core and elective areas. Courses used elsewhere in the major may not be used in this area.,,PSYC,202,Careers in Psychology,1,,,,
Psychology,BS,Psychology - BS,2065,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, Choose enough unrestricted electives to reach 40 credits between core and elective areas. Courses used elsewhere in the major may not be used in this area.,,PSYC,205,Psychology of Sexual Health,4,,,,
Psychology,BS,Psychology - BS,2065,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, Choose enough unrestricted electives to reach 40 credits between core and elective areas. Courses used elsewhere in the major may not be used in this area.,,PSYC,206,Introduction to Cognitive Science,4,,,,
Psychology,BS,Psychology - BS,2065,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, Choose enough unrestricted electives to reach 40 credits between core and elective areas. Courses used elsewhere in the major may not be used in this area.,,PSYC,219,Psychology of Diversity and Inclusion,4,,,,
Psychology,BS,Psychology - BS,2065,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, Choose enough unrestricted electives to reach 40 credits between core and elective areas. Courses used elsewhere in the major may not be used in this area.,,PSYC,230,Child Care Psychology,3,,,,
Psychology,BS,Psychology - BS,2065,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, Choose enough unrestricted electives to reach 40 credits between core and elective areas. Courses used elsewhere in the major may not be used in this area.,,PSYC,240,Personal Adjustment,3,,,,
Psychology,BS,Psychology - BS,2065,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, Choose enough unrestricted electives to reach 40 credits between core and elective areas. Courses used elsewhere in the major may not be used in this area.,,PSYC,291,Tutoring Psychology,,PSYC 101 ,,,
Psychology,BS,Psychology - BS,2065,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, Choose enough unrestricted electives to reach 40 credits between core and elective areas. Courses used elsewhere in the major may not be used in this area.,,PSYC,303,Introduction to Clinical Psychology,3,,,,
Psychology,BS,Psychology - BS,2065,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, Choose enough unrestricted electives to reach 40 credits between core and elective areas. Courses used elsewhere in the major may not be used in this area.,,PSYC,304,Introduction to School Psychology,2,,,,
Psychology,BS,Psychology - BS,2065,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, Choose enough unrestricted electives to reach 40 credits between core and elective areas. Courses used elsewhere in the major may not be used in this area.,,PSYC,363,Introduction to Industrial/Organizational Psychology,4,,,,
Psychology,BS,Psychology - BS,2065,120,Undergraduate,2024-2025,Major Unrestricted Electives,,, Choose enough unrestricted electives to reach 40 credits between core and elective areas. Courses used elsewhere in the major may not be used in this area.,,PSYC,389,Psychology and the Law,3,,,,
