ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
School Library and Information Studies,MS,School Library and Information Studies - MS,4483,34,Graduate,2024-2025,Common Core,,,,,KSP,619,Using Technology in learning environments,3,,,,
School Library and Information Studies,MS,School Library and Information Studies - MS,4483,34,Graduate,2024-2025,Common Core,,,,,KSP,621,Information Resources,3,,,,
School Library and Information Studies,MS,School Library and Information Studies - MS,4483,34,Graduate,2024-2025,Common Core,,,,,KSP,622,Materials for Children,3,,,,
School Library and Information Studies,MS,School Library and Information Studies - MS,4483,34,Graduate,2024-2025,Common Core,,,,,KSP,630,Materials for Young Adults,3,,,,
School Library and Information Studies,MS,School Library and Information Studies - MS,4483,34,Graduate,2024-2025,Common Core,,,,,KSP,635,21st Century Multiple Literacies,3,,,,
School Library and Information Studies,MS,School Library and Information Studies - MS,4483,34,Graduate,2024-2025,Common Core,,,,,KSP,639,Technology Leadership,3,,,,
School Library and Information Studies,MS,School Library and Information Studies - MS,4483,34,Graduate,2024-2025,Common Core,,,,,KSP,662,Additional Licensure Practicum for K-12 & Secondary Schools,1-6,,,,
School Library and Information Studies,MS,School Library and Information Studies - MS,4483,34,Graduate,2024-2025,Common Core,,,,,KSP,665,Teacher Leader Scholar,3,,,,
School Library and Information Studies,MS,School Library and Information Studies - MS,4483,34,Graduate,2024-2025,Common Core,,,,,KSP,689,Supporting Learning Through Technology,3,,,,
School Library and Information Studies,MS,School Library and Information Studies - MS,4483,34,Graduate,2024-2025,Restricted Electives,,,,,KSP,669,"Reading, Literacy, Multilingualism, and Student Advocacy in Education",3,,,,
School Library and Information Studies,MS,School Library and Information Studies - MS,4483,34,Graduate,2024-2025,Research/Methods Course(s),,,,,KSP,609,Research Methods,3,,,,
School Library and Information Studies,MS,School Library and Information Studies - MS,4483,34,Graduate,2024-2025,Research/Methods Course(s),,,,,KSP,610,Scholarly Writing,3,,,,
