ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
School Psychology,MS,School Psychology - MS,201564600,34,Graduate,2024-2025,Common Core,,,,,PSYC,682,Child Psychopathology,3,,,,
School Psychology,MS,School Psychology - MS,201564600,34,Graduate,2024-2025,Common Core,,,,,PSYC,701,"Problem Solving, Prevention, and Systems in School Psychology",4,,,,
School Psychology,MS,School Psychology - MS,201564600,34,Graduate,2024-2025,Common Core,,,,,PSYC,705,Foundations of Academic Assessment,4,,,,
School Psychology,MS,School Psychology - MS,201564600,34,Graduate,2024-2025,Common Core,,,,,PSYC,710,Cognitive Assessment,4,,,,
School Psychology,MS,School Psychology - MS,201564600,34,Graduate,2024-2025,Common Core,,,,,PSYC,725,Consultation and Prevention,4,,,,
School Psychology,MS,School Psychology - MS,201564600,34,Graduate,2024-2025,Common Core,,,,,SPED,605,Intro to the Psychology and Education of Exceptional Children and Youth,3,,,,
School Psychology,MS,School Psychology - MS,201564600,34,Graduate,2024-2025,Common Core,,,,,SPED,661,Special Education Law,3,,,,
School Psychology,MS,School Psychology - MS,201564600,34,Graduate,2024-2025,Research/Methods Course(s),,,,,PSYC,610,Research Design & Statistics,4,,,,
School Psychology,MS,School Psychology - MS,201564600,34,Graduate,2024-2025,Research/Methods Course(s),,,,,PSYC,613,Behavioral Research Methodology,4,,,,
School Psychology,MS,School Psychology - MS,201564600,34,Graduate,2024-2025,Capstone Course,,,,,PSYC,694,Alternate Plan Paper,1-3,,,,
School Psychology,PSYD,School Psychology - PSYD,7705,106,Graduate,2024-2025,Common Core,,, ,Choose  2 Credit(s).,PSYC,761,Advanced Doctoral Practicum II,2,,,,
School Psychology,PSYD,School Psychology - PSYD,7705,106,Graduate,2024-2025,Common Core,,, ,Choose  2 Credit(s).,PSYC,762,Advanced Doctoral Practicum II (Intl),2,,,,
School Psychology,PSYD,School Psychology - PSYD,7705,106,Graduate,2024-2025,Common Core,,, ,Choose3 - 4 Credit(s).,KSP,605,Planning and Pedagogy: Cultivating Equity-Based Learning Experiences,3,,,,
School Psychology,PSYD,School Psychology - PSYD,7705,106,Graduate,2024-2025,Common Core,,, ,Choose3 - 4 Credit(s).,PSYC,533,Child Psychology,4,,,,
School Psychology,PSYD,School Psychology - PSYD,7705,106,Graduate,2024-2025,Common Core,,, ,Choose3 - 4 Credit(s).,PSYC,536,Adolescent Psychology,4,,,,
School Psychology,PSYD,School Psychology - PSYD,7705,106,Graduate,2024-2025,Common Core,,,Assessment * Select from PSYC 676 or 683,,PSYC,676,Advanced Applied Behavior Analysis,4,,,,
School Psychology,PSYD,School Psychology - PSYD,7705,106,Graduate,2024-2025,Common Core,,,Assessment * Select from PSYC 676 or 683,,PSYC,683,Behavioral Assessment and Case Formulation,4,,,,
School Psychology,PSYD,School Psychology - PSYD,7705,106,Graduate,2024-2025,Common Core,,,Assessment * Select from PSYC 676 or 683,,PSYC,705,Foundations of Academic Assessment,4,,,,
School Psychology,PSYD,School Psychology - PSYD,7705,106,Graduate,2024-2025,Common Core,,,Assessment * Select from PSYC 676 or 683,,PSYC,710,Cognitive Assessment,4,,,,
School Psychology,PSYD,School Psychology - PSYD,7705,106,Graduate,2024-2025,Common Core,,,Assessment * Select from PSYC 676 or 683,,PSYC,770,Child Mental Health: Assessment to Intervention,4,,,,
School Psychology,PSYD,School Psychology - PSYD,7705,106,Graduate,2024-2025,Common Core,,,Diversity and Disability ,,PSYC,737, Supporting Diverse Students and Families,4,,,,
School Psychology,PSYD,School Psychology - PSYD,7705,106,Graduate,2024-2025,Common Core,,,Diversity and Disability ,,SPED,605,Intro to the Psychology and Education of Exceptional Children and Youth,3,,,,
School Psychology,PSYD,School Psychology - PSYD,7705,106,Graduate,2024-2025,Common Core,,,Intervention/Prevention ,,PSYC,720,Academic Problem Solving,4,,,,
School Psychology,PSYD,School Psychology - PSYD,7705,106,Graduate,2024-2025,Common Core,,,Intervention/Prevention ,,PSYC,725,Consultation and Prevention,4,,,,
School Psychology,PSYD,School Psychology - PSYD,7705,106,Graduate,2024-2025,Common Core,,,Intervention/Prevention ,,PSYC,740,Systems-Level Support and Evaluation,4,,,,
School Psychology,PSYD,School Psychology - PSYD,7705,106,Graduate,2024-2025,Common Core,,,Intervention/Prevention ,,PSYC,775,Behavioral Interventions,4,,,,
School Psychology,PSYD,School Psychology - PSYD,7705,106,Graduate,2024-2025,Common Core,,,Professional Experiences * 8 credit minimum for Internship.,,PSYC,702,Field Experience I,1,,,,
School Psychology,PSYD,School Psychology - PSYD,7705,106,Graduate,2024-2025,Common Core,,,Professional Experiences * 8 credit minimum for Internship.,,PSYC,750,School Psychology Practicum I,3,,,,
School Psychology,PSYD,School Psychology - PSYD,7705,106,Graduate,2024-2025,Common Core,,,Professional Experiences * 8 credit minimum for Internship.,,PSYC,751,School Psychology Practicum II,3,,,,
School Psychology,PSYD,School Psychology - PSYD,7705,106,Graduate,2024-2025,Common Core,,,Professional Experiences * 8 credit minimum for Internship.,,PSYC,760,Advanced Doctoral Practicum: Academic Case Study,2,,,,
School Psychology,PSYD,School Psychology - PSYD,7705,106,Graduate,2024-2025,Common Core,,,Professional Experiences * 8 credit minimum for Internship.,,PSYC,795,Internship,2-8,,,,
School Psychology,PSYD,School Psychology - PSYD,7705,106,Graduate,2024-2025,Common Core,,,Psych/Ed Foundations ,Choose20 - 21 Credit(s).,PSYC,682,Child Psychopathology,3,,,,
School Psychology,PSYD,School Psychology - PSYD,7705,106,Graduate,2024-2025,Common Core,,,Psych/Ed Foundations ,Choose20 - 21 Credit(s).,PSYC,689,Standards and Ethics,3,,,,
School Psychology,PSYD,School Psychology - PSYD,7705,106,Graduate,2024-2025,Common Core,,,Psych/Ed Foundations ,Choose20 - 21 Credit(s).,PSYC,701,"Problem Solving, Prevention, and Systems in School Psychology",4,,,,
School Psychology,PSYD,School Psychology - PSYD,7705,106,Graduate,2024-2025,Common Core,,,Psych/Ed Foundations ,Choose20 - 21 Credit(s).,PSYC,776,Pediatric Neuropsychology,4,,,,
School Psychology,PSYD,School Psychology - PSYD,7705,106,Graduate,2024-2025,Common Core,,,Psych/Ed Foundations ,Choose20 - 21 Credit(s).,SPED,661,Special Education Law,3,,,,
School Psychology,PSYD,School Psychology - PSYD,7705,106,Graduate,2024-2025,Research/Methods Course(s),,,,,PSYC,610,Research Design & Statistics,4,,,,
School Psychology,PSYD,School Psychology - PSYD,7705,106,Graduate,2024-2025,Research/Methods Course(s),,,,,PSYC,613,Behavioral Research Methodology,4,,,,
School Psychology,PSYD,School Psychology - PSYD,7705,106,Graduate,2024-2025,Research/Methods Course(s),,,,,PSYC,618,Multivariate Analysis,4,,,,
School Psychology,PSYD,School Psychology - PSYD,7705,106,Graduate,2024-2025,Research/Methods Course(s),,,,,PSYC,780,Research in School Psychology,2,,,,
School Psychology,PSYD,School Psychology - PSYD,7705,106,Graduate,2024-2025,Capstone Course,,,,,PSYC,799,Dissertation,1-8,,,,
