ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Undergraduate,2024-2025,Required General Education,,,,,ANTH,101,Introduction to Anthropology,4,,,Purple,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Undergraduate,2024-2025,Required General Education,,,,,GEOG,100,Elements of Geography,3,,,Purple,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Undergraduate,2024-2025,Required General Education,,,,,POL,111,United States Government,4,,,,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Undergraduate,2024-2025,Required General Education,,,,,PSYC,101,Introduction to Psychological Science,4,,,,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Undergraduate,2024-2025,Required General Education,,,US History Since 1877 3 credits available for transfer students.,Choose3 - 4 Credit(s).,HIST,191,United States Since 1877,4,,,Purple,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Undergraduate,2024-2025,Required General Education,,,US History Since 1877 3 credits available for transfer students.,Choose3 - 4 Credit(s).,HIST,191W,United States Since 1877,4,,,Purple,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Undergraduate,2024-2025,Required General Education,,,US History to 1877 3 credits available for transfer students.,Choose3 - 4 Credit(s).,HIST,190,United States to 1877,4,,,Purple,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Undergraduate,2024-2025,Required General Education,,,US History to 1877 3 credits available for transfer students.,Choose3 - 4 Credit(s).,HIST,190W,United States to 1877,4,,,Purple,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Undergraduate,2024-2025,Required General Education,,,U.S. History Since 1877 ,Choose  4 Credit(s).,HIST,191,United States Since 1877,4,,,Purple,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Undergraduate,2024-2025,Required General Education,,,U.S. History Since 1877 ,Choose  4 Credit(s).,HIST,191W,United States Since 1877,4,,,Purple,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Undergraduate,2024-2025,Required General Education,,,U.S. History to 1877 ,Choose  4 Credit(s).,HIST,190,United States to 1877,4,,,Purple,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Undergraduate,2024-2025,Required General Education,,,U.S. History to 1877 ,Choose  4 Credit(s).,HIST,190W,United States to 1877,4,,,Purple,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Undergraduate,2024-2025,Major Common Core,,,,,ECON,201,Principles of Macroeconomics,3,,,,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Undergraduate,2024-2025,Major Common Core,,,,,ECON,202,Principles of Microeconomics,3,,,,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Undergraduate,2024-2025,Major Common Core,,,,,GEOG,340,United States,3,,,,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Undergraduate,2024-2025,Major Common Core,,,,,HIST,302,World History: An Overview,4,,,,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Undergraduate,2024-2025,Major Common Core,,,,,POL,321,Democracy and Citizenship,4,,POL 322,,POL 322
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Undergraduate,2024-2025,Major Common Core,,,,,SOC,101,Introduction to Sociology,4,,,Purple,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Undergraduate,2024-2025,Major Common Core,,,,,SOST,200,Introduction to Social Studies Teaching,2,,,,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Undergraduate,2024-2025,Major Common Core,,,,,SOST,450,Teaching Social Studies Secondary School,4,Concurrently with KSP 440,,,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Undergraduate,2024-2025,Major Restricted Electives,,,Diversity Elective ,Choose3 - 4 Credit(s).,ETHN,410,Foundations of Oppression,3,ETHN 100 or ATHN 400 ,,Purple,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Undergraduate,2024-2025,Major Restricted Electives,,,Diversity Elective ,Choose3 - 4 Credit(s).,GWS,220,Sex and Gender Worldwide,4,,,Purple,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Undergraduate,2024-2025,Major Restricted Electives,,,Diversity Elective ,Choose3 - 4 Credit(s).,GWS,220W,Sex and Gender Worldwide,4,,,Purple,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Undergraduate,2024-2025,Major Restricted Electives,,,Expansion Course ,Choose  3 Credit(s).,ETHN,410,Foundations of Oppression,3,ETHN 100 or ATHN 400 ,,Purple,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Undergraduate,2024-2025,Major Restricted Electives,,,Expansion Course ,Choose  3 Credit(s).,GWS,220,Sex and Gender Worldwide,4,,,Purple,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Undergraduate,2024-2025,Major Restricted Electives,,,Expansion Course ,Choose  3 Credit(s).,GWS,220W,Sex and Gender Worldwide,4,,,Purple,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Undergraduate,2024-2025,Major Restricted Electives,,,Diversity & Inclusion ,Choose3 - 4 Credit(s).,ETHN,410,Foundations of Oppression,3,ETHN 100 or ATHN 400 ,,Purple,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Undergraduate,2024-2025,Major Restricted Electives,,,Diversity & Inclusion ,Choose3 - 4 Credit(s).,GWS,220,Sex and Gender Worldwide,4,,,Purple,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Undergraduate,2024-2025,Major Restricted Electives,,,Diversity & Inclusion ,Choose3 - 4 Credit(s).,GWS,220W,Sex and Gender Worldwide,4,,,Purple,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Biological ,Choose  4 Credit(s).,PSYC,321,Introduction to Brain and Behavior,4,PSYC 201,,,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Biological ,Choose  4 Credit(s).,PSYC,413,Sensation & Perception,4,PSYC 201,,,
Social Studies Teaching,BS,Social Studies Teaching - BS,529,120,Undergraduate,2024-2025,Emphasis Restricted Electives,,,Biological ,Choose  4 Credit(s).,PSYC,420,Psychopharmacology,4,PSYC 211W ,,,
