ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Social Work,BSSW,Social Work - BSSW,6891,120,Undergraduate,2024-2025,Required General Education,,,Biological Systems Select one course from the following:,Choose3 - 4 Credit(s).,BIOL,100,Our Natural World,4,,,,
Social Work,BSSW,Social Work - BSSW,6891,120,Undergraduate,2024-2025,Required General Education,,,Biological Systems Select one course from the following:,Choose3 - 4 Credit(s).,BIOL,102,Biology of Women,3,,,,
Social Work,BSSW,Social Work - BSSW,6891,120,Undergraduate,2024-2025,Required General Education,,,Diversity and Social Justice A Select one course from the following:,Choose3 - 4 Credit(s).,ANTH,230,Peoples and Cultures of the World,4,,,Purple,
Social Work,BSSW,Social Work - BSSW,6891,120,Undergraduate,2024-2025,Required General Education,,,Diversity and Social Justice A Select one course from the following:,Choose3 - 4 Credit(s).,ANTH,240,Language and Culture,4,,,Purple,
Social Work,BSSW,Social Work - BSSW,6891,120,Undergraduate,2024-2025,Required General Education,,,Diversity and Social Justice A Select one course from the following:,Choose3 - 4 Credit(s).,ANTH,340,Language and Power,4,,,Purple,
Social Work,BSSW,Social Work - BSSW,6891,120,Undergraduate,2024-2025,Required General Education,,,Diversity and Social Justice A Select one course from the following:,Choose3 - 4 Credit(s).,ENG,211W,Literature and Human Diversity,4,ENG 101 ,,Purple,
Social Work,BSSW,Social Work - BSSW,6891,120,Undergraduate,2024-2025,Required General Education,,,Diversity and Social Justice A Select one course from the following:,Choose3 - 4 Credit(s).,ETHN,100,American Racial Minorities,3,,,Purple,
Social Work,BSSW,Social Work - BSSW,6891,120,Undergraduate,2024-2025,Required General Education,,,Diversity and Social Justice A Select one course from the following:,Choose3 - 4 Credit(s).,ETHN,101,Introduction to Multicultural & Ethnic Studies,3,,,Purple,
Social Work,BSSW,Social Work - BSSW,6891,120,Undergraduate,2024-2025,Required General Education,,,Diversity and Social Justice A Select one course from the following:,Choose3 - 4 Credit(s).,ETHN,150,Multi-Cultural/Ethnic Experience,3,,,Gold,
Social Work,BSSW,Social Work - BSSW,6891,120,Undergraduate,2024-2025,Required General Education,,,Diversity and Social Justice A Select one course from the following:,Choose3 - 4 Credit(s).,GEOG,103,Introductory Cultural Geography,3,,,Purple,
Social Work,BSSW,Social Work - BSSW,6891,120,Undergraduate,2024-2025,Required General Education,,,Diversity and Social Justice A Select one course from the following:,Choose3 - 4 Credit(s).,HUM,281W,Human Diversity and Humanities Traditions,4,,,Purple,
Social Work,BSSW,Social Work - BSSW,6891,120,Undergraduate,2024-2025,Required General Education,,,Diversity and Social Justice A Select one course from the following:,Choose3 - 4 Credit(s).,KSP,220W,Human Relations in a Multicultural Society,3,,,Gold,
Social Work,BSSW,Social Work - BSSW,6891,120,Undergraduate,2024-2025,Required General Education,,,Diversity and Social Justice A Select one course from the following:,Choose3 - 4 Credit(s).,PHIL,115W,"Philosophy of Race, Class and Gender",3,,,,
Social Work,BSSW,Social Work - BSSW,6891,120,Undergraduate,2024-2025,Required General Education,,,Diversity and Social Justice A Select one course from the following:,Choose3 - 4 Credit(s).,PHIL,205W,"Culture, Identity, and Diversity",3,,,,
Social Work,BSSW,Social Work - BSSW,6891,120,Undergraduate,2024-2025,Required General Education,,,Diversity and Social Justice B Select one course from the following:,Choose3 - 4 Credit(s).,AIS,101,Introduction to American Indigenous Studies,3,,,,
Social Work,BSSW,Social Work - BSSW,6891,120,Undergraduate,2024-2025,Required General Education,,,Diversity and Social Justice B Select one course from the following:,Choose3 - 4 Credit(s).,AIS,210W,Oral Traditions,3,,,Purple,
Social Work,BSSW,Social Work - BSSW,6891,120,Undergraduate,2024-2025,Required General Education,,,Diversity and Social Justice B Select one course from the following:,Choose3 - 4 Credit(s).,AIS,230W,American Indians of Minnesota,3,,,Purple,
Social Work,BSSW,Social Work - BSSW,6891,120,Undergraduate,2024-2025,Required General Education,,,Diversity and Social Justice B Select one course from the following:,Choose3 - 4 Credit(s).,AIS,240W,American Indian Women,3,,,Purple,
Social Work,BSSW,Social Work - BSSW,6891,120,Undergraduate,2024-2025,Required General Education,,,Diversity and Social Justice B Select one course from the following:,Choose3 - 4 Credit(s).,CDIS,290,Introduction to Communication Disorders,3,,,Purple,
Social Work,BSSW,Social Work - BSSW,6891,120,Undergraduate,2024-2025,Required General Education,,,Diversity and Social Justice B Select one course from the following:,Choose3 - 4 Credit(s).,ETHN,201W,Perspectives on African Americans,3,,,Purple,
Social Work,BSSW,Social Work - BSSW,6891,120,Undergraduate,2024-2025,Required General Education,,,Diversity and Social Justice B Select one course from the following:,Choose3 - 4 Credit(s).,ETHN,203W,Perspectives on Asian Americans,3,,,Purple,
Social Work,BSSW,Social Work - BSSW,6891,120,Undergraduate,2024-2025,Required General Education,,,Diversity and Social Justice B Select one course from the following:,Choose3 - 4 Credit(s).,ETHN,204W,Perspectives on Latinos/Hispanics,3,,,Purple,
Social Work,BSSW,Social Work - BSSW,6891,120,Undergraduate,2024-2025,Required General Education,,,Diversity and Social Justice B Select one course from the following:,Choose3 - 4 Credit(s).,GWS,110,Introduction to Gender,4,,,Purple,
Social Work,BSSW,Social Work - BSSW,6891,120,Undergraduate,2024-2025,Required General Education,,,Diversity and Social Justice B Select one course from the following:,Choose3 - 4 Credit(s).,GWS,110W,Introduction to Gender,4,,,Purple,
Social Work,BSSW,Social Work - BSSW,6891,120,Undergraduate,2024-2025,Required General Education,,,Diversity and Social Justice B Select one course from the following:,Choose3 - 4 Credit(s).,GWS,220,Sex and Gender Worldwide,4,,,Purple,
Social Work,BSSW,Social Work - BSSW,6891,120,Undergraduate,2024-2025,Required General Education,,,Diversity and Social Justice B Select one course from the following:,Choose3 - 4 Credit(s).,GWS,220W,Sex and Gender Worldwide,4,,,Purple,
Social Work,BSSW,Social Work - BSSW,6891,120,Undergraduate,2024-2025,Required General Education,,,Diversity and Social Justice B Select one course from the following:,Choose3 - 4 Credit(s).,GWS,225,Queer America,4,,,Gold,
Social Work,BSSW,Social Work - BSSW,6891,120,Undergraduate,2024-2025,Required General Education,,,Diversity and Social Justice B Select one course from the following:,Choose3 - 4 Credit(s).,GWS,225W,Queer America,4,,,Gold,
Social Work,BSSW,Social Work - BSSW,6891,120,Undergraduate,2024-2025,Required General Education,,,Diversity and Social Justice B Select one course from the following:,Choose3 - 4 Credit(s).,REHB,110W,Sensitivity to Disability,3,,,Gold,
Social Work,BSSW,Social Work - BSSW,6891,120,Undergraduate,2024-2025,Required General Education,,,Human Development Select one course from the following:,Choose3 - 4 Credit(s).,FCS,301,Lifespan Development,3,,,,
Social Work,BSSW,Social Work - BSSW,6891,120,Undergraduate,2024-2025,Required General Education,,,Human Development Select one course from the following:,Choose3 - 4 Credit(s).,KSP,235,Human Development,3,,,,
Social Work,BSSW,Social Work - BSSW,6891,120,Undergraduate,2024-2025,Required General Education,,,Human Development Select one course from the following:,Choose3 - 4 Credit(s).,PSYC,343,Introduction to Developmental Psychology,4,PSYC 101 ,,,
